Factor,Horizon_Months,Avg_IC,IC_Std,Positive_Months,ICIR,Abs_IC
Dollar_Volume,12,-0.057683627413434746,0.09724900962372503,0.21621621621621623,-0.5931538802978427,0.057683627413434746
Market_Cap,1,0.07685218276136284,0.16242833056608952,0.7083333333333334,0.47314518651715687,0.07685218276136284
Market_Cap,3,0.10219297558661085,0.15136595692525182,0.782608695652174,0.6751384370864594,0.10219297558661085
Market_Cap,6,0.14409836979131246,0.1309453240345728,0.813953488372093,1.1004468533238112,0.14409836979131246
Market_Cap,12,0.1814067782996811,0.10057294856715021,1.0,1.8037333187915836,0.1814067782996811
Max_Drawdown_252D,1,0.031245238057974203,0.15393861692709399,0.5625,0.20297205913427224,0.031245238057974203
Max_Drawdown_252D,3,0.028502571825973082,0.14659579611510326,0.5434782608695652,0.19442966702533265,0.028502571825973082
Max_Drawdown_252D,6,0.03890030259604458,0.11121305024373428,0.5813953488372093,0.34978181527069674,0.03890030259604458
Max_Drawdown_252D,12,0.028897494860597034,0.06847535053331785,0.5675675675675675,0.4220130986629483,0.028897494860597034
Momentum_12M,1,0.0384644834920459,0.12365661553544788,0.6458333333333334,0.3110588408512565,0.0384644834920459
Momentum_12M,3,0.06147641535385128,0.09701443055335218,0.782608695652174,0.633683205716936,0.06147641535385128
Momentum_12M,6,0.08116713522946112,0.09618636682280732,0.7906976744186046,0.8438528027468348,0.08116713522946112
Momentum_12M,12,0.07843607334106585,0.08838146476307543,0.8108108108108109,0.8874719778782776,0.07843607334106585
Momentum_1M,1,-0.013500455999372723,0.11285933247234062,0.5416666666666666,-0.11962197280124258,0.013500455999372723
Momentum_1M,3,-0.00325126043357093,0.09379805125475456,0.5652173913043478,-0.0346623452201639,0.00325126043357093
Momentum_1M,6,0.015641012975758654,0.07731910800217544,0.6046511627906976,0.20229168933659428,0.015641012975758654
Momentum_1M,12,0.042060848194546155,0.07189182707088926,0.6756756756756757,0.5850574384911913,0.042060848194546155
Momentum_3M,1,-0.0031812975009758173,0.11561170583126207,0.5833333333333334,-0.027517088153850042,0.0031812975009758173
Momentum_3M,3,0.01451697678249895,0.10523558818007936,0.6304347826086957,0.1379474095555723,0.01451697678249895
Momentum_3M,6,0.034733716518315055,0.08313027951892396,0.6511627906976745,0.4178226840968121,0.034733716518315055
Momentum_3M,12,0.0798308977213146,0.07652717135243375,0.8378378378378378,1.0431706322146164,0.0798308977213146
Momentum_6M,1,0.014293693247855031,0.12495026510456007,0.625,0.11439506139417852,0.014293693247855031
Momentum_6M,3,0.030553613089671798,0.10734595459907655,0.717391304347826,0.28462752232988797,0.030553613089671798
Momentum_6M,6,0.07027937265340863,0.09007148274612896,0.8372093023255814,0.7802621929905895,0.07027937265340863
Momentum_6M,12,0.09295670438591122,0.09207014819913625,0.8108108108108109,1.0096291382615943,0.09295670438591122
Volatility_20D,1,-0.02464554229726239,0.11707611597080829,0.4375,-0.2105087113020345,0.02464554229726239
Volatility_20D,3,-0.01154005583525428,0.11952243947966841,0.5,-0.09655137466648948,0.01154005583525428
Volatility_20D,6,-0.00255158928133602,0.11090510777319548,0.5348837209302325,-0.023006959125400267,0.00255158928133602
Volatility_20D,12,0.01338815060074553,0.1226205645104409,0.5135135135135135,0.10918356683642208,0.01338815060074553
Volatility_60D,1,-0.031206533886176908,0.13707350088838238,0.4166666666666667,-0.22766277715185873,0.031206533886176908
Volatility_60D,3,-0.01446304099194358,0.14324372592877607,0.4782608695652174,-0.10096805914651313,0.01446304099194358
Volatility_60D,6,-0.010272210488292856,0.13307021943406375,0.46511627906976744,-0.07719390959133973,0.010272210488292856
Volatility_60D,12,0.01839951271209172,0.1474056576560928,0.5135135135135135,0.12482229654318294,0.01839951271209172
