Security_ID,Symbol,Company_Name,Sector,Rank,Alpha_Adjusted,Weight,Last_Close,Market_Cap,ADV_20D,Portfolio_Date,Engine_Version,Trade_Value,Brokerage_BPS,STT_BPS,Exchange_BPS,SEBI_BPS,Stamp_Duty_BPS,GST_BPS,Slippage_BPS,Impact_BPS,Total_Cost_BPS,Cost_Value,Execution_Quality
SECBC710BBF,PHOENIXLTD,The Phoenix Mills Limited,Real Estate,4.0,0.8892857142857142,0.0209886656963214,1751.0,623331592608.9569,765248267.053009,2026-06-12,1.0.0,209886.656963214,2.0,10.0,0.35,0.01,3.0,0.423,5.013713631640846,0.24841767727721575,21.045131308918062,441.709225578068,EXCELLENT
SEC17154FBC,FEDERALBNK,The Federal Bank Limited,Financial Services,3.0,0.9012269938650308,0.0206536566336229,315.95001220703125,778449810214.7582,5735660901.565318,2026-06-12,1.0.0,206536.566336229,2.0,10.0,0.35,0.01,3.0,0.423,5.001800460050557,0.09001150052914106,20.874811960579695,431.1411985252575,EXCELLENT
SEC262E8C48,KEI,KEI Industries Limited,Industrials,15.0,0.8534700315457413,0.0204306940716267,5309.5,507782560342.5,1303086957.135327,2026-06-12,1.0.0,204306.940716267,2.0,10.0,0.35,0.01,3.0,0.423,5.007839344089723,0.18782185283867106,20.978661196928392,428.60860894675005,EXCELLENT
SEC910FE0F6,GRASIM,Grasim Industries Limited,Basic Materials,37.0,0.8295719844357976,0.0199667510582008,3107.5,2101928744185.5864,2760642338.060632,2026-06-12,1.0.0,199667.510582008,2.0,10.0,0.35,0.01,3.0,0.423,5.003616323415555,0.12756745419579496,20.91418377761135,417.5883010730274,EXCELLENT
SEC06DCFAD7,SAIL,Steel Authority of India Limited,Basic Materials,20.0,0.8464980544747083,0.0199604255004073,183.8999938964844,754275225545.3625,4376503251.329583,2026-06-12,1.0.0,199604.255004073,2.0,10.0,0.35,0.01,3.0,0.423,5.002280407936901,0.10130071922771872,20.88658112716462,416.90504654698253,EXCELLENT
SECD3E0F146,NATIONALUM,National Aluminium Company Limited,Basic Materials,25.0,0.8418287937743191,0.019846743819672,376.2000122070313,692685667257.1392,5481602198.980354,2026-06-12,1.0.0,198467.43819672,2.0,10.0,0.35,0.01,3.0,0.423,5.001810305007481,0.09025725751244033,20.875067562519924,414.3021181316778,EXCELLENT
SEC5E2FCDD9,WAAREEENER,WAAREE ENERGIES LIMITED,Technology,50.0,0.8099056603773584,0.0197982093465519,3023.60009765625,872676634168.4753,3060762629.659045,2026-06-12,1.0.0,197982.093465519,2.0,10.0,0.35,0.01,3.0,0.423,5.00323419548362,0.12063946152188218,20.9068736570055,413.918661443306,EXCELLENT
SEC9BFC6369,MARICO,Marico Limited,Consumer Defensive,45.0,0.8161111111111111,0.0188589092234991,818.5,1061839224929.95,1345999925.6837585,2026-06-12,1.0.0,188589.09223499103,2.0,10.0,0.35,0.01,3.0,0.423,5.007005538731334,0.17755259584416289,20.967558134575494,395.4252754983994,EXCELLENT
SECF5E25039,CUPID,Cupid Limited,Consumer Defensive,11.0,0.8644444444444446,0.0186212549529847,159.83999633789062,214594396188.70544,2129550510.7044053,2026-06-12,1.0.0,186212.549529847,2.0,10.0,0.35,0.01,3.0,0.423,5.004372109245445,0.1402657891451135,20.92763789839056,389.6988808696755,EXCELLENT
SEC40D715C2,HINDCOPPER,Hindustan Copper Limited,Basic Materials,30.0,0.8346303501945526,0.0184223106968242,508.7000122070313,491635005865.7538,2373609351.892441,2026-06-12,1.0.0,184223.106968242,2.0,10.0,0.35,0.01,3.0,0.423,5.003880653461812,0.13214741986946466,20.919028073331276,385.37683464249653,EXCELLENT
SECE6819099,ADANIENSOL,Adani Energy Solutions Limited,Utilities,32.0,0.8333333333333335,0.0182435733252108,1493.0999755859375,1792553899736.021,5095655373.06814,2026-06-12,1.0.0,182435.73325210798,2.0,10.0,0.35,0.01,3.0,0.423,5.001790110593196,0.08975242430921855,20.874542534902414,380.8262473657239,EXCELLENT
SEC813579CA,SONACOMS,Sona BLW Precision Forgings Limited,Consumer Cyclical,47.0,0.8135658914728684,0.0182001045682118,589.0,366032582500.76935,805761599.3373016,2026-06-12,1.0.0,182001.04568211798,2.0,10.0,0.35,0.01,3.0,0.423,5.011293727935893,0.22543685526444138,21.019730583200335,382.56129460988564,EXCELLENT
SEC3F90165F,RRKABEL,R R Kabel Limited,Industrials,39.0,0.8264984227129338,0.0181104834288384,2150.39990234375,243493536686.7297,1269464695.2124023,2026-06-12,1.0.0,181104.83428838398,2.0,10.0,0.35,0.01,3.0,0.423,5.007133118194282,0.17916202687587676,20.96929514507016,379.7640722392146,EXCELLENT
SECFA5934F9,JINDALSTEL,Jindal Steel Limited,Basic Materials,44.0,0.8184824902723735,0.0179788581627996,1147.4000244140625,1161869682805.318,1024062529.702185,2026-06-12,1.0.0,179788.581627996,2.0,10.0,0.35,0.01,3.0,0.423,5.008778203303673,0.19875088645470249,20.990529089758375,377.3857452668848,EXCELLENT
SECE496E96D,NAVINFLUOR,Navin Fluorine International Limited,Basic Materials,12.0,0.8642023346303502,0.0177534669117742,7268.5,371823202750.0,1027275226.45,2026-06-12,1.0.0,177534.669117742,2.0,10.0,0.35,0.01,3.0,0.423,5.0086410469437315,0.19719206689619342,20.988833113839924,372.62455420330775,EXCELLENT
SECA6E1B437,BELRISE,BELRISE INDUSTRIES LTD,Consumer Cyclical,35.0,0.8315891472868218,0.0177010186579581,227.44000244140625,201700020917.55493,1145386952.1773925,2026-06-12,1.0.0,177010.186579581,2.0,10.0,0.35,0.01,3.0,0.423,5.00772709110415,0.18647227667584687,20.977199367779995,371.3177974007806,EXCELLENT
SECCDFD81E7,WELCORP,Welspun Corp Limited,Basic Materials,18.0,0.8494163424124513,0.0175242701555916,1396.5,366284755992.0,1154836042.343451,2026-06-12,1.0.0,175242.701555916,2.0,10.0,0.35,0.01,3.0,0.423,5.007587341195219,0.18477834120503456,20.975365682400255,367.57797483070703,EXCELLENT
SEC604401C1,ACUTAAS,Acutaas Chemicals Limited,Basic Materials,22.0,0.8441634241245136,0.0174012092902968,3147.10009765625,256395788769.78665,1330672150.8816895,2026-06-12,1.0.0,174012.09290296803,2.0,10.0,0.35,0.01,3.0,0.423,5.0065385035971355,0.17153211415682848,20.961070617753965,364.7479767682276,EXCELLENT
