Security_ID,Symbol,Action,Current_Weight,Optimized_Weight,Weight_Change,Current_Value,Target_Value,Trade_Value,Shares,ADV_20D,ADV_Pct,Liquidity_Flag,Compliance_Status
SEC604401C1,ACUTAAS,SELL,0.0174012092902968,8.890220354196419e-17,-0.0174012092902967,1740120.92902968,8.890220354196418e-09,-1740120.92902967,-553,1330672150.8816895,0.0013077007194271587,OK,APPROVED
SECA6E1B437,BELRISE,SELL,0.0177010186579581,0.0,-0.0177010186579581,1770101.86579581,0.0,-1770101.86579581,-7783,1145386952.1773925,0.001545418220829937,OK,APPROVED
SECFA5934F9,JINDALSTEL,SELL,0.0179788581627996,0.0,-0.0179788581627996,1797885.81627996,0.0,-1797885.81627996,-1567,1024062529.702185,0.0017556406607346683,OK,APPROVED
SEC3F90165F,RRKABEL,SELL,0.0181104834288384,6.892669964155308e-17,-0.0181104834288383,1811048.34288384,6.892669964155308e-09,-1811048.3428838297,-842,1269464695.2124023,0.001426623638856543,OK,APPROVED
SEC813579CA,SONACOMS,SELL,0.0182001045682118,1.1629375306292424e-16,-0.0182001045682116,1820010.45682118,1.1629375306292424e-08,-1820010.4568211602,-3090,805761599.3373016,0.0022587455871786732,OK,APPROVED
SECE6819099,ADANIENSOL,SELL,0.0182435733252108,9.534065427401668e-18,-0.0182435733252107,1824357.3325210798,9.53406542740167e-10,-1824357.33252107,-1222,5095655373.06814,0.00035802211863919834,OK,APPROVED
SEC40D715C2,HINDCOPPER,SELL,0.0184223106968242,0.0,-0.0184223106968242,1842231.06968242,0.0,-1842231.06968242,-3621,2373609351.892441,0.0007761306923625147,OK,APPROVED
SEC9BFC6369,MARICO,SELL,0.0188589092234991,4.5803954504589074e-17,-0.018858909223499,1885890.92234991,4.580395450458907e-09,-1885890.9223499,-2304,1345999925.6837585,0.0014011077462666877,OK,APPROVED
SEC5E2FCDD9,WAAREEENER,SELL,0.0197982093465519,2.7014636290380826e-17,-0.0197982093465518,1979820.93465519,2.7014636290380826e-09,-1979820.9346551797,-655,3060762629.659045,0.0006468390967239831,OK,APPROVED
SECD3E0F146,NATIONALUM,SELL,0.019846743819672,0.0,-0.019846743819672,1984674.3819672,0.0,-1984674.3819672,-5276,5481602198.980354,0.0003620610014963096,OK,APPROVED
SEC06DCFAD7,SAIL,SELL,0.0199604255004073,0.0,-0.0199604255004073,1996042.55004073,0.0,-1996042.55004073,-10854,4376503251.329583,0.0004560815873801377,OK,APPROVED
SEC910FE0F6,GRASIM,SELL,0.0199667510582008,2.887086733074693e-17,-0.0199667510582007,1996675.10582008,2.8870867330746927e-09,-1996675.10582007,-643,2760642338.060632,0.0007232646831109409,OK,APPROVED
SEC3069B975,APARINDS,SELL,0.0210343348602527,0.0,-0.0210343348602527,2103433.48602527,0.0,-2103433.48602527,-137,1849503312.0,0.001137296414868637,OK,APPROVED
SECD98B2F18,BSE,SELL,0.0216850799531143,2.1631546014540158e-17,-0.0216850799531142,2168507.9953114297,2.1631546014540157e-09,-2168507.99531142,-540,8773996818.526707,0.0002471516733095359,OK,APPROVED
SECBFB674BF,TORNTPHARM,SELL,0.0222795389954635,0.0,-0.0222795389954635,2227953.8995463504,0.0,-2227953.8995463504,-488,2354768015.4289308,0.0009461458134934448,OK,APPROVED
SEC8084428B,TITAN,SELL,0.0224050247823875,3.949941412846523e-17,-0.0224050247823874,2240502.4782387502,3.949941412846523e-09,-2240502.47823874,-543,3426222277.4719973,0.0006539279406857023,OK,APPROVED
SECA8D30DA3,CGPOWER,SELL,0.022426706882935,2.8847645996530654e-17,-0.0224267068829349,2242670.6882935,2.8847645996530652e-09,-2242670.68829349,-2466,3510287698.27728,0.0006388851516056962,OK,APPROVED
SEC8467BBC9,NESTLEIND,SELL,0.0224387385352618,1.1135565778574834e-16,-0.0224387385352616,2243873.85352618,1.1135565778574834e-08,-2243873.8535261597,-1622,2801292064.615503,0.000801013889936588,OK,APPROVED
SEC31D4BC12,GVT&D,SELL,0.0226551674540102,0.0,-0.0226551674540102,2265516.74540102,0.0,-2265516.74540102,-463,4744110174.789648,0.0004775430295527385,OK,APPROVED
SEC0BDD67BA,MOTHERSON,SELL,0.0226576847906215,1.5384886933460611e-16,-0.0226576847906213,2265768.4790621498,1.538488693346061e-08,-2265768.4790621297,-15795,3802947477.0305176,0.0005957927351737516,OK,APPROVED
SECC2E751BE,APOLLOHOSP,SELL,0.0229921229331528,1.0478313497506851e-16,-0.0229921229331526,2299212.2933152798,1.0478313497506851e-08,-2299212.29331526,-270,3880171828.7,0.0005925542462601665,OK,APPROVED
SEC23029172,ADANIPOWER,SELL,0.0232526240012415,0.0,-0.0232526240012415,2325262.40012415,0.0,-2325262.40012415,-10547,8701394964.536728,0.00026722869259480274,OK,APPROVED
SEC10D35CD2,SBIN,SELL,0.0232725996848592,4.611813846800592e-17,-0.0232725996848591,2327259.9684859198,4.6118138468005915e-09,-2327259.96848591,-2294,8773996818.526707,0.00026524513475680673,OK,APPROVED
SEC0BE45679,POWERINDIA,SELL,0.0236957234556814,2.0338682910689366e-16,-0.0236957234556811,2369572.34556814,2.0338682910689365e-08,-2369572.34556811,-69,7157744736.0,0.00033105013282330465,OK,APPROVED
