Symbol,Observations,Average_Close,Close_Volatility,Min_Close,Max_Close,Average_Volume,Median_Volume,Quality_Score
SBGLP.NS,823,58.82931960744383,38.898479711427036,17.4950008392334,138.32000732421875,429553.44957472663,185160.0,100
SBICARD.NS,1549,822.6091350163853,121.53111448732018,498.75,1140.75,1792108.869593286,1203579.0,100
SBILIFE.NS,1600,1315.2343438720702,364.10870901038055,539.2000122070312,2109.60009765625,1379881.26,1112205.5,100
SBIN.NS,1600,593.026250371933,245.72214790482406,150.85000610351562,1227.800048828125,25284433.110625,16120498.5,100
SCHAEFFLER.NS,1600,2576.846168670654,1217.084555294688,617.3599853515625,4825.60009765625,100388.961875,68028.0,100
SCHAND.NS,1598,159.13319776532646,65.5415183615127,35.650001525878906,317.8500061035156,122079.60951188987,64355.5,100
SCHNEIDER.NS,1600,390.32443773031235,335.4089127993233,60.650001525878906,1377.5999755859375,680148.50875,325869.5,100
SCI.NS,1600,150.79093133449555,70.7675413885856,33.70000076293945,345.6499938964844,3999673.908125,1928768.5,100
SCILAL.NS,553,57.27280294270024,14.31203839475465,34.91999816894531,103.26000213623047,1770867.8065099458,693458.0,100
SCML.NS,657,106.23942162384544,25.10565998313655,56.45000076293945,153.3000030517578,35659.05631659056,14000.0,100
SCODATUBES.NS,258,159.4299228579499,23.65303340015559,116.68000030517578,212.52999877929688,466065.03100775194,225023.5,100
SCPL.NS,880,387.9582952152599,103.75947159329509,194.10000610351562,701.1500244140625,28532.3875,13482.5,100
SDBL.NS,1600,67.87825113117695,49.1381424173909,9.059749603271484,170.14999389648438,1107678.65875,691387.5,100
SEAMECLTD.NS,1598,877.2830111965518,343.5295044728553,196.4499969482422,1643.300048828125,50096.32290362954,20302.0,100
SECMARK.NS,657,111.56406389814171,17.698163569705248,80.9000015258789,162.61000061035156,9227.677321156772,2174.0,100
SECURKLOUD.NS,1599,55.34342704376927,37.66623297835858,16.360000610351562,233.25,61820.1588492808,30067.0,100
SEJALLTD.NS,1600,630.9648720264435,490.0182656451648,14.300000190734863,2348.205322265625,5278.7475,1222.0,100
SEL.NS,685,328.1300730907134,153.928122567025,120.0,865.9500122070312,6272.408759124088,2400.0,100
SELECTIPO.NS,310,45.588368028210056,3.279058371078545,38.119598388671875,50.566001892089844,1201.758064516129,0.0,100
SELMC.NS,1598,543.8450752578779,676.4160856278953,4.949999809265137,3300.0,10415.755319148937,1617.5,100
SEMAC.NS,1598,819.2025669274551,667.5086814176251,209.77000427246094,3423.35009765625,4698.639549436796,1714.5,100
SENCO.NS,722,390.5019044109989,112.88287747323571,182.0749969482422,738.7999877929688,1098266.8310249308,589807.0,100
SENORES.NS,364,708.1351653717377,163.66246437708978,444.29998779296875,1290.0,538778.4862637363,268979.0,100
SEPC.NS,1600,10.949019593447447,6.618701433255548,2.021735906600952,32.59000015258789,7894636.57875,2889998.5,100
