Symbol,Start_Date,End_Date,Observations,Coverage_Years,Pass_Min_History,Coverage_Score
ANDHRAPAP,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
ANDHRSUGAR,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ANGELONE,2020-10-05 00:00:00+05:30,2026-08-04 00:00:00+05:30,1445,5.734126984126984,True,100.0
ANLON,2023-01-10 00:00:00+05:30,2026-07-31 00:00:00+05:30,877,3.4801587301587302,True,69.6031746031746
ANNAPURNA,2022-09-27 00:00:00+05:30,2026-07-31 00:00:00+05:30,949,3.765873015873016,True,75.31746031746032
ANTELOPUS,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ANUP,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
ANURAS,2021-03-24 00:00:00+05:30,2026-08-04 00:00:00+05:30,1326,5.261904761904762,True,100.0
APARINDS,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
APCOTEXIND,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
APEX,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
APLAPOLLO,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
APLLTD,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
APOLLO,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
APOLLOHOSP,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
APOLLOPIPE,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
APOLLOTYRE,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
APS,2024-01-18 00:00:00+05:30,2026-07-31 00:00:00+05:30,625,2.4801587301587302,True,49.60317460317461
APTECHT,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
APTUS,2021-08-24 00:00:00+05:30,2026-08-04 00:00:00+05:30,1225,4.861111111111111,True,97.22222222222221
ARE&M,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ARIES,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1632,6.476190476190476,True,100.0
ARIHANTCAP,2021-06-15 00:00:00+05:30,2026-08-04 00:00:00+05:30,1273,5.051587301587301,True,100.0
ARIHANTSUP,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1632,6.476190476190476,True,100.0
ARKADE,2024-09-24 00:00:00+05:30,2026-08-04 00:00:00+05:30,462,1.8333333333333333,True,36.666666666666664
ARMANFIN,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
ARROWGREEN,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
ARVIND,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ARVINDFASN,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ARVSMART,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
ASAHIINDIA,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ASAL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ASALCBR,2020-02-12 00:00:00+05:30,2026-08-04 00:00:00+05:30,1603,6.361111111111111,True,100.0
ASHAPURMIN,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ASHIANA,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ASHOKA,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ASHOKLEY,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ASIANENE,2021-12-09 00:00:00+05:30,2026-08-04 00:00:00+05:30,1152,4.571428571428571,True,91.42857142857143
ASIANPAINT,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
