Symbol,Observations,Missing_Count,Missing_Pct,Coverage_Pct,Eligible
BAHETI.NS,872,730,0.4556803995006242,54.43196004993758,False
BAIDFIN.NS,841,761,0.47503121098626716,52.49687890137329,False
BAJAJ-AUTO.NS,1602,0,0.0,100.0,True
BAJAJCON.NS,1602,0,0.0,100.0,True
BAJAJELEC.NS,1602,0,0.0,100.0,True
BAJAJFINSV.NS,1602,0,0.0,100.0,True
BAJAJHCARE.NS,1130,472,0.29463171036204744,70.53682896379524,False
BAJAJHIND.NS,1602,0,0.0,100.0,True
BAJAJHLDNG.NS,1602,0,0.0,100.0,True
BAJEL.NS,618,984,0.6142322097378277,38.57677902621723,False
BAJFINANCE.NS,1602,0,0.0,100.0,True
BALAJITELE.NS,1602,0,0.0,100.0,True
BALAMINES.NS,1602,0,0.0,100.0,True
BALAXI.NS,1602,0,0.0,100.0,True
BALKRISHNA.NS,1602,0,0.0,100.0,True
BALKRISIND.NS,1602,0,0.0,100.0,True
BALMLAWRIE.NS,1602,0,0.0,100.0,True
BALPHARMA.NS,1602,0,0.0,100.0,True
BALRAMCHIN.NS,1602,0,0.0,100.0,True
BALUFORGE.NS,532,1070,0.6679151061173533,33.208489388264674,False
BANARBEADS.NS,1602,0,0.0,100.0,True
BANARISUG.NS,1602,0,0.0,100.0,True
BANCOINDIA.NS,1602,0,0.0,100.0,True
BANDHANBNK.NS,1602,0,0.0,100.0,True
BANG.NS,1602,0,0.0,100.0,True
BANKA.NS,1602,0,0.0,100.0,True
BANKBARODA.NS,1602,0,0.0,100.0,True
BANKINDIA.NS,1602,0,0.0,100.0,True
BANSWRAS.NS,1602,0,0.0,100.0,True
BASF.NS,1602,0,0.0,100.0,True
BASILIC.NS,684,918,0.5730337078651685,42.69662921348315,False
BASML.NS,1602,0,0.0,100.0,True
BATAINDIA.NS,1602,0,0.0,100.0,True
BAWEJA.NS,586,1016,0.634207240948814,36.5792759051186,False
BAYERCROP.NS,1602,0,0.0,100.0,True
BBL.NS,1602,0,0.0,100.0,True
BBOX.NS,1602,0,0.0,100.0,True
BBTC.NS,1602,0,0.0,100.0,True
BBTCL.NS,1602,0,0.0,100.0,True
BCG.NS,1602,0,0.0,100.0,True
BCLIND.NS,1308,294,0.18352059925093633,81.64794007490637,False
BCONCEPTS.NS,1602,0,0.0,100.0,True
BDL.NS,1602,0,0.0,100.0,True
BEACON.NS,508,1094,0.682896379525593,31.7103620474407,False
BEARDSELL.NS,1602,0,0.0,100.0,True
BECTORFOOD.NS,1356,246,0.15355805243445692,84.64419475655431,False
BEDMUTHA.NS,1602,0,0.0,100.0,True
BEL.NS,1602,0,0.0,100.0,True
BEML.NS,1602,0,0.0,100.0,True
BEPL.NS,1602,0,0.0,100.0,True
BERGEPAINT.NS,1602,0,0.0,100.0,True
BESTAGRO.NS,1316,286,0.17852684144818975,82.14731585518102,False
BEWLTD.NS,1166,436,0.2721598002496879,72.78401997503121,False
BFINVEST.NS,1602,0,0.0,100.0,True
BFSI.NS,693,909,0.5674157303370787,43.25842696629213,False
BFUTILITIE.NS,1602,0,0.0,100.0,True
BGRENERGY.NS,1602,0,0.0,100.0,True
BHAGCHEM.NS,1156,446,0.2784019975031211,72.15980024968789,False
BHAGERIA.NS,1602,0,0.0,100.0,True
BHAGYANGR.NS,1602,0,0.0,100.0,True
BHANDARI.NS,1602,0,0.0,100.0,True
BHARATFORG.NS,1602,0,0.0,100.0,True
BHARATGEAR.NS,1602,0,0.0,100.0,True
BHARATRAS.NS,1602,0,0.0,100.0,True
BHARATWIRE.NS,1602,0,0.0,100.0,True
BHARTIARTL.NS,1602,0,0.0,100.0,True
BHARTIHEXA.NS,542,1060,0.66167290886392,33.832709113608,False
BHEL.NS,1602,0,0.0,100.0,True
BIGBLOC.NS,1602,0,0.0,100.0,True
