Symbol,Annualized_Volatility
COMMITTED.NS,0.5262836909912673
COMPINFO.NS,0.5653615200343373
COMPUSOFT.NS,0.579011739956609
COMSYN.NS,0.4340677702440455
CONCOR.NS,0.3480903944813674
CONCORDBIO.NS,0.4205262750183586
CONFIPET.NS,0.5025677539484783
CONS.NS,0.19307074763767237
CONSOFINVT.NS,0.5083515594576239
CONTI.NS,0.5113819937498175
CONTROLPR.NS,0.4035180921871182
COOLCAPS.NS,0.5186628884522714
CORALFINAC.NS,0.5676715686359118
CORDSCABLE.NS,0.53323027940015
COROMANDEL.NS,0.30770776035848
COSMOFIRST.NS,0.47469316757412916
COUNCODOS.NS,0.5826842091023773
CPCAP.NS,0.4743665527909235
CPS.NS,0.514733032922876
CRAFTSMAN.NS,0.3668144601408021
CRAYONS.NS,0.6124582037173694
CREATIVEYE.NS,0.5747776193156703
CREDITACC.NS,0.44259281319370775
CREST.NS,0.48981130500185927
CRISIL.NS,0.32888196108511514
CROMPTON.NS,0.3131920129348712
CROWN.NS,0.43710829293472736
CSBBANK.NS,0.3837741856383787
CSLFINANCE.NS,0.4610957931214197
CTE.NS,0.5965705299340123
CUB.NS,0.358516137402329
CUBEXTUB.NS,0.5877053602433493
CUMMINSIND.NS,0.3235702483644359
CUPID.NS,0.4772128628032132
CURAA.NS,0.2363202639145949
CYBERMEDIA.NS,0.5440109293745052
CYBERTECH.NS,0.5884991649752018
CYIENT.NS,0.3820773890735462
CYIENTDLM.NS,0.40314944318090323
DABUR.NS,0.23027218176259137
DALBHARAT.NS,0.3377897986326795
DALMIASUG.NS,0.4827224674597725
DAMODARIND.NS,0.5357539033238211
DANGEE.NS,0.5157228003885633
DATAMATICS.NS,0.5473211747802481
DATAPATTNS.NS,0.49717841999986
DAVANGERE.NS,0.5055568227203994
DBCORP.NS,0.4165608496715042
DBL.NS,0.45560940956047613
DBOL.NS,0.4272041006822959
DBREALTY.NS,0.5975203685922207
DBSTOCKBRO.NS,0.5495034678257146
DCAL.NS,0.5623497855690838
DCBBANK.NS,0.3878057348568027
DCG.NS,0.5469283441250413
DCI.NS,0.4816716958187004
DCM.NS,0.5161159179030766
DCMFINSERV.NS,0.5330771936694113
DCMNVL.NS,0.5113349337583171
DCMSHRIRAM.NS,0.4178775156287421
DCMSRIND.NS,0.4498743587654815
DCW.NS,0.5331788575885174
DCXINDIA.NS,0.5044771366373348
DECCANCE.NS,0.39705963535238364
DEEM.NS,0.6026942725548483
DEEPAKFERT.NS,0.48484460695610615
DEEPAKNTR.NS,0.3829024557784932
DEEPINDS.NS,0.516009919506293
DELAPLEX.NS,0.5383193619211709
DELHIVERY.NS,0.36791760718178845
DELPHIFX.NS,0.5526050903760376
DELTACORP.NS,0.4564928911501166
DELTAMAGNT.NS,0.5737706494685261
DEN.NS,0.43852684414687176
DENEERS.NS,0.517840361730556
DENORA.NS,0.5484657630612247
DENTALKART.NS,0.52011493988821
DESTINY.NS,0.5296892299036355
DEVIT.NS,0.5375670558611002
