Symbol,Yahoo_Symbol,Raw_Beta,Beta,Observation_Count
AUTOAXLES,AUTOAXLES.NS,0.7489,0.8318,740
VINDHYATEL,VINDHYATEL.NS,1.2327,1.1559,742
PRAKASH,PRAKASH.NS,1.509,1.341,742
VIMTALABS,VIMTALABS.NS,0.9495,0.9662,742
DIVGIITTS,DIVGIITTS.NS,0.7995,0.8657,738
FMGOETZE,FMGOETZE.NS,1.0087,1.0059,738
STYLEBAAZA,STYLEBAAZA.NS,1.1137,1.0762,443
PROTEAN,PROTEAN.NS,1.3246,1.2175,337
GIPCL,GIPCL.NS,1.8344,1.5591,742
GLOBUSSPR,GLOBUSSPR.NS,1.012,1.008,740
SUNDROP,SUNDROP.NS,0.4904,0.6586,740
SATIN,SATIN.NS,0.8329,0.8881,740
RAMCOIND,RAMCOIND.NS,1.1199,1.0803,742
RELTD,RELTD.NS,1.2512,1.1683,468
PARKHOTELS,PARKHOTELS.NS,1.3262,1.2186,582
GANECOS,GANECOS.NS,0.8855,0.9233,742
VEEDOL,VEEDOL.NS,1.0076,1.0051,742
NIBE,NIBE.NS,1.1288,1.0863,336
MUFIN,MUFIN.NS,1.0052,1.0035,647
CONFIPET,CONFIPET.NS,0.9349,0.9564,742
BEPL,BEPL.NS,1.1065,1.0713,742
ORISSAMINE,ORISSAMINE.NS,1.4978,1.3335,742
REPCOHOME,REPCOHOME.NS,1.1759,1.1178,742
SIRCA,SIRCA.NS,0.8743,0.9158,742
IMAGICAA,IMAGICAA.NS,1.2566,1.1719,740
TEAMLEASE,TEAMLEASE.NS,0.6192,0.7449,740
VENUSREM,VENUSREM.NS,0.8514,0.9005,738
BFUTILITIE,BFUTILITIE.NS,1.4702,1.3151,742
BGRENERGY,BGRENERGY.NS,1.024,1.0161,738
GREENPANEL,GREENPANEL.NS,0.9667,0.9777,742
NITCO,NITCO.NS,1.0147,1.0098,740
MSPL,MSPL.NS,1.0268,1.018,738
VINCOFE,VINCOFE.NS,1.3299,1.221,414
RAJRATAN,RAJRATAN.NS,1.1067,1.0715,740
MANGLMCEM,MANGLMCEM.NS,1.0365,1.0244,738
AJMERA,AJMERA.NS,1.6002,1.4021,742
SPORTKING,SPORTKING.NS,1.2655,1.1779,740
PRABHA,PRABHA.NS,0.8099,0.8726,308
SERVOTECH,SERVOTECH.NS,1.3153,1.2113,742
BHARATRAS,BHARATRAS.NS,1.0687,1.046,740
INDOCO,INDOCO.NS,0.8553,0.9031,742
UFBL,UFBL.NS,0.9495,0.9661,738
KPEL,KPEL.NS,1.7499,1.5024,390
FILATEX,FILATEX.NS,1.1676,1.1123,740
TCPLPACK,TCPLPACK.NS,0.7688,0.8451,740
PANAMAPET,PANAMAPET.NS,1.0657,1.044,740
BAJEL,BAJEL.NS,1.4052,1.2715,618
HPL,HPL.NS,1.6918,1.4635,742
RAJESHEXPO,RAJESHEXPO.NS,1.0618,1.0414,742
JISLJALEQS,JISLJALEQS.NS,1.6401,1.4289,742
MOLDTKPAC,MOLDTKPAC.NS,0.6719,0.7802,740
HIKAL,HIKAL.NS,1.0644,1.0432,740
ALEMBICLTD,ALEMBICLTD.NS,1.3296,1.2208,742
TALBROAUTO,TALBROAUTO.NS,1.0125,1.0084,742
PIXTRANS,PIXTRANS.NS,0.8002,0.8662,738
SAGCEM,SAGCEM.NS,1.1625,1.1088,740
HINDOILEXP,HINDOILEXP.NS,0.8549,0.9028,742
KICL,KICL.NS,1.2712,1.1817,738
EPACK,EPACK.NS,1.191,1.128,591
VERANDA,VERANDA.NS,1.1831,1.1227,742
MMFL,MMFL.NS,1.1137,1.0762,742
KCP,KCP.NS,1.5348,1.3583,740
APOLLOPIPE,APOLLOPIPE.NS,0.6372,0.7569,742
RISHABH,RISHABH.NS,1.2116,1.1418,680
STOVEKRAFT,STOVEKRAFT.NS,0.8826,0.9213,740
RAMCOSYS,RAMCOSYS.NS,1.166,1.1112,742
AWFIS,AWFIS.NS,1.192,1.1286,511
ARKADE,ARKADE.NS,1.546,1.3658,429
STALLION,STALLION.NS,1.6688,1.4481,348
TASTYBITE,TASTYBITE.NS,0.9388,0.959,740
SOMANYCERA,SOMANYCERA.NS,0.9026,0.9347,738
GEOJITFSL,GEOJITFSL.NS,1.4586,1.3073,740
PENIND,PENIND.NS,1.6569,1.4401,740
INSECTICID,INSECTICID.NS,0.7534,0.8348,740
BLSE,BLSE.NS,1.3451,1.2312,586
SANSTAR,SANSTAR.NS,0.9778,0.9851,472
RANEHOLDIN,RANEHOLDIN.NS,0.9693,0.9794,742
ALPEXSOLAR,ALPEXSOLAR.NS,1.2099,1.1407,572
SCILAL,SCILAL.NS,1.3372,1.226,553
TAJGVK,TAJGVK.NS,1.185,1.124,742
GMBREW,GMBREW.NS,0.9984,0.9989,742
DCXINDIA,DCXINDIA.NS,1.2838,1.1901,742
TIRUMALCHM,TIRUMALCHM.NS,1.3151,1.2111,740
DPABHUSHAN,DPABHUSHAN.NS,1.0506,1.0339,740
SPANDANA,SPANDANA.NS,1.3214,1.2154,742
SIMPLEXINF,SIMPLEXINF.NS,1.1934,1.1296,738
SPAL,SPAL.NS,0.9578,0.9718,740
HINDWAREAP,HINDWAREAP.NS,1.1643,1.1101,740
INDNIPPON,INDNIPPON.NS,1.1322,1.0886,740
ADOR,ADOR.NS,0.8703,0.9131,742
HGS,HGS.NS,0.8547,0.9026,740
EXICOM,EXICOM.NS,1.188,1.126,566
TCIEXP,TCIEXP.NS,0.7334,0.8214,738
MTNL,MTNL.NS,1.6758,1.4528,742
JAICORPLTD,JAICORPLTD.NS,1.6275,1.4204,742
NUCLEUS,NUCLEUS.NS,1.0416,1.0279,740
PFS,PFS.NS,1.5363,1.3593,742
PARACABLES,PARACABLES.NS,1.4119,1.276,742
GOCLCORP,GOCLCORP.NS,1.3916,1.2624,740
VENKEYS,VENKEYS.NS,0.8854,0.9232,740
GRMOVER,GRMOVER.NS,0.8312,0.8869,742
LAOPALA,LAOPALA.NS,0.7771,0.8507,742
ORIENTHOT,ORIENTHOT.NS,1.0883,1.0591,742
MUKANDLTD,MUKANDLTD.NS,1.1712,1.1147,742
NILKAMAL,NILKAMAL.NS,0.6182,0.7442,738
COSMOFIRST,COSMOFIRST.NS,1.151,1.1012,740
NDRAUTO,NDRAUTO.NS,1.3415,1.2288,740
GOCOLORS,GOCOLORS.NS,0.8248,0.8826,740
NGLFINE,NGLFINE.NS,1.0707,1.0474,742
CAPACITE,CAPACITE.NS,1.6127,1.4105,742
IPL,IPL.NS,1.4737,1.3174,740
SAKAR,SAKAR.NS,0.7722,0.8474,742
EIHAHOTELS,EIHAHOTELS.NS,1.0191,1.0128,740
WALCHANNAG,WALCHANNAG.NS,1.3367,1.2256,742
CANTABIL,CANTABIL.NS,1.1535,1.1028,738
RICOAUTO,RICOAUTO.NS,1.7592,1.5087,742
SURYODAY,SURYODAY.NS,1.0785,1.0526,740
SHALBY,SHALBY.NS,1.2911,1.195,742
SAKSOFT,SAKSOFT.NS,1.389,1.2606,742
SBC,SBC.NS,0.5791,0.718,742
HITECH,HITECH.NS,1.4076,1.2731,742
DLINKINDIA,DLINKINDIA.NS,1.3618,1.2424,742
ASIANENE,ASIANENE.NS,0.9891,0.9927,742
ASIANTILES,ASIANTILES.NS,1.2835,1.1899,742
ASTEC,ASTEC.NS,0.7343,0.822,742
JINDRILL,JINDRILL.NS,0.8086,0.8718,742
KRSNAA,KRSNAA.NS,1.0371,1.0248,742
LANDMARK,LANDMARK.NS,0.8439,0.8954,740
KRISHNADEF,KRISHNADEF.NS,1.0686,1.046,738
SHK,SHK.NS,1.1703,1.1141,742
DELTACORP,DELTACORP.NS,1.0508,1.034,742
ARMANFIN,ARMANFIN.NS,0.8819,0.9209,740
JGCHEM,JGCHEM.NS,1.3701,1.248,559
WINDLAS,WINDLAS.NS,0.917,0.9444,740
GOODYEAR,GOODYEAR.NS,1.0,1.0,162
HESTERBIO,HESTERBIO.NS,0.7619,0.8405,740
EMSLIMITED,EMSLIMITED.NS,1.3678,1.2464,677
ACCELYA,ACCELYA.NS,0.8426,0.8945,742
THEJO,THEJO.NS,0.935,0.9564,738
BFINVEST,BFINVEST.NS,1.3702,1.248,740
NELCO,NELCO.NS,1.3998,1.2679,742
ASALCBR,ASALCBR.NS,1.2251,1.1508,740
INFOBEAN,INFOBEAN.NS,1.2347,1.1572,742
SUMMITSEC,SUMMITSEC.NS,1.4934,1.3306,742
DSSL,DSSL.NS,1.3088,1.2069,740
YATRA,YATRA.NS,1.1105,1.074,672
AMRUTANJAN,AMRUTANJAN.NS,0.6388,0.758,742
SDBL,SDBL.NS,1.2263,1.1516,742
SPMLINFRA,SPMLINFRA.NS,1.1587,1.1063,742
TINNARUBR,TINNARUBR.NS,1.1719,1.1152,290
JAYBARMARU,JAYBARMARU.NS,1.1999,1.1339,740
GNA,GNA.NS,1.2189,1.1466,742
GANDHAR,GANDHAR.NS,0.9936,0.9957,631
WENDT,WENDT.NS,0.9865,0.991,740
INDIANHUME,INDIANHUME.NS,1.41,1.2747,740
CLSEL,CLSEL.NS,1.1793,1.1201,738
GARUDA,GARUDA.NS,1.8234,1.5517,417
NAVKARCORP,NAVKARCORP.NS,1.2818,1.1888,742
DYCL,DYCL.NS,1.4286,1.2872,742
KALAMANDIR,KALAMANDIR.NS,1.0455,1.0305,673
MOBIKWIK,MOBIKWIK.NS,1.8338,1.5587,373
ELECTHERM,ELECTHERM.NS,0.6218,0.7466,740
SMCGLOBAL,SMCGLOBAL.NS,1.1029,1.0689,738
RACLGEAR,RACLGEAR.NS,1.3701,1.248,377
ONEPOINT,ONEPOINT.NS,1.2428,1.1627,740
IZMO,IZMO.NS,1.0652,1.0437,740
SHRIRAMPPS,SHRIRAMPPS.NS,1.6994,1.4686,742
5PAISA,5PAISA.NS,0.9083,0.9386,740
UGROCAP,UGROCAP.NS,1.2922,1.1958,740
VINYAS,VINYAS.NS,1.0984,1.0659,660
GPTINFRA,GPTINFRA.NS,1.3381,1.2265,740
SESHAPAPER,SESHAPAPER.NS,0.8558,0.9034,740
VIDHIING,VIDHIING.NS,0.7572,0.8373,738
INDSWFTLAB,INDSWFTLAB.NS,0.8432,0.895,740
MAHASTEEL,MAHASTEEL.NS,0.3738,0.5804,738
SIGNPOST,SIGNPOST.NS,1.3373,1.226,576
GODAVARIB,GODAVARIB.NS,1.068,1.0456,404
ESAFSFB,ESAFSFB.NS,0.7773,0.8508,641
SURAKSHA,SURAKSHA.NS,0.7326,0.8208,379
SPIC,SPIC.NS,1.4116,1.2758,740
BHARATWIRE,BHARATWIRE.NS,1.6342,1.4249,742
OMAXE,OMAXE.NS,1.2894,1.1939,740
AURUM,AURUM.NS,0.889,0.9256,742
DIFFNKG,DIFFNKG.NS,0.9072,0.9378,420
DOLLAR,DOLLAR.NS,0.8905,0.9266,740
JAGSNPHARM,JAGSNPHARM.NS,1.1036,1.0694,742
SAHANA,SAHANA.NS,0.9995,0.9997,735
BOROSCI,BOROSCI.NS,0.9964,0.9976,503
MIRCELECTR,MIRCELECTR.NS,1.4394,1.2944,741
DCW,DCW.NS,1.5305,1.3554,742
JAGRAN,JAGRAN.NS,0.7615,0.8402,740
QUADFUTURE,QUADFUTURE.NS,1.744,1.4985,355
PRECAM,PRECAM.NS,1.4978,1.3335,742
GENESYS,GENESYS.NS,1.7052,1.4725,742
IFGLEXPOR,IFGLEXPOR.NS,1.1448,1.097,742
IGPL,IGPL.NS,1.0071,1.0047,738
FAZE3Q,FAZE3Q.NS,0.9718,0.9811,740
BASILIC,BASILIC.NS,1.1246,1.0835,679
SULA,SULA.NS,0.9699,0.9799,742
DOLATALGO,DOLATALGO.NS,1.3145,1.2107,740
MCLOUD,MCLOUD.NS,1.4139,1.2773,336
HUHTAMAKI,HUHTAMAKI.NS,1.0733,1.0491,742
DEN,DEN.NS,1.2004,1.1342,738
CAPITALSFB,CAPITALSFB.NS,0.7398,0.8257,576
LINCOLN,LINCOLN.NS,0.8662,0.9103,738
DHANBANK,DHANBANK.NS,1.0941,1.0631,742
APEX,APEX.NS,1.4309,1.2887,742
AYMSYNTEX,AYMSYNTEX.NS,0.8273,0.8843,740
GULPOLY,GULPOLY.NS,1.235,1.1574,740
AWHCL,AWHCL.NS,1.0698,1.0468,742
TEXINFRA,TEXINFRA.NS,1.1136,1.0761,740
SKMEGGPROD,SKMEGGPROD.NS,0.9942,0.9961,742
HARIOMPIPE,HARIOMPIPE.NS,1.248,1.1661,742
LAXMIDENTL,LAXMIDENTL.NS,1.3776,1.253,351
TTKHLTCARE,TTKHLTCARE.NS,0.6117,0.7398,740
AEROENTER,AEROENTER.NS,1.3375,1.2261,740
ALLDIGI,ALLDIGI.NS,0.7236,0.8148,736
ROTO,ROTO.NS,1.3186,1.2134,742
UDS,UDS.NS,1.2497,1.1673,667
PLATIND,PLATIND.NS,1.49,1.3283,566
WEL,WEL.NS,0.7616,0.8403,742
ATULAUTO,ATULAUTO.NS,1.1853,1.1242,742
TBZ,TBZ.NS,1.4318,1.2893,742
ICEMAKE,ICEMAKE.NS,0.9471,0.9646,742
PUNJABCHEM,PUNJABCHEM.NS,0.8842,0.9224,736
ANDHRAPAP,ANDHRAPAP.NS,0.8893,0.9258,740
IGARASHI,IGARASHI.NS,1.3754,1.2515,742
INDOBORAX,INDOBORAX.NS,0.7641,0.842,740
EKC,EKC.NS,1.4668,1.3127,740
NELCAST,NELCAST.NS,1.1645,1.1102,740
BLKASHYAP,BLKASHYAP.NS,1.4523,1.3031,742
GPTHEALTH,GPTHEALTH.NS,0.8075,0.8711,565
VILAS,VILAS.NS,1.1437,1.0963,506
MOL,MOL.NS,1.4091,1.2741,742
EXPLEOSOL,EXPLEOSOL.NS,0.8279,0.8847,738
GALAPREC,GALAPREC.NS,0.9968,0.9979,440
GGBL,GGBL.NS,1.4693,1.3145,478
RIIL,RIIL.NS,1.7146,1.4788,742
IKIO,IKIO.NS,0.9867,0.9911,742
HARDWYN,HARDWYN.NS,0.797,0.864,740
RUPA,RUPA.NS,1.0358,1.024,740
NIITLTD,NIITLTD.NS,1.638,1.4275,742
KROSS,KROSS.NS,1.4043,1.2709,437
RATNAVEER,RATNAVEER.NS,1.3611,1.2419,682
INDORAMA,INDORAMA.NS,1.1804,1.1208,742
SHREEPUSHK,SHREEPUSHK.NS,1.0326,1.0218,742
MANAKCOAT,MANAKCOAT.NS,0.7175,0.8107,740
ORIENTTECH,ORIENTTECH.NS,1.1968,1.1319,450
EXCELINDUS,EXCELINDUS.NS,1.005,1.0034,738
SOLEX,SOLEX.NS,0.8731,0.915,736
JPOLYINVST,JPOLYINVST.NS,0.975,0.9832,738
JINDALPHOT,JINDALPHOT.NS,1.0505,1.0339,738
SARTELE,SARTELE.NS,1.5198,1.3483,642
RUBYMILLS,RUBYMILLS.NS,1.3417,1.2289,738
BUTTERFLY,BUTTERFLY.NS,0.4191,0.6108,740
FINOPB,FINOPB.NS,1.2812,1.1884,742
BCLIND,BCLIND.NS,1.1098,1.0736,740
RGL,RGL.NS,1.4048,1.2712,742
MWL,MWL.NS,0.5807,0.7191,736
HMAAGRO,HMAAGRO.NS,0.7929,0.8613,730
ANDHRSUGAR,ANDHRSUGAR.NS,0.942,0.9611,742
AIMTRON,AIMTRON.NS,1.2414,1.1618,501
BHARATSE,BHARATSE.NS,1.8309,1.5567,306
MANALIPETC,MANALIPETC.NS,1.0662,1.0443,742
OAL,OAL.NS,0.9205,0.9467,740
MADRASFERT,MADRASFERT.NS,1.4836,1.324,738
SALZERELEC,SALZERELEC.NS,1.1422,1.0953,742
MONTECARLO,MONTECARLO.NS,0.9984,0.9989,738
SRM,SRM.NS,1.0618,1.0414,546
CENTENKA,CENTENKA.NS,0.9934,0.9956,740
TARSONS,TARSONS.NS,0.7709,0.8465,742
ARIHANTSUP,ARIHANTSUP.NS,1.5026,1.3367,738
AVTNPL,AVTNPL.NS,0.8927,0.9281,738
SHREDIGCEM,SHREDIGCEM.NS,1.0158,1.0106,742
HITECHGEAR,HITECHGEAR.NS,0.9208,0.9469,738
BALAJITELE,BALAJITELE.NS,1.21,1.1407,740
TAC,TAC.NS,0.7442,0.8286,541
CNL,CNL.NS,0.5849,0.7219,738
ALICON,ALICON.NS,1.187,1.1253,738
IRMENERGY,IRMENERGY.NS,0.9581,0.9719,654
GANDHITUBE,GANDHITUBE.NS,0.7858,0.8565,738
CENTRUM,CENTRUM.NS,1.2577,1.1726,742
APS,APS.NS,1.3467,1.2323,590
DAMCAPITAL,DAMCAPITAL.NS,1.8282,1.5549,367
CREST,CREST.NS,1.1158,1.0776,738
MICEL,MICEL.NS,1.4968,1.3329,742
AFSL,AFSL.NS,0.5418,0.693,738
UNIECOM,UNIECOM.NS,1.3058,1.2049,460
STEL,STEL.NS,0.9859,0.9906,742
GAYAPROJ,GAYAPROJ.NS,0.4579,0.6368,742
TNPL,TNPL.NS,0.9764,0.9842,740
BHAGYANGR,BHAGYANGR.NS,1.1194,1.08,742
MODISONLTD,MODISONLTD.NS,1.2286,1.1532,740
MUNJALAU,MUNJALAU.NS,1.363,1.2432,740
RSWM,RSWM.NS,1.2144,1.1436,740
SWELECTES,SWELECTES.NS,0.9749,0.9832,738
MACPOWER,MACPOWER.NS,0.8002,0.8661,740
BAJAJHCARE,BAJAJHCARE.NS,1.05,1.0335,742
THEMISMED,THEMISMED.NS,1.5532,1.3707,742
PRIMESECU,PRIMESECU.NS,1.1129,1.0757,738
CONTROLPR,CONTROLPR.NS,0.6605,0.7725,738
BIRLANU,BIRLANU.NS,0.7183,0.8113,738
RAJOOENG,RAJOOENG.NS,1.6844,1.4585,264
MASTERTR,MASTERTR.NS,1.5054,1.3386,377
INDOAMIN,INDOAMIN.NS,1.4855,1.3253,740
NAHARSPING,NAHARSPING.NS,1.11,1.0737,740
MENONBE,MENONBE.NS,0.8891,0.9257,740
WCIL,WCIL.NS,1.3811,1.2553,431
HIMATSEIDE,HIMATSEIDE.NS,1.7241,1.4852,742
DHARMAJ,DHARMAJ.NS,0.8705,0.9132,740
YUKEN,YUKEN.NS,0.8801,0.9197,740
AMBIKCO,AMBIKCO.NS,0.8952,0.9298,740
LIKHITHA,LIKHITHA.NS,1.1851,1.124,742
WANBURY,WANBURY.NS,1.148,1.0991,740
QUICKHEAL,QUICKHEAL.NS,1.6256,1.4192,742
AVADHSUGAR,AVADHSUGAR.NS,0.9763,0.9841,740
ESTER,ESTER.NS,1.5055,1.3387,742
BHAGERIA,BHAGERIA.NS,1.0602,1.0403,740
NDTV,NDTV.NS,1.4571,1.3063,742
DHAMPURSUG,DHAMPURSUG.NS,0.8728,0.9148,742
SURAJEST,SURAJEST.NS,1.6262,1.4196,614
DENTALKART,DENTALKART.NS,0.7196,0.8121,735
ZUARI,ZUARI.NS,1.4491,1.3009,742
CIFL,CIFL.NS,1.1396,1.0935,288
GRPLTD,GRPLTD.NS,0.8434,0.8951,738
ORICONENT,ORICONENT.NS,0.7929,0.8612,740
UTTAMSUGAR,UTTAMSUGAR.NS,0.9908,0.9938,742
EIMCOELECO,EIMCOELECO.NS,1.0264,1.0177,738
MAMATA,MAMATA.NS,1.4588,1.3074,367
GHCLTEXTIL,GHCLTEXTIL.NS,1.1605,1.1075,740
KOPRAN,KOPRAN.NS,1.4552,1.305,742
ARROWGREEN,ARROWGREEN.NS,0.9424,0.9614,740
ROHLTD,ROHLTD.NS,1.0977,1.0654,738
BORANA,BORANA.NS,1.2005,1.1344,262
IFBAGRO,IFBAGRO.NS,1.0614,1.0411,742
SRHHYPOLTD,SRHHYPOLTD.NS,1.177,1.1186,740
BODALCHEM,BODALCHEM.NS,1.2106,1.1411,740
SGIL,SGIL.NS,0.7208,0.8129,738
TVSELECT,TVSELECT.NS,1.1943,1.1302,740
TEMBO,TEMBO.NS,0.7617,0.8403,740
MAXIND,MAXIND.NS,0.7466,0.8302,738
KOKUYOCMLN,KOKUYOCMLN.NS,1.1133,1.0759,740
NCLIND,NCLIND.NS,0.8774,0.9178,740
GICHSGFIN,GICHSGFIN.NS,1.2175,1.1457,740
SUDARCOLOR,SUDARCOLOR.NS,0.5848,0.7218,740
VIVIANA,VIVIANA.NS,0.7693,0.8454,736
DWARKESH,DWARKESH.NS,0.7736,0.8483,740
DVL,DVL.NS,1.2169,1.1453,738
SALSTEEL,SALSTEEL.NS,0.8318,0.8873,738
KABRAEXTRU,KABRAEXTRU.NS,1.39,1.2613,740
PROSTARM,PROSTARM.NS,1.2885,1.1933,259
SARLAPOLY,SARLAPOLY.NS,1.35,1.2345,742
TNPETRO,TNPETRO.NS,0.9243,0.9493,742
SUYOG,SUYOG.NS,0.9645,0.9762,452
ABSMARINE,ABSMARINE.NS,1.2331,1.1562,513
KRYSTAL,KRYSTAL.NS,0.8222,0.8809,551
DECCANCE,DECCANCE.NS,1.0821,1.055,738
MATRIMONY,MATRIMONY.NS,0.5453,0.6954,740
VASCONEQ,VASCONEQ.NS,1.6249,1.4187,742
PVP,PVP.NS,1.0972,1.0652,740
KAMDHENU,KAMDHENU.NS,1.2931,1.1964,742
STANLEY,STANLEY.NS,1.3767,1.2524,489
SIGACHI,SIGACHI.NS,1.1786,1.1196,740
BAJAJINDEF,BAJAJINDEF.NS,1.414,1.2774,324
GANESHBE,GANESHBE.NS,1.1305,1.0874,740
OMINFRAL,OMINFRAL.NS,1.1639,1.1098,740
ASAL,ASAL.NS,1.2931,1.1964,742
EMKAY,EMKAY.NS,1.237,1.1588,740
PCCL,PCCL.NS,0.7179,0.811,484
DBOL,DBOL.NS,0.7971,0.8641,740
PDMJEPAPER,PDMJEPAPER.NS,1.4234,1.2837,740
SUPREMEPWR,SUPREMEPWR.NS,1.3499,1.2344,604
NRAIL,NRAIL.NS,0.795,0.8627,740
BLAL,BLAL.NS,1.0629,1.0421,742
VALIANTORG,VALIANTORG.NS,0.9623,0.9747,738
STERTOOLS,STERTOOLS.NS,1.4204,1.2817,740
ATMASTCO,ATMASTCO.NS,0.8324,0.8877,566
JITFINFRA,JITFINFRA.NS,0.8036,0.8684,740
ARIHANTCAP,ARIHANTCAP.NS,1.6501,1.4356,742
ECOSMOBLTY,ECOSMOBLTY.NS,1.7296,1.4888,445
HERANBA,HERANBA.NS,1.1897,1.1271,742
SCODATUBES,SCODATUBES.NS,1.594,1.398,260
MAANALU,MAANALU.NS,0.8349,0.8894,740
FAIRCHEMOR,FAIRCHEMOR.NS,0.7312,0.8199,738
SOUTHWEST,SOUTHWEST.NS,0.8121,0.8741,742
BIRLAMONEY,BIRLAMONEY.NS,1.2361,1.1582,740
ZUARIIND,ZUARIIND.NS,1.399,1.2674,740
COFFEEDAY,COFFEEDAY.NS,1.09,1.0603,742
PROZONER,PROZONER.NS,1.2007,1.1345,740
VLSFINANCE,VLSFINANCE.NS,1.1515,1.1015,738
STCINDIA,STCINDIA.NS,1.5567,1.373,742
AGARIND,AGARIND.NS,1.3101,1.2077,738
MVGJL,MVGJL.NS,1.1565,1.1048,666
CHEMCON,CHEMCON.NS,0.9927,0.9951,738
RITCO,RITCO.NS,1.3277,1.2196,738
XCHANGING,XCHANGING.NS,1.3192,1.2139,740
SJLOGISTIC,SJLOGISTIC.NS,1.0273,1.0183,611
ATL,ATL.NS,1.1791,1.12,699
MEGATHERM,MEGATHERM.NS,1.144,1.0965,580
KOTHARIPET,KOTHARIPET.NS,1.362,1.2425,738
MUKKA,MUKKA.NS,1.0244,1.0163,562
BIGBLOC,BIGBLOC.NS,1.4263,1.2856,742
COMSYN,COMSYN.NS,0.466,0.6422,593
GEECEE,GEECEE.NS,1.0197,1.0132,740
KSOLVES,KSOLVES.NS,1.0487,1.0326,742
JAYAGROGN,JAYAGROGN.NS,0.9154,0.9433,738
MCLEODRUSS,MCLEODRUSS.NS,1.1492,1.1,738
PVSL,PVSL.NS,0.9715,0.9809,555
MINDTECK,MINDTECK.NS,1.6365,1.4264,740
APTECHT,APTECHT.NS,1.5164,1.346,742
RADHIKAJWE,RADHIKAJWE.NS,1.4315,1.2891,738
KECL,KECL.NS,1.2484,1.1664,742
ADSL,ADSL.NS,1.5752,1.3854,742
VISAKAIND,VISAKAIND.NS,0.9932,0.9955,740
MMP,MMP.NS,1.1675,1.1123,738
20MICRONS,20MICRONS.NS,1.2213,1.1483,740
DENTA,DENTA.NS,1.457,1.3062,344
KUANTUM,KUANTUM.NS,1.2805,1.1879,738
SAURASHCEM,SAURASHCEM.NS,1.3571,1.2393,569
OCCLLTD,OCCLLTD.NS,1.1389,1.093,401
ACCENTMIC,ACCENTMIC.NS,0.7378,0.8243,613
MAGADSUGAR,MAGADSUGAR.NS,0.9696,0.9796,740
INDOFARM,INDOFARM.NS,1.5308,1.3557,358
MANBA,MANBA.NS,0.9713,0.9808,423
TVTODAY,TVTODAY.NS,0.8732,0.915,740
SNOWMAN,SNOWMAN.NS,1.4068,1.2725,742
TREL,TREL.NS,1.0429,1.0287,701
FOCUS,FOCUS.NS,0.7379,0.8244,738
PYRAMID,PYRAMID.NS,0.6644,0.7752,689
ZIMLAB,ZIMLAB.NS,0.8899,0.9262,740
DMCC,DMCC.NS,1.2271,1.1522,738
NAHARPOLY,NAHARPOLY.NS,1.109,1.073,738
PASUPTAC,PASUPTAC.NS,1.1159,1.0776,740
OSWALGREEN,OSWALGREEN.NS,1.5781,1.3874,742
VINSYS,VINSYS.NS,0.6579,0.7708,697
LINC,LINC.NS,0.9603,0.9734,740
PREMIERPOL,PREMIERPOL.NS,0.6686,0.778,740
BIRLACABLE,BIRLACABLE.NS,1.2758,1.1848,740
PPL,PPL.NS,1.3837,1.2571,740
HMVL,HMVL.NS,0.8997,0.9328,738
MUFTI,MUFTI.NS,1.3207,1.2148,611
CHEMFAB,CHEMFAB.NS,0.8322,0.8876,738
LOKESHMACH,LOKESHMACH.NS,0.7516,0.8336,740
ONWARDTEC,ONWARDTEC.NS,1.3009,1.2016,738
SATIA,SATIA.NS,0.9339,0.9557,740
KHAICHEM,KHAICHEM.NS,1.2096,1.1404,740
TERASOFT,TERASOFT.NS,0.7608,0.8398,740
ANNAPURNA,ANNAPURNA.NS,0.953,0.9685,735
RBZJEWEL,RBZJEWEL.NS,0.9273,0.9513,609
CEWATER,CEWATER.NS,1.5498,1.3684,365
TIRUPATIFL,TIRUPATIFL.NS,0.6303,0.7523,738
ONMOBILE,ONMOBILE.NS,1.4693,1.3144,742
HTMEDIA,HTMEDIA.NS,1.1929,1.1293,738
GLOBAL,GLOBAL.NS,0.9129,0.9416,740
TPLPLASTEH,TPLPLASTEH.NS,1.1946,1.1304,742
NRL,NRL.NS,0.9299,0.9531,740
EVERESTIND,EVERESTIND.NS,1.0219,1.0147,738
MUNJALSHOW,MUNJALSHOW.NS,1.167,1.1119,742
ELIN,ELIN.NS,1.2487,1.1666,740
REPRO,REPRO.NS,0.8277,0.8845,738
EFFWA,EFFWA.NS,0.886,0.9237,476
SPECIALITY,SPECIALITY.NS,0.8875,0.9246,740
CSLFINANCE,CSLFINANCE.NS,1.0769,1.0515,738
SCHAND,SCHAND.NS,0.7289,0.8183,738
INTLCONV,INTLCONV.NS,1.3185,1.2134,742
RKSWAMY,RKSWAMY.NS,1.1987,1.1332,560
ORBTEXP,ORBTEXP.NS,1.2674,1.1791,738
KRONOX,KRONOX.NS,1.1252,1.0839,502
SCPL,SCPL.NS,0.6441,0.7615,738
OMAXAUTO,OMAXAUTO.NS,1.1182,1.0792,740
KAMATHOTEL,KAMATHOTEL.NS,0.8748,0.9161,740
MANCREDIT,MANCREDIT.NS,0.3684,0.5769,454
UNIDT,UNIDT.NS,0.9256,0.9502,738
DONEAR,DONEAR.NS,1.059,1.0395,740
MAZDA,MAZDA.NS,1.0655,1.0439,742
SBGLP,SBGLP.NS,0.8461,0.8969,738
