Symbol,Yahoo_Symbol,Raw_Beta,Beta,Observation_Count
ABBOTINDIA,ABBOTINDIA.NS,0.3802,0.5847,742
TATACOMM,TATACOMM.NS,1.0292,1.0196,742
VMM,VMM.NS,1.0958,1.0642,373
COROMANDEL,COROMANDEL.NS,0.9313,0.954,742
SBICARD,SBICARD.NS,0.851,0.9001,742
MFSL,MFSL.NS,0.789,0.8587,742
MOTILALOFS,MOTILALOFS.NS,1.7397,1.4956,742
MRF,MRF.NS,0.7159,0.8096,740
THERMAX,THERMAX.NS,0.7325,0.8208,740
UPL,UPL.NS,1.1369,1.0917,742
KEI,KEI.NS,1.0255,1.0171,742
GODREJPROP,GODREJPROP.NS,1.7156,1.4795,742
APLAPOLLO,APLAPOLLO.NS,0.9755,0.9836,742
HINDCOPPER,HINDCOPPER.NS,1.9064,1.6073,742
RVNL,RVNL.NS,1.604,1.4047,742
RADICO,RADICO.NS,0.6095,0.7384,740
PREMIERENE,PREMIERENE.NS,1.1024,1.0686,446
PATANJALI,PATANJALI.NS,1.017,1.0114,742
SUNDARMFIN,SUNDARMFIN.NS,0.8874,0.9246,742
AIIL,AIIL.NS,1.6872,1.4604,536
NLCINDIA,NLCINDIA.NS,1.298,1.1996,742
SUPREMEIND,SUPREMEIND.NS,0.9734,0.9822,742
360ONE,360ONE.NS,1.0221,1.0148,740
BDL,BDL.NS,1.2639,1.1768,742
MPHASIS,MPHASIS.NS,1.0806,1.054,742
PIIND,PIIND.NS,0.8426,0.8946,742
PAGEIND,PAGEIND.NS,0.6714,0.7798,738
VOLTAS,VOLTAS.NS,0.9574,0.9714,742
ASTERDM,ASTERDM.NS,0.457,0.6362,742
IRCTC,IRCTC.NS,1.2241,1.1502,742
HUDCO,HUDCO.NS,1.7388,1.495,742
IPCALAB,IPCALAB.NS,0.4061,0.6021,740
ASTRAL,ASTRAL.NS,0.8743,0.9158,742
PETRONET,PETRONET.NS,1.0677,1.0454,742
AIAENG,AIAENG.NS,0.6073,0.7369,738
ATHERENERG,ATHERENERG.NS,0.7662,0.8433,281
FLUOROCHEM,FLUOROCHEM.NS,0.7616,0.8403,742
M&MFIN,M&MFIN.NS,1.333,1.2231,742
AJANTPHARM,AJANTPHARM.NS,0.4667,0.6427,740
NH,NH.NS,0.6125,0.7404,742
BALKRISIND,BALKRISIND.NS,1.0617,1.0413,740
GLAND,GLAND.NS,0.6635,0.7745,740
NAVINFLUOR,NAVINFLUOR.NS,0.9031,0.9351,740
COCHINSHIP,COCHINSHIP.NS,1.3996,1.2677,742
WELCORP,WELCORP.NS,1.2443,1.1637,742
SONACOMS,SONACOMS.NS,1.0154,1.0103,742
KPRMILL,KPRMILL.NS,0.5439,0.6944,742
JKCEMENT,JKCEMENT.NS,0.9558,0.9704,742
JBCHEPHARM,JBCHEPHARM.NS,0.4743,0.6478,742
UBL,UBL.NS,0.5076,0.6701,742
GUJGASLTD,GUJGASLTD.NS,0.8632,0.9084,740
GODFRYPHLP,GODFRYPHLP.NS,1.0517,1.0347,742
GLAXO,GLAXO.NS,0.6606,0.7726,742
LTTS,LTTS.NS,0.9666,0.9777,742
3MINDIA,3MINDIA.NS,0.6353,0.7557,738
KALYANKJIL,KALYANKJIL.NS,1.2052,1.1375,742
EMBASSY,EMBASSY.NS,0.1414,0.4247,739
ENDURANCE,ENDURANCE.NS,0.7732,0.848,742
GODREJIND,GODREJIND.NS,0.9261,0.9505,742
IREDA,IREDA.NS,1.4308,1.2886,632
HSCL,HSCL.NS,1.1134,1.076,742
POONAWALLA,POONAWALLA.NS,1.0791,1.053,742
AEGISLOG,AEGISLOG.NS,0.7041,0.8017,738
CONCOR,CONCOR.NS,1.3678,1.2464,742
TATAINVEST,TATAINVEST.NS,0.8337,0.8886,742
EXIDEIND,EXIDEIND.NS,1.2558,1.1714,742
NXST,NXST.NS,0.2397,0.4906,739
MEDANTA,MEDANTA.NS,0.6516,0.7666,740
DELHIVERY,DELHIVERY.NS,0.9167,0.9442,742
EMCURE,EMCURE.NS,0.8728,0.9148,481
UCOBANK,UCOBANK.NS,1.4938,1.3309,742
BLUESTARCO,BLUESTARCO.NS,0.8497,0.8993,742
HONAUT,HONAUT.NS,0.657,0.7702,738
BANDHANBNK,BANDHANBNK.NS,1.3382,1.2266,742
ABSLAMC,ABSLAMC.NS,1.0875,1.0586,742
ITCHOTELS,ITCHOTELS.NS,1.0586,1.0392,342
WOCKPHARMA,WOCKPHARMA.NS,1.2221,1.1488,742
KIMS,KIMS.NS,0.655,0.7688,742
DALBHARAT,DALBHARAT.NS,1.0577,1.0387,740
STARHEALTH,STARHEALTH.NS,0.4584,0.6371,742
ANGELONE,ANGELONE.NS,1.5526,1.3702,742
TATATECH,TATATECH.NS,0.8947,0.9295,631
LICHSGFIN,LICHSGFIN.NS,1.3994,1.2676,742
HEXT,HEXT.NS,0.8316,0.8872,326
ESCORTS,ESCORTS.NS,1.0509,1.0341,742
GRSE,GRSE.NS,1.5236,1.3508,742
PGHH,PGHH.NS,0.3168,0.5423,740
ANANDRATHI,ANANDRATHI.NS,0.4039,0.6006,742
ITI,ITI.NS,1.0084,1.0056,742
STLTECH,STLTECH.NS,1.3021,1.2024,742
CRISIL,CRISIL.NS,0.4703,0.6451,742
NUVAMA,NUVAMA.NS,1.4595,1.3079,674
MANAPPURAM,MANAPPURAM.NS,1.2767,1.1854,742
SJVN,SJVN.NS,1.5898,1.3952,742
MRPL,MRPL.NS,1.1997,1.1338,742
IKS,IKS.NS,0.8458,0.8967,370
NBCC,NBCC.NS,1.6963,1.4665,742
ZFCVINDIA,ZFCVINDIA.NS,0.6003,0.7322,742
CHOLAHLDNG,CHOLAHLDNG.NS,1.0883,1.0591,742
CENTRALBK,CENTRALBK.NS,1.5681,1.3807,742
KARURVYSYA,KARURVYSYA.NS,1.08,1.0536,742
PTCIL,PTCIL.NS,0.971,0.9805,740
GODIGIT,GODIGIT.NS,0.4487,0.6306,514
SHYAMMETL,SHYAMMETL.NS,1.0868,1.0581,742
JUBLFOOD,JUBLFOOD.NS,0.8415,0.8938,742
TVSHLTD,TVSHLTD.NS,0.9366,0.9575,738
METROBRAND,METROBRAND.NS,0.5788,0.7178,738
KIRLOSENG,KIRLOSENG.NS,1.0938,1.0629,740
TIMKEN,TIMKEN.NS,0.6851,0.789,740
LALPATHLAB,LALPATHLAB.NS,0.5254,0.682,742
HFCL,HFCL.NS,1.7645,1.5122,742
SCHNEIDER,SCHNEIDER.NS,1.3239,1.217,742
SAILIFE,SAILIFE.NS,1.0741,1.0496,373
NETWEB,NETWEB.NS,1.1546,1.1036,715
ACUTAAS,ACUTAAS.NS,1.08,1.0536,742
AMBER,AMBER.NS,1.2634,1.1765,742
PNBHOUSING,PNBHOUSING.NS,1.2612,1.175,742
CDSL,CDSL.NS,1.4128,1.2766,742
TATAELXSI,TATAELXSI.NS,0.9632,0.9754,742
DATAPATTNS,DATAPATTNS.NS,1.1777,1.1191,742
GILLETTE,GILLETTE.NS,0.5095,0.6714,742
IRB,IRB.NS,1.3305,1.2214,742
NIACL,NIACL.NS,1.5413,1.3627,742
ACC,ACC.NS,1.2205,1.1477,742
APOLLOTYRE,APOLLOTYRE.NS,1.0212,1.0142,742
SYRMA,SYRMA.NS,1.3481,1.2332,742
RRKABEL,RRKABEL.NS,0.8557,0.9033,674
AWL,AWL.NS,0.8946,0.9294,742
