Symbol,Beta
BEDMUTHA.NS,0.3301
BEL.NS,0.7705
BEML.NS,1.0768
BEPL.NS,0.5548
BERGEPAINT.NS,0.757
BESTAGRO.NS,0.9986
BFINVEST.NS,0.9139
BFUTILITIE.NS,1.0981
BGRENERGY.NS,0.8072
BHAGERIA.NS,1.0522
BHAGYANGR.NS,0.4841
BHANDARI.NS,0.7034
BHARATFORG.NS,0.8169
BHARATGEAR.NS,0.7627
BHARATRAS.NS,0.924
BHARATWIRE.NS,0.9543
BHARTIARTL.NS,0.8137
BHEL.NS,1.2092
BIGBLOC.NS,0.7169
BIL.NS,0.5162
BIOCON.NS,0.7649
BIOFILCHEM.NS,0.6083
BIRET.NS,0.25
BIRLACABLE.NS,0.963
BIRLACORPN.NS,0.9812
BIRLAMONEY.NS,1.0256
BIRLANU.NS,0.8702
BLBLIMITED.NS,0.4249
BLISSGVS.NS,0.6737
BLKASHYAP.NS,0.9358
BLS.NS,0.9656
BLUECHIP.NS,0.6336
BLUECOAST.NS,0.25
BLUEDART.NS,0.4836
BLUESTARCO.NS,0.5609
BODALCHEM.NS,0.9753
BOHRAIND.NS,0.25
BOMDYEING.NS,1.4268
BOROLTD.NS,0.891
BORORENEW.NS,0.6584
BOSCH-HCIL.NS,0.4405
BOSCHLTD.NS,0.985
BPCL.NS,1.0881
BPL.NS,1.1289
BRIGADE.NS,0.6385
BRITANNIA.NS,0.7083
BRNL.NS,0.5793
BROOKS.NS,0.6482
BSE.NS,0.9898
BSHSL.NS,0.3362
BSL.NS,0.9626
BSOFT.NS,1.1719
BTML.NS,0.3081
BUTTERFLY.NS,0.9289
BVCL.NS,0.3407
BYKE.NS,0.8153
CADSYS.NS,0.25
CALSOFT.NS,0.5073
CAMLINFINE.NS,0.8389
CAMS.NS,0.8983
CANBK.NS,1.3191
CANFINHOME.NS,0.8516
CANTABIL.NS,0.5039
CAPACITE.NS,1.1242
CAPLIPOINT.NS,0.9212
CAPTRUST.NS,0.569
CARBORUNIV.NS,0.5596
CARERATING.NS,0.4864
CARYSIL.NS,1.117
CASTROLIND.NS,0.708
CCAVENUE.NS,0.8083
CCCL.NS,0.6963
CCHHL.NS,0.3476
CCL.NS,0.6436
CDSL.NS,0.8778
CEATLTD.NS,0.6485
CELEBRITY.NS,0.9768
CEMPRO.NS,1.019
CENTENKA.NS,0.6072
CENTEXT.NS,0.9187
CENTRALBK.NS,0.7752
CENTRUM.NS,0.9347
CENTUM.NS,0.9352
CENTURYPLY.NS,0.5474
CERA.NS,0.3071
CEREBRAINT.NS,0.4409
CESC.NS,0.6832
CGCL.NS,0.3419
CGPOWER.NS,0.6457
CHALET.NS,0.4645
CHAMBLFERT.NS,0.8437
CHEMBOND.NS,0.7887
CHEMCON.NS,0.9539
CHEMFAB.NS,0.6301
CHENNPETRO.NS,0.682
CHOLAFIN.NS,1.2402
CHOLAHLDNG.NS,0.5783
CIEINDIA.NS,0.853
CINELINE.NS,0.7577
CINEVISTA.NS,0.4296
CIPLA.NS,0.5727
CLEDUCATE.NS,0.6864
CLSEL.NS,0.8463
CNL.NS,0.3734
COALINDIA.NS,0.6728
COCHINSHIP.NS,0.8847
COFFEEDAY.NS,0.4354
COFORGE.NS,1.311
COHANCE.NS,0.9301
COLPAL.NS,0.5046
COMPINFO.NS,0.7255
COMPUSOFT.NS,0.6909
CONCOR.NS,0.8038
CONFIPET.NS,0.9036
CONSOFINVT.NS,0.8331
CONTI.NS,0.25
CONTROLPR.NS,0.6315
CORALFINAC.NS,0.9047
CORDSCABLE.NS,0.7072
COROMANDEL.NS,0.543
COSMOFIRST.NS,0.9348
COUNCODOS.NS,0.549
CPCAP.NS,0.7474
CRAFTSMAN.NS,1.0429
CREATIVEYE.NS,0.25
CREDITACC.NS,0.5949
CREST.NS,0.8618
CRISIL.NS,0.4381
CROMPTON.NS,0.5164
CROWN.NS,0.25
CSBBANK.NS,0.8299
CTE.NS,0.5234
CUB.NS,0.8338
CUBEXTUB.NS,0.5415
CUMMINSIND.NS,0.4705
CUPID.NS,0.8334
CURAA.NS,0.25
CYBERMEDIA.NS,0.25
CYBERTECH.NS,1.1283
CYIENT.NS,0.5739
DABUR.NS,0.7587
DALBHARAT.NS,1.0137
DALMIASUG.NS,0.8321
DAMODARIND.NS,0.9478
DANGEE.NS,0.3331
DATAMATICS.NS,1.2052
DBCORP.NS,0.5729
DBL.NS,0.8959
DBREALTY.NS,0.8991
DBSTOCKBRO.NS,0.5313
DCAL.NS,0.8403
DCBBANK.NS,0.6594
DCI.NS,0.25
DCM.NS,0.5467
DCMFINSERV.NS,0.3054
DCMNVL.NS,0.5813
DCMSHRIRAM.NS,0.7277
DCW.NS,1.0819
DECCANCE.NS,0.9149
DEEPAKFERT.NS,0.9278
DEEPAKNTR.NS,1.0375
DEEPINDS.NS,1.4913
DELPHIFX.NS,0.5625
DELTACORP.NS,0.9888
DELTAMAGNT.NS,0.8505
DEN.NS,0.8712
DENORA.NS,0.7736
DEVIT.NS,0.431
DGCONTENT.NS,0.25
DHAMPURSUG.NS,0.8531
DHANBANK.NS,0.8183
DHANUKA.NS,1.061
DHUNINV.NS,0.6615
DIACABS.NS,0.7603
DIAMONDYD.NS,0.4406
DICIND.NS,0.6976
DIGISPICE.NS,0.7474
DIGJAMLMTD.NS,0.25
DISHTV.NS,0.6873
DIVISLAB.NS,0.7401
DIXON.NS,0.9576
DLF.NS,1.4016
DLINKINDIA.NS,1.1494
DMART.NS,0.6383
DNAMEDIA.NS,0.25
DOLATALGO.NS,1.0392
DOLLAR.NS,0.8817
DOLPHIN.NS,0.25
DONEAR.NS,0.4919
DPABHUSHAN.NS,0.4484
DPSCLTD.NS,0.7075
DPWIRES.NS,0.4858
DRCSYSTEMS.NS,0.2776
DREDGECORP.NS,1.0983
DRREDDY.NS,0.6483
DRSDILIP.NS,0.25
DSSL.NS,1.0167
DTIL.NS,0.8084
DUCON.NS,0.3304
DVL.NS,0.8348
DWARKESH.NS,0.6144
DYNAMATECH.NS,0.807
DYNPRO.NS,0.9064
E2E.NS,0.3699
EASEMYTRIP.NS,1.2445
EASTSILK.NS,0.4233
ECLERX.NS,0.4999
EDELWEISS.NS,0.7006
EICHERMOT.NS,0.6714
EIDPARRY.NS,0.8726
EIFFL.NS,0.4135
EIHAHOTELS.NS,0.5833
EIHOTEL.NS,0.8925
EIMCOELECO.NS,0.6494
EKC.NS,0.9056
ELECON.NS,0.6552
ELECTCAST.NS,0.9295
ELECTHERM.NS,0.5663
ELGIEQUIP.NS,0.561
ELGIRUBCO.NS,0.716
EMAMILTD.NS,0.7512
EMAMIREAL.NS,0.748
EMBASSY.NS,0.3101
EMBDL.NS,1.0039
EMKAY.NS,1.2694
EMKAYTOOLS.NS,0.2972
EMMBI.NS,0.8105
ENDURANCE.NS,0.3537
ENERGYDEV.NS,0.513
ENGINERSIN.NS,0.9143
ENIL.NS,0.8587
EPL.NS,0.9083
EQUIPPP.NS,0.9125
EQUITASBNK.NS,0.7184
ERIS.NS,0.5115
ESABINDIA.NS,0.5591
ESCORTS.NS,0.9938
ESSARSHPNG.NS,0.6717
ESSENTIA.NS,0.25
ESTER.NS,0.7842
EUROTEXIND.NS,0.2915
EVEREADY.NS,0.6808
EVERESTIND.NS,1.1312
EXCELINDUS.NS,0.9187
EXIDEIND.NS,0.7907
EXPLEOSOL.NS,0.7452
FACT.NS,0.7511
FAIRCHEMOR.NS,0.5724
FCL.NS,1.1983
FCSSOFT.NS,0.25
FDC.NS,0.7222
FEDERALBNK.NS,1.1828
FEL.NS,0.724
FELDVR.NS,0.5607
FELIX.NS,0.25
FIEMIND.NS,0.7732
FILATEX.NS,1.1789
FINCABLES.NS,0.7475
FINEORG.NS,0.5576
FINPIPE.NS,0.7074
FLEXITUFF.NS,0.4325
FLFL.NS,0.25
FLUOROCHEM.NS,0.6904
FMGOETZE.NS,0.5986
FMNL.NS,0.3845
FOCUS.NS,0.4129
FORCEMOT.NS,1.1349
FORTIS.NS,0.4615
FOSECOIND.NS,0.6417
FSL.NS,0.9631
GABRIEL.NS,0.7411
GAEL.NS,0.9968
GAIL.NS,0.817
GALAXYSURF.NS,0.5138
GALLANTT.NS,0.5584
GANDHITUBE.NS,0.4534
GANECOS.NS,0.8537
GANESHHOU.NS,0.8302
GANGAFORGE.NS,0.6867
GANGESSECU.NS,0.8717
GARFIBRES.NS,0.56
GATECH.NS,0.25
GATECHDVR.NS,0.25
GAYAHWS.NS,0.8874
GAYAPROJ.NS,0.5697
GEECEE.NS,0.9678
GEEKAYWIRE.NS,0.3722
GENCON.NS,0.5174
GENESYS.NS,0.8014
GENUSPAPER.NS,0.987
GENUSPOWER.NS,0.7744
GEOJITFSL.NS,0.7798
GESHIP.NS,0.7225
GFLLIMITED.NS,0.6915
GHCL.NS,1.0311
GICHSGFIN.NS,0.8455
GICL.NS,0.25
GICRE.NS,0.9411
GILLANDERS.NS,0.7441
GILLETTE.NS,0.4306
GINNIFILA.NS,0.9761
GIPCL.NS,0.7644
GIRIRAJ.NS,0.25
GKWLIMITED.NS,0.25
GLAND.NS,0.2799
GLAXO.NS,0.4189
GLENMARK.NS,1.1235
GLFL.NS,0.25
GLOBAL.NS,0.25
GLOBALVECT.NS,0.6301
GLOBE.NS,0.3702
GLOBUSSPR.NS,0.911
GMBREW.NS,0.9182
GMDCLTD.NS,1.2095
GMMPFAUDLR.NS,0.5895
GMRAIRPORT.NS,1.171
GNA.NS,0.8397
GNFC.NS,0.8717
GOACARBON.NS,0.8724
GOCLCORP.NS,0.9916
GODFRYPHLP.NS,0.8038
GODREJAGRO.NS,0.7089
GODREJCP.NS,0.7567
GODREJIND.NS,0.5092
GODREJPROP.NS,1.4872
GOKEX.NS,0.9896
GOKUL.NS,0.5713
GOKULAGRO.NS,0.7814
GOODLUCK.NS,1.0484
GPIL.NS,1.1148
GPPL.NS,0.5331
GPTINFRA.NS,1.1776
GRANULES.NS,1.1191
GRAPHITE.NS,1.2321
GRASIM.NS,1.2353
GRAVITA.NS,0.8204
GREAVESCOT.NS,0.7902
GREENLAM.NS,0.3702
GREENPANEL.NS,0.7183
GREENPLY.NS,1.2161
GREENPOWER.NS,0.8055
GRETEX.NS,0.25
GRINDWELL.NS,0.4592
GROBTEA.NS,0.5996
GRPLTD.NS,0.9852
GRSE.NS,1.1099
GSFC.NS,0.8335
GSS.NS,0.5959
GTECJAINX.NS,0.25
GTL.NS,0.3465
GTLINFRA.NS,0.9622
GTPL.NS,0.9517
GUFICBIO.NS,1.0055
GUJALKALI.NS,1.2957
GUJAPOLLO.NS,0.4967
GUJGASLTD.NS,0.5431
GUJRAFFIA.NS,0.5716
GULFOILLUB.NS,0.5606
GULFPETRO.NS,0.6347
GULPOLY.NS,0.5054
GVKPIL.NS,0.6185
GVPIL.NS,0.814
GVPTECH.NS,0.25
GVT&D.NS,0.7276
HAL.NS,0.6683
HALEOSLABS.NS,1.066
HAPPSTMNDS.NS,0.6479
HARRMALAYA.NS,0.6945
HATHWAY.NS,1.2519
HATSUN.NS,0.7132
HAVELLS.NS,0.642
HAVISHA.NS,0.2727
HBLENGINE.NS,0.8468
HBSL.NS,0.25
HCC.NS,0.9776
HCG.NS,0.5197
HCL-INSYS.NS,0.697
HCLTECH.NS,0.9271
HDFCAMC.NS,0.9959
HDFCBANK.NS,1.1879
HDFCLIFE.NS,0.9382
HDIL.NS,0.2682
HEADSUP.NS,0.6161
HECPROJECT.NS,0.354
HEG.NS,1.1907
HEIDELBERG.NS,0.6601
HEMIPROP.NS,1.195
HERANBA.NS,0.9342
HERITGFOOD.NS,0.7119
HEROMOTOCO.NS,0.8735
HESTERBIO.NS,0.6088
HEXATRADEX.NS,0.3655
HFCL.NS,1.2379
HGINFRA.NS,0.9477
HGM.NS,0.6165
HGS.NS,0.6908
HIKAL.NS,0.9488
HILTON.NS,0.4865
HIMATSEIDE.NS,1.046
HINDALCO.NS,1.3703
HINDCOMPOS.NS,0.7279
HINDCON.NS,0.3514
HINDCOPPER.NS,1.4335
HINDOILEXP.NS,0.9738
HINDPETRO.NS,0.9026
HINDUNILVR.NS,0.7011
HINDWAREAP.NS,1.0695
HINDZINC.NS,0.8406
HIRECT.NS,1.0455
HISARMETAL.NS,0.8987
HITECH.NS,0.7311
HITECHCORP.NS,0.6866
HITECHGEAR.NS,0.9723
HLEGLAS.NS,0.9342
HLVLTD.NS,0.5111
HMT.NS,0.551
HMVL.NS,0.7205
HNDFDS.NS,0.8433
HOMEFIRST.NS,0.6528
HONAUT.NS,0.8157
HPIL.NS,0.25
HPL.NS,0.9458
HSCL.NS,0.8683
HTMEDIA.NS,0.7708
HUBTOWN.NS,0.5789
HUDCO.NS,1.0403
HUHTAMAKI.NS,0.7541
IBULLSLTD.NS,0.4421
ICEMAKE.NS,0.8483
ICICIBANK.NS,1.3103
ICICIGI.NS,0.9522
ICICIPRULI.NS,1.1431
ICIL.NS,0.947
ICRA.NS,0.3561
IDBI.NS,1.0293
IDEA.NS,0.834
IDFCFIRSTB.NS,1.1844
IEX.NS,0.8212
IFBAGRO.NS,0.6721
IFBIND.NS,0.8256
IFCI.NS,1.0486
IFGLEXPOR.NS,1.0034
IGARASHI.NS,1.1673
IGL.NS,0.7626
IGPL.NS,0.8304
IIFL.NS,1.0682
IIFLCAPS.NS,0.9469
IITL.NS,0.4646
IL&FSENGG.NS,0.3249
IL&FSTRANS.NS,0.381
IMAGICAA.NS,0.4926
IMFA.NS,1.1645
IMPAL.NS,0.4296
IMPEXFERRO.NS,0.25
INCREDIBLE.NS,0.4981
INDBANK.NS,0.8004
INDHOTEL.NS,0.694
INDIACEM.NS,1.0165
INDIAGLYCO.NS,1.205
INDIAMART.NS,0.6483
INDIANB.NS,0.9328
INDIANCARD.NS,0.5912
INDIANHUME.NS,1.2222
INDIGO.NS,1.1408
INDIGOPNTS.NS,0.6776
INDIGRID.NS,0.25
INDNIPPON.NS,0.8094
INDOCO.NS,1.0381
INDORAMA.NS,0.5029
INDOSTAR.NS,0.6554
INDOTECH.NS,0.8249
INDOTHAI.NS,0.5197
INDOWIND.NS,0.3181
INDRAMEDCO.NS,0.9545
INDSWFTLAB.NS,0.551
INDTERRAIN.NS,0.95
INDUSINDBK.NS,1.4015
INDUSTOWER.NS,0.9758
INFOBEAN.NS,0.706
INFOMEDIA.NS,0.25
INFY.NS,0.9379
INGERRAND.NS,0.4854
INNOVANA.NS,0.25
INOXWIND.NS,0.9242
INSECTICID.NS,0.9944
INSPIRISYS.NS,0.7688
INTELLECT.NS,1.1554
INTENTECH.NS,0.9474
INVENTURE.NS,0.8403
IOB.NS,0.7798
IOC.NS,0.7453
IOLCP.NS,0.8096
IPCALAB.NS,0.4486
IRB.NS,0.9744
IRBINVIT.NS,0.25
IRCON.NS,0.857
IRCTC.NS,0.7872
IRFC.NS,0.8149
IRISDOREME.NS,0.3102
ISFT.NS,0.4083
ISGEC.NS,0.8041
IT.NS,0.8447
ITC.NS,0.6508
ITDC.NS,0.8995
ITI.NS,0.9325
IVC.NS,0.6559
IVP.NS,0.6576
IZMO.NS,0.5416
J&KBANK.NS,1.2068
JAGRAN.NS,0.7003
JAGSNPHARM.NS,1.2562
JAIBALAJI.NS,0.8862
JAICORPLTD.NS,1.3443
JAIPURKURT.NS,0.25
JAKHARIA.NS,0.25
JALAN.NS,0.25
JAMNAAUTO.NS,1.1324
JASH.NS,0.6602
JAYAGROGN.NS,0.9059
JAYBARMARU.NS,1.0379
JAYNECOIND.NS,0.6576
JAYSREETEA.NS,0.8675
JBCHEPHARM.NS,0.5451
JBMA.NS,0.7764
JETFREIGHT.NS,0.25
JETKNIT.NS,0.25
JHS.NS,1.0108
JINDALPHOT.NS,0.8567
JINDALPOLY.NS,1.0877
JINDALSAW.NS,1.2058
JINDALSTEL.NS,1.6078
JINDRILL.NS,0.8132
JINDWORLD.NS,0.5142
JISLDVREQS.NS,0.8206
JISLJALEQS.NS,0.9374
JITFINFRA.NS,0.4017
JKCEMENT.NS,0.725
JKIL.NS,0.9068
JKLAKSHMI.NS,0.811
JKPAPER.NS,1.0388
JKTYRE.NS,0.7827
JMA.NS,0.8838
JMFINANCIL.NS,0.9886
JOCIL.NS,0.884
JPOLYINVST.NS,0.25
JPPOWER.NS,0.6331
JSL.NS,1.0962
JSWDULUX.NS,0.3627
JSWENERGY.NS,0.8288
JSWHL.NS,0.8876
JSWSTEEL.NS,1.175
JTEKTINDIA.NS,0.9297
JUBLFOOD.NS,0.9353
JUBLINGREA.NS,1.0388
JUBLPHARMA.NS,0.893
JUSTDIAL.NS,0.8881
JWL.NS,0.9121
JYOTHYLAB.NS,0.7215
JYOTISTRUC.NS,0.3795
KABRAEXTRU.NS,0.8791
KAJARIACER.NS,0.4485
KAKATCEM.NS,0.7676
KALYANIFRG.NS,0.5484
KALYANKJIL.NS,1.0689
KAMATHOTEL.NS,0.7886
KAMDHENU.NS,1.0906
KANANIIND.NS,0.2885
KANORICHEM.NS,0.7738
KANPRPLA.NS,0.5487
KANSAINER.NS,0.478
KAPSTON.NS,0.25
KARMAENG.NS,0.3696
KARURVYSYA.NS,1.02
KAUSHALYA.NS,0.6589
KAVDEFENCE.NS,0.25
KAYA.NS,0.8805
KCP.NS,1.1493
KCPSUGIND.NS,0.7619
KDDL.NS,0.25
KEC.NS,0.6096
KECL.NS,0.7566
KEEPLEARN.NS,0.25
KEI.NS,0.7327
KELLTONTEC.NS,0.8579
KERNEX.NS,0.4554
KESORAMIND.NS,1.0446
KEYFINSERV.NS,0.3847
KHADIM.NS,0.8926
KHAICHEM.NS,0.9056
KHAITANLTD.NS,0.25
KHANDSE.NS,0.2637
KHFM.NS,0.25
KICL.NS,0.7122
KILITCH.NS,1.1578
KINGFA.NS,1.0094
KIOCL.NS,0.783
KIRIINDUS.NS,0.9766
KIRLOSBROS.NS,0.931
KIRLOSENG.NS,0.863
KIRLOSIND.NS,0.5845
KITEX.NS,1.1397
KKCL.NS,0.6074
KMSUGAR.NS,0.949
KNRCON.NS,0.5749
KOHINOOR.NS,0.4227
KOKUYOCMLN.NS,1.029
KOLTEPATIL.NS,0.8802
KOPRAN.NS,1.2608
KOTAKBANK.NS,0.9714
KOTARISUG.NS,0.901
KOTHARIPET.NS,0.806
KOTHARIPRO.NS,0.963
KPIL.NS,0.5352
KPITTECH.NS,0.7974
KPRMILL.NS,0.6539
KRBL.NS,0.6651
KREBSBIO.NS,0.7422
KRIDHANINF.NS,0.2503
KRISHANA.NS,0.2695
KRITI.NS,0.347
KRITIKA.NS,0.25
KSB.NS,0.5836
KSCL.NS,0.4397
KSHITIJPOL.NS,0.25
KSL.NS,1.2691
KSOLVES.NS,0.7503
KTKBANK.NS,0.9742
KUANTUM.NS,0.7191
LAGNAM.NS,0.4997
LAKPRE.NS,0.25
LALPATHLAB.NS,0.5561
LAMBODHARA.NS,0.9099
LANDSMILL.NS,0.3736
LAOPALA.NS,0.7009
LASA.NS,0.6666
LATTEYS.NS,0.25
LAURUSLABS.NS,0.9359
LAXMICOT.NS,0.3118
LCCINFOTEC.NS,0.25
LEMONTREE.NS,0.5431
LEXUS.NS,0.25
LFIC.NS,0.8086
LGBBROSLTD.NS,0.9157
LGHL.NS,0.25
LIBAS.NS,0.4799
LIBERTSHOE.NS,1.1749
LICHSGFIN.NS,1.1617
LICNFNHGP.NS,0.3718
LIKHITHA.NS,0.8844
LINC.NS,0.7808
LINCOLN.NS,0.8688
LINDEINDIA.NS,0.8386
LLOYDSENGG.NS,0.6607
LMW.NS,0.7461
LODHA.NS,1.4088
LOKESHMACH.NS,0.485
LOTUSEYE.NS,0.3065
LOVABLE.NS,0.9177
LPDC.NS,0.5202
LT.NS,0.9515
LTF.NS,1.5954
LTFOODS.NS,1.1092
LTM.NS,0.6769
LTTS.NS,0.6325
LUMAXIND.NS,0.8129
LUMAXTECH.NS,1.1593
LUPIN.NS,0.5596
LUXIND.NS,0.7499
LXCHEM.NS,1.2392
LYKALABS.NS,0.7092
LYPSAGEMS.NS,0.2794
M&M.NS,1.1562
M&MFIN.NS,1.0856
MAANALU.NS,0.7818
MACPOWER.NS,0.388
MADHAV.NS,0.5747
MADHUCON.NS,0.25
MADRASFERT.NS,0.7871
MAFANG.NS,0.6398
MAGADSUGAR.NS,0.9579
MAGNUM.NS,0.3396
MAHABANK.NS,0.7677
MAHAPEXLTD.NS,0.4595
MAHASTEEL.NS,0.4794
MAHEPC.NS,1.0602
MAHESHWARI.NS,0.5573
MAHICKRA.NS,0.3079
MAHLIFE.NS,0.5387
MAHLOG.NS,0.5549
MAHSCOOTER.NS,0.8155
MAHSEAMLES.NS,0.8222
MAITHANALL.NS,1.0535
MALUPAPER.NS,1.2117
MANAKALUCO.NS,0.9922
MANAKCOAT.NS,0.2533
MANAKSIA.NS,0.9477
MANAKSTEEL.NS,0.6317
MANALIPETC.NS,1.0795
MANAPPURAM.NS,1.3624
MANAV.NS,0.25
MANGALAM.NS,0.4696
MANGLMCEM.NS,0.8219
MANINDS.NS,1.1415
MANINFRA.NS,1.0579
MANUGRAPH.NS,0.25
MARALOVER.NS,0.6299
MARATHON.NS,0.8536
MARICO.NS,0.5443
MARINE.NS,0.4885
MARKSANS.NS,1.255
MARUTI.NS,1.0184
MASFIN.NS,0.6668
MASKINVEST.NS,0.3726
MASTEK.NS,0.8931
MATRIMONY.NS,0.4262
MAWANASUG.NS,0.8991
