Scenario,Symbol,Company_Name,Sector,Weight,Position_Value,Factor_Stress_Return,Stress_PnL,Stress_Value,Contribution,Momentum_PnL,LowVol_PnL,Size_PnL,Liquidity_PnL,Trend_PnL,Loss_Rank
MULTI_FACTOR_CRISIS,CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,0.016270839270321632,162708.39270321632,0.40052284590292014,65168.42849778212,227876.82120099844,0.006516842849778212,3601.0663018909745,0.0,0.0,62544.561361633525,-977.1991657423742,46.0
LIQUIDITY_SHOCK,KIRLOSENG,Kirloskar Oil Engines Limited,Industrials,0.016529366356889636,165293.66356889636,0.38659959906778846,63902.464064181244,229196.12763307762,0.0063902464064181244,0.0,0.0,0.0,63902.464064181244,0.0,47.0
MULTI_FACTOR_CRISIS,WAAREEENER,WAAREE ENERGIES LIMITED,Technology,0.019798209346551937,197982.09346551937,0.3050406538544867,60392.58724220213,258374.6807077215,0.006039258724220213,23721.283655800493,0.0,0.0,-14031.11396359994,50702.41755000158,45.0
MULTI_FACTOR_CRISIS,MARICO,Marico Limited,Consumer Defensive,0.01885890922349914,188589.0922349914,0.31902861389744785,60165.316691907254,248754.40892689867,0.006016531669190726,19560.56755690303,0.0,0.0,25445.642805819505,15159.106329184717,44.0
LIQUIDITY_SHOCK,SONACOMS,Sona BLW Precision Forgings Limited,Consumer Cyclical,0.018200104568211833,182001.04568211833,0.32932734241696754,59937.92069160114,241938.96637371948,0.005993792069160114,0.0,0.0,0.0,59937.92069160114,0.0,46.0
LIQUIDITY_SHOCK,SHYAMMETL,Shyam Metalics and Energy Limited,Basic Materials,0.015928090480701332,159280.9048070133,0.37397751812473773,59567.47746438945,218848.38227140275,0.005956747746438945,0.0,0.0,0.0,59567.47746438945,0.0,45.0
MULTI_FACTOR_CRISIS,SHYAMMETL,Shyam Metalics and Energy Limited,Basic Materials,0.015928090480701332,159280.9048070133,0.36942979190629266,58843.11151750094,218124.01632451426,0.005884311151750094,9624.515289451901,0.0,0.0,47653.98197151156,1564.6142565374732,43.0
MULTI_FACTOR_CRISIS,INDUSTOWER,Indus Towers Limited,Communication Services,0.022585337020469245,225853.37020469244,0.2602396443207111,58776.000730703054,284629.3709353955,0.005877600073070305,31341.181946905068,0.0,0.0,-9601.921233594188,37036.74001739217,42.0
SMALL_CAP_SELLOFF,JSWSTEEL,JSW Steel Limited,Basic Materials,0.021342324873958343,213423.24873958342,0.2711195796446614,57863.221484673864,271286.47022425727,0.005786322148467387,0.0,0.0,57863.221484673864,0.0,0.0,46.0
SMALL_CAP_SELLOFF,BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,0.023228423696124444,232284.23696124443,0.24687168197554366,57344.40027502816,289628.63723627257,0.0057344400275028155,0.0,0.0,57344.40027502816,0.0,0.0,45.0
MULTI_FACTOR_CRISIS,GPIL,Godawari Power & Ispat Limited,Basic Materials,0.01607702077707663,160770.20777076628,0.3556905272120483,57184.43996197441,217954.64773274068,0.005718443996197441,11094.690302367875,0.0,0.0,19675.348624231694,26414.401035374834,41.0
SMALL_CAP_SELLOFF,NESTLEIND,Nestlé India Limited,Consumer Defensive,0.022438738535261845,224387.38535261844,0.24150016952526754,54189.59160198889,278576.97695460735,0.005418959160198889,0.0,0.0,54189.59160198889,0.0,0.0,44.0
TREND_REVERSAL,WAAREEENER,WAAREE ENERGIES LIMITED,Technology,0.019798209346551937,197982.09346551937,0.25609597647189203,50702.41755000158,248684.51101552095,0.0050702417550001575,0.0,0.0,0.0,0.0,50702.41755000158,50.0
SMALL_CAP_SELLOFF,TATASTEEL,Tata Steel Limited,Basic Materials,0.021762104560095846,217621.04560095846,0.21957940354361938,47785.09939159725,265406.1449925557,0.004778509939159725,0.0,0.0,47785.09939159725,0.0,0.0,43.0
TREND_REVERSAL,HINDCOPPER,Hindustan Copper Limited,Basic Materials,0.018422310696824238,184223.10696824238,0.2569941051478864,47344.25252286681,231567.3594911092,0.004734425252286681,0.0,0.0,0.0,0.0,47344.25252286681,49.0
LOWVOL_REVERSAL,APARINDS,APAR Industries Limited,Industrials,0.021034334860252742,210343.34860252743,0.220599669436889,46401.673169965856,256745.0217724933,0.004640167316996586,0.0,46401.673169965856,0.0,0.0,0.0,49.0
LIQUIDITY_SHOCK,JINDALSTEL,Jindal Steel Limited,Basic Materials,0.017978858162799635,179788.58162799635,0.25425556279993106,45712.24700682756,225500.8286348239,0.004571224700682756,0.0,0.0,0.0,45712.24700682756,0.0,44.0
LIQUIDITY_SHOCK,NAVINFLUOR,Navin Fluorine International Limited,Basic Materials,0.017753466911774235,177534.66911774236,0.2532747409068736,44965.04732278373,222499.7164405261,0.004496504732278373,0.0,0.0,0.0,44965.04732278373,0.0,43.0
