Symbol,Risk_Contribution,Risk_Contribution_Pct
AKSHOPTFBR.NS,0.00011068361937978713,0.0006875091916585019
ALANKIT.NS,9.458211235255368e-05,0.0005874949877247396
ALBERTDAVD.NS,8.633123555517905e-05,0.0005362448237960306
ALEMBICLTD.NS,0.00010319400139870774,0.0006409875723542527
ALICON.NS,9.509655561213993e-05,0.000590690442224097
ALIVUS.NS,4.128515852130762e-05,0.000256441975077486
ALKALI.NS,0.00010744664841644868,0.0006674028082307002
ALKEM.NS,3.194591954744842e-05,0.0001984314702385371
ALKYLAMINE.NS,8.520591795337643e-05,0.0005292549349659615
ALLCARGO.NS,0.0001032035427573616,0.0006410468383216307
ALLDIGI.NS,7.924618999436985e-05,0.000492236198367351
ALLETEC.NS,5.9945551383514696e-05,0.00037235064959151174
ALMONDZ.NS,7.826619578107535e-05,0.00048614898299449385
ALOKINDS.NS,0.00011047367118316358,0.0006862051024377154
ALPA.NS,0.00011263038645115359,0.0006996014982083088
ALPEXSOLAR.NS,6.086090198274024e-05,0.0003780363323879726
ALPHA.NS,5.317525881274859e-05,0.00033029710635990153
ALPHAGEO.NS,0.0001132752991041866,0.0007036073608577375
ALUWIND.NS,2.7788815828834317e-05,0.00017260969974313832
AMBER.NS,8.055116235117202e-05,0.0005003420092830862
AMBICAAGAR.NS,7.004155268902588e-05,0.0004350617692262817
AMBIKCO.NS,9.039611174825191e-05,0.0005614937247747943
AMBUJACEM.NS,7.760339272959919e-05,0.00048203199447620566
AMDIND.NS,0.00010922369121999115,0.0006784408757266133
AMEYA.NS,3.714862938015994e-05,0.00023074800317777748
AMIABLE.NS,1.9665070785160894e-05,0.0001221492122788512
AMJLAND.NS,0.00010571538264246154,0.0006566490838811576
AMNPLST.NS,4.782566277540509e-05,0.00029706819256088997
AMRUTANJAN.NS,6.189963686734201e-05,0.00038448841432079804
ANANDRATHI.NS,2.3643323909144942e-05,0.0001468600557153883
ANANTRAJ.NS,0.00012987487303744245,0.0008067152978829011
ANDHRAPAP.NS,8.435716210779204e-05,0.0005239829042121522
ANDHRSUGAR.NS,0.00010081717966205002,0.000626223989449732
ANGELONE.NS,9.904601553192689e-05,0.0006152224372216896
ANIKINDS.NS,8.40124366116009e-05,0.0005218416483645527
ANKITMETAL.NS,5.156389776140309e-05,0.0003202881679091334
ANLON.NS,3.882819200701519e-05,0.00024118057441460095
ANMOL.NS,7.036728797388953e-05,0.00043708506773825785
ANNAPURNA.NS,4.280367184805482e-05,0.0002658741916569998
ANSALAPI.NS,5.1746485238148e-05,0.00032142230654001
ANTELOPUS.NS,8.392148106980397e-05,0.0005212766797506957
ANTGRAPHIC.NS,4.981825945734531e-05,0.0003094451688630609
ANUP.NS,9.399922773284025e-05,0.0005838744110217471
ANURAS.NS,3.583034694503514e-05,0.00022255951696429027
APARINDS.NS,7.630620451829834e-05,0.0004739745346318518
APCL.NS,9.804563189556915e-05,0.0006090085733361877
APCOTEXIND.NS,7.70597825578961e-05,0.00047865537025828473
APEX.NS,0.00010992899044538239,0.00068282182841901
APLAPOLLO.NS,7.660384005572232e-05,0.0004758232920983118
APLLTD.NS,5.6763935074583585e-05,0.00035258810054425687
APOLLO.NS,0.00011312094140553571,0.0007026485709553075
APOLLOHOSP.NS,4.379237587170221e-05,0.0002720155078508165
APOLLOPIPE.NS,7.235577822648001e-05,0.0004494365370328096
APOLLOTYRE.NS,8.377049732577475e-05,0.0005203388471030758
APOLSINHOT.NS,7.436163271586928e-05,0.0004618958639531979
APS.NS,5.066821193518548e-05,0.0003147246324753138
APTECHT.NS,0.00011685334806184886,0.0007258323437448272
APTUS.NS,4.731534785701191e-05,0.00029389838117414884
AQYLON.NS,1.9990841217146834e-05,0.00012417272910650743
ARABIAN.NS,1.9362477320298126e-05,0.00012026965874062513
ARCHIDPLY.NS,9.691972860616348e-05,0.000602015046518738
ARCHIES.NS,0.00010611535706218828,0.0006591335173640097
ARE&M.NS,8.38395439284475e-05,0.0005207677287592441
ARENTERP.NS,5.81854293325645e-05,0.0003614176850277413
ARIES.NS,0.00011842683214308729,0.0007356060101178779
ARIHANT.NS,1.8138477207401092e-05,0.00011266680537421787
ARIHANTACA.NS,2.0338245517364808e-05,0.00012633062429424975
ARIHANTCAP.NS,9.033881098630315e-05,0.0005611378021843554
ARIHANTSUP.NS,8.712617338327768e-05,0.0005411825649602363
ARISTO.NS,3.7883426430519974e-05,0.000235312181047609
ARMANFIN.NS,9.276863958887283e-05,0.0005762306362259431
AROGRANITE.NS,0.00011564949807121619,0.0007183546524787148
