Symbol,Mean_Return,Annualized_Return,Volatility,Annualized_Volatility,Sharpe,Observations
ANIKINDS.NS,0.0017042777284805503,0.4294779875770987,0.03523759738126781,0.559379516821533,0.7677756776248232,1599
ANKITMETAL.NS,0.0015488171503860737,0.39030192189729057,0.03966271739339868,0.6296261192638134,0.6198947438102612,1599
ANLON.NS,0.0019093626130926617,0.48115937849935075,0.03839648851620981,0.6095253589922316,0.7894000986191669,846
ANMOL.NS,-0.000461247471635336,-0.11623436285210467,0.0293462785565804,0.46585772979563567,-0.24950613764226864,1245
ANNAPURNA.NS,0.0006770949944515908,0.17062793860180087,0.0324703593654366,0.5154509751710538,0.33102651235682995,918
ANSALAPI.NS,0.00023912122763754108,0.06025854936466035,0.03115722421122432,0.4946056008358809,0.1218315143678594,1599
ANTELOPUS.NS,0.001650988609809497,0.41604912967199326,0.0347068463878671,0.5509541060017004,0.7551429876642198,1599
ANTGRAPHIC.NS,0.0008508973683633033,0.21442613682755243,0.03561184211002437,0.5653204677121331,0.37930014756999814,1599
ANUP.NS,0.0017868314383826262,0.4502815224724218,0.030292497837009186,0.48087849520612996,0.9363727572791695,1599
ANURAS.NS,0.0008884946056114136,0.22390064061407625,0.019258278970048053,0.3057157010031136,0.7323818825118042,1292
APARINDS.NS,0.002849650483670122,0.7181119218848708,0.029956690903162313,0.47554772539319035,1.51007329767191,1599
APCL.NS,0.00034735861155353826,0.08753437011149164,0.02850239121280898,0.45246143351859136,0.1934626105716365,1599
APCOTEXIND.NS,0.001152354648515275,0.2903933714258493,0.028861269453597856,0.4581584489750697,0.6338273845554485,1599
APEX.NS,0.0006671255917341086,0.16811564911699536,0.03225188814038358,0.5119828519903703,0.3283618747452842,1599
APLAPOLLO.NS,0.0017544494869460754,0.442121270710411,0.024163875658385427,0.38358963422145,1.152589202801998,1599
APLLTD.NS,0.0004578831821563965,0.11538656190341191,0.02152955093226389,0.3417710256340144,0.33761364553756423,1599
APOLLO.NS,0.003211737926002131,0.809357957352537,0.03682575587792276,0.5845907513697521,1.3844864214087098,1599
APOLLOHOSP.NS,0.0013162856067604682,0.331703972903638,0.019668053321959506,0.31222066717597585,1.062402357614209,1599
APOLLOPIPE.NS,0.001320096306850727,0.3326642693263832,0.02765942226989357,0.4390797164031603,0.7576398018371063,1599
APOLLOTYRE.NS,0.0008442123804803352,0.21274151988104445,0.022316724597591327,0.35426702017646794,0.6005117828215377,1599
APOLSINHOT.NS,0.0009883166001693762,0.2490557832426828,0.03269854774589417,0.5190733534116456,0.4798084540571123,1599
APS.NS,0.001984623268915967,0.5001250637668238,0.037727235500893505,0.5989012967359894,0.8350709315416482,594
APTECHT.NS,0.0005311421767340103,0.1338478285369706,0.0323400811160974,0.5133828720770995,0.2607173628435142,1599
APTUS.NS,5.3718422329131596e-05,0.013537042426941162,0.023203603725385595,0.368345789867173,0.03675090851947209,1190
AQYLON.NS,0.0025135339638678446,0.6334105588946969,0.029743482694487643,0.4721631500074059,1.341507821787367,1599
ARABIAN.NS,0.00034663941108180395,0.0873531315926146,0.028708190602188044,0.4557283975441871,0.19167805224194945,663
ARCHIDPLY.NS,0.001460334091729892,0.36800419111593274,0.0366665867375132,0.5820640195982345,0.6322400607581705,1599
ARCHIES.NS,0.0004027629544574354,0.10149626452327373,0.03371254410188829,0.5351700465413626,0.1896523641022372,1599
ARE&M.NS,0.000323533032717846,0.08153032424489719,0.021556533791376266,0.34219936524325145,0.2382538734019614,1599
ARENTERP.NS,0.0015875375695782192,0.40005946753371124,0.038691932656335914,0.6142153893187415,0.6513341646770494,1599
ARIES.NS,0.001535167898721068,0.38686231047770914,0.032358947309845,0.5136823636181546,0.7531158121778208,1599
ARIHANT.NS,0.0022325491114057574,0.5626023760742509,0.03766718909782284,0.5979480896380958,0.9408883242937733,575
ARIHANTACA.NS,0.0021686008407119,0.5464874118593988,0.03351600750378285,0.5320501247687048,1.0271352010244714,852
ARIHANTCAP.NS,0.0014271401480744363,0.35963931731475796,0.034458338526146354,0.5470091659959553,0.657464882987751,1238
ARIHANTSUP.NS,0.00190119041482471,0.4790999845358269,0.03148774958513299,0.49985252848403483,0.9584826668554689,1599
ARISTO.NS,0.0010902547230222021,0.27474419020159496,0.03906730000055067,0.6201741611772638,0.4430113464902404,833
ARMANFIN.NS,0.0011161647909139162,0.28127352731030686,0.031589698643560246,0.501470919614009,0.5608969858647198,1599
AROGRANITE.NS,0.0002971361209324274,0.07487830247497171,0.032647714428367516,0.5182663995126943,0.14447840443713283,1599
ARROWGREEN.NS,0.002318158493671716,0.5841759404052724,0.03688409440025454,0.5855168467014215,0.9977098758068138,1599
ARSHIYA.NS,-0.0010117543242506768,-0.25496208971117057,0.0364535222226055,0.5786817252802842,-0.44059122410972945,1599
