Security_ID,Symbol,Company_Name,Weight,Alpha_Adjusted,Market_Cap,ADV_20D
SEC813579CA,SONACOMS,Sona BLW Precision Forgings Limited,0.0182001045682118,0.8135658914728684,366032582500.76935,805761599.3373016
SEC3F90165F,RRKABEL,R R Kabel Limited,0.0181104834288384,0.8264984227129338,243493536686.7297,1269464695.2124023
SECFA5934F9,JINDALSTEL,Jindal Steel Limited,0.0179788581627996,0.8184824902723735,1161869682805.318,1024062529.702185
SECE496E96D,NAVINFLUOR,Navin Fluorine International Limited,0.0177534669117742,0.8642023346303502,371823202750.0,1027275226.45
SECA6E1B437,BELRISE,BELRISE INDUSTRIES LTD,0.0177010186579581,0.8315891472868218,201700020917.55493,1145386952.1773925
SECCDFD81E7,WELCORP,Welspun Corp Limited,0.0175242701555916,0.8494163424124513,366284755992.0,1154836042.343451
SEC604401C1,ACUTAAS,Acutaas Chemicals Limited,0.0174012092902968,0.8441634241245136,256395788769.78665,1330672150.8816895
SEC810017B2,KIRLOSENG,Kirloskar Oil Engines Limited,0.0165293663568896,0.8230283911671923,268952896400.0,671078758.9071411
SEC681E0717,CRAFTSMAN,Craftsman Automation Limited,0.0162708392703216,0.8259689922480621,210406242060.0,497216183.9
SEC3BD55433,GPIL,Godawari Power & Ispat Limited,0.0160770207770766,0.8138132295719845,181516682970.0,1415119810.6218064
SECDCBF746B,SHYAMMETL,Shyam Metalics and Energy Limited,0.0159280904807013,0.8247081712062256,274974698093.1006,698681971.9648132
SECACB85887,SYRMA,Syrma SGS Technology Limited,0.0155099013018624,0.8542452830188679,243709111494.88354,1300762504.6022766
SEC3FF4377F,MAHABANK,Bank of Maharashtra,0.0137942996732158,0.8450920245398773,659473904982.0659,1050737736.3119464
SEC6E162A52,AETHER,Aether Industries Limited,0.0134897409599067,0.8342412451361868,153424754893.93665,405966353.5218506
SECE827CE80,ANANDRATHI,Anand Rathi Wealth Limited,0.0123609172207041,0.8549079754601226,290821280902.0,1474407316.2474976
