Symbol,Volatility_252D,ATR_Pct
CARRARO,0.5491,0.017
CARTRADE,0.4925,0.0354
CARYSIL,0.4877,0.0265
CASTROLIND,0.325,0.0035
CBAZAAR,0.5746,0.0164
CCAVENUE,0.4895,0.0124
CCCL,2.7688,0.0132
CCHHL,0.5413,0.0123
CCL,0.3756,0.0196
CDSL,0.3973,0.0114
CEATLTD,0.3818,0.0167
CEIGALL,0.3301,0.0158
CELEBRITY,0.5825,0.0143
CELLECOR,0.8192,0.0231
CELLO,0.3027,0.0167
CELLPOINT,0.4578,0.0334
CEMPRO,0.5206,0.0388
CENTENKA,0.4167,0.0185
CENTEXT,0.651,0.0108
CENTRALBK,0.4782,0.0127
CENTRUM,0.547,0.0089
CENTUM,0.5673,0.0228
CENTURYPLY,0.3559,0.0105
CERA,0.3307,0.0159
CEREBRAINT,0.5177,0.0282
CESC,0.3487,0.0112
CEWATER,0.5453,0.0335
CGCL,0.5247,0.016
CGPOWER,0.4268,0.0138
CGRAPHICS,0.5877,0.0126
CHALET,0.4088,0.0127
CHAMBLFERT,0.4006,0.0175
CHAVDA,0.5562,0.012
CHEMBOND,0.5066,0.016
CHEMCON,0.4043,0.0286
CHEMFAB,0.5266,0.0171
CHEMPLASTS,0.4135,0.0177
CHENNPETRO,0.5406,0.0236
CHEVIOT,0.2965,0.0115
CHOICEIN,0.2851,0.0168
CHOLAFIN,0.4375,0.0233
CHOLAHLDNG,0.3545,0.0221
CIEINDIA,0.3969,0.0157
CIFL,0.4194,0.0126
CINELINE,0.5425,0.0079
CINEVISTA,0.5711,0.0177
CIPLA,0.2649,0.0063
CLEAN,0.3312,0.017
CLEDUCATE,0.5646,0.0283
CLSEL,0.4655,0.0239
CLSL,0.5022,0.0124
CMNL,0.5885,0.0235
CMRSL,0.5843,0.0236
CMSINFO,0.3171,0.0089
CNL,0.4916,0.0191
COALINDIA,0.3167,0.0122
COASTCORP,0.552,0.0372
COCHINSHIP,0.4739,0.0189
COFFEEDAY,0.6613,0.0495
COFORGE,0.4331,0.0205
COHANCE,0.4156,0.0079
COLPAL,0.2316,0.0119
COMMITTED,0.5277,0.0197
COMPINFO,0.5751,0.0209
COMPUSOFT,0.6001,0.0093
COMSYN,0.4424,0.0135
CONCOR,0.3605,0.012
CONCORDBIO,0.4361,0.0283
CONFIPET,0.5131,0.0329
CONS,0.4972,0.0086
CONSOFINVT,0.5235,0.0146
CONSUMER,0.1948,0.0102
CONTI,0.5114,0.0035
CONTROLPR,0.4101,0.0098
COOLCAPS,0.6972,0.0298
CORALFINAC,0.5846,0.0071
CORDSCABLE,0.5465,0.0225
COROMANDEL,0.308,0.023
COSMOFIRST,0.484,0.0193
COUNCODOS,0.5959,0.0137
CPCAP,0.4997,0.0162
CPS,0.5178,0.0168
CRAFTSMAN,0.3706,0.0199
CRAYONS,0.621,0.033
CREATIVEYE,0.5829,0.0207
CREDITACC,0.4484,0.0155
CREST,0.5042,0.0167
CRISIL,0.3322,0.0136
CROMPTON,0.3144,0.0152
CROWN,0.4413,0.0131
CSBBANK,0.3874,0.0175
CSLFINANCE,0.4705,0.0099
CTE,0.6079,0.0215
CUB,0.3655,0.0151
CUBEXTUB,0.6005,0.0116
CUMMINSIND,0.3246,0.012
CUPID,0.4908,0.0187
CURAA,0.246,0.0323
CYBERMEDIA,0.5527,0.0199
CYBERTECH,3.0,0.0229
CYIENT,0.3939,0.014
CYIENTDLM,0.4093,0.025
DABUR,0.2302,0.0115
DALBHARAT,0.343,0.0131
DALMIASUG,0.4929,0.0133
DAMCAPITAL,0.497,0.02
DAMODARIND,0.5441,0.0173
DANGEE,0.55,0.0167
DATAMATICS,0.5607,0.0205
DATAPATTNS,0.5023,0.0358
DAVANGERE,0.5296,0.0179
DBCORP,0.4236,0.0072
DBEIL,0.4646,0.0189
DBL,0.4665,0.0127
DBOL,0.4327,0.0154
