Date,Portfolio_Return,Portfolio_Value,Drawdown
2023-06-23,-0.013133358507525821,1446924.9953754775,-0.016936551849888182
2023-06-26,0.00792396502141602,1458390.3784274452,-0.009146791472914084
2023-06-27,0.008432416092791616,1470688.1329240692,-0.0007915049317361866
2023-06-28,0.003034435154597964,1475150.8406960638,0.0
2023-06-30,0.003199802248212935,1479871.0316725762,0.0
2023-07-03,0.006025923369801778,1488788.6211066246,0.0
2023-07-04,-0.0014040396984943023,1486698.3027799244,-0.0014040396984942305
2023-07-05,0.009374673538571023,1500635.614018834,0.0
2023-07-06,0.0063175635895136775,1510115.9749350867,0.0
2023-07-07,-0.0052449030224714505,1502195.5630938672,-0.005244903022471492
2023-07-10,-0.0013265387438839901,1500202.8424785326,-0.006564484199288234
2023-07-11,0.007996999346536084,1512199.963629505,0.0
2023-07-12,0.006466283463549681,1521978.2772479027,0.0
2023-07-13,-0.0049931534347271095,1514378.8061852823,-0.00499315343472706
2023-07-14,0.015084620547784724,1537222.6358421948,0.0
2023-07-17,0.008185570168331886,1549805.6795922292,0.0
2023-07-18,-0.0009167927101527718,1548384.8290430258,-0.0009167927101526585
2023-07-19,0.004222882964190465,1554923.4769596022,0.0
2023-07-20,0.006154966539147064,1564493.978931223,0.0
2023-07-21,0.003376742103114214,1569776.8716199487,0.0
2023-07-24,0.00024786874543104154,1570165.9702437238,0.0
2023-07-25,0.009450154334091061,1585004.2809926649,0.0
2023-07-26,-0.0005090372775840638,1584197.454728509,-0.0005090372775842233
2023-07-27,0.002712362721451918,1588494.3728481336,0.0
2023-07-28,0.0026514388625434224,1592706.1685612344,0.0
2023-07-31,0.011889542235523113,1611642.7158211216,0.0
2023-08-01,0.0011406976136022979,1613481.1128210383,0.0
2023-08-02,-0.008315178184727235,1600064.7298702393,-0.008315178184727379
2023-08-03,0.00927598525303463,1614906.9067084165,0.0
2023-08-04,0.0046347640630792,1622391.6192048474,0.0
2023-08-07,0.003387337181106524,1627887.2066588956,0.0
2023-08-08,0.005812534407421042,1637349.3570590012,0.0
2023-08-09,0.007523143712045578,1649667.3715789814,0.0
2023-08-10,-0.0015804436112452384,1647060.1653208896,-0.001580443611245319
2023-08-11,0.01576443489615996,1673025.138067149,0.0
2023-08-14,-0.007284528326172771,1660837.9390584996,-0.007284528326172879
2023-08-16,-0.00421937169510534,1653830.2464682793,-0.011473163888646498
2023-08-17,0.008988011362424612,1668694.8915150575,-0.002588273453616119
2023-08-18,0.0016953069383653851,1671523.841542658,-0.0008973544331949412
2023-08-21,0.011905967013852969,1691424.9492629336,0.0
2023-08-22,0.01022613245721321,1708721.6848355315,0.0
2023-08-23,0.004035645200617444,1715617.4793021288,0.0
2023-08-24,3.0126376609199612e-05,1715669.1646404276,0.0
2023-08-25,-0.002593262788154466,1711219.9836389816,-0.0025932627881544157
2023-08-28,0.008070563860122502,1725030.4937956575,0.0
2023-08-29,0.0025139241043387432,1729367.08953473,0.0
2023-08-30,0.004021680505077202,1736322.0514448339,0.0
2023-08-31,0.002987336480202221,1741509.0296504945,0.0
2023-09-01,0.010123845333869404,1759139.7977142131,0.0
2023-09-04,0.011737988779129033,1779788.560920702,0.0
2023-09-05,0.0020887383655284865,1783506.073570426,0.0
2023-09-06,0.002195077036450034,1787421.0067968897,0.0
2023-09-07,0.005373770629087495,1797026.1973050288,0.0
2023-09-08,0.011186279488732324,1817128.2345966566,0.0
