Portfolio_Date,Symbol,Company_Name,Sector,Weight,Rank,Alpha_Adjusted,Last_Close,Engine_Version,Created_Timestamp
2026-06-12,ADANIENSOL,Adani Energy Solutions Limited,Utilities,0.0182435733252108,32.0,0.8333333333333335,1493.0999755859375,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,SONACOMS,Sona BLW Precision Forgings Limited,Consumer Cyclical,0.0182001045682118,47.0,0.8135658914728684,589.0,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,RRKABEL,R R Kabel Limited,Industrials,0.0181104834288384,39.0,0.8264984227129338,2150.39990234375,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,JINDALSTEL,Jindal Steel Limited,Basic Materials,0.0179788581627996,44.0,0.8184824902723735,1147.4000244140625,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,NAVINFLUOR,Navin Fluorine International Limited,Basic Materials,0.0177534669117742,12.0,0.8642023346303502,7268.5,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,BELRISE,BELRISE INDUSTRIES LTD,Consumer Cyclical,0.0177010186579581,35.0,0.8315891472868218,227.44000244140625,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,WELCORP,Welspun Corp Limited,Basic Materials,0.0175242701555916,18.0,0.8494163424124513,1396.5,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,ACUTAAS,Acutaas Chemicals Limited,Basic Materials,0.0174012092902968,22.0,0.8441634241245136,3147.10009765625,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,KIRLOSENG,Kirloskar Oil Engines Limited,Industrials,0.0165293663568896,42.0,0.8230283911671923,1872.0,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,0.0162708392703216,40.0,0.8259689922480621,8863.0,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,GPIL,Godawari Power & Ispat Limited,Basic Materials,0.0160770207770766,46.0,0.8138132295719845,277.29998779296875,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,SHYAMMETL,Shyam Metalics and Energy Limited,Basic Materials,0.0159280904807013,41.0,0.8247081712062256,986.75,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,SYRMA,Syrma SGS Technology Limited,Technology,0.0155099013018624,14.0,0.8542452830188679,1257.5,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,MAHABANK,Bank of Maharashtra,Financial Services,0.0137942996732158,21.0,0.8450920245398773,86.30000305175781,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,AETHER,Aether Industries Limited,Basic Materials,0.0134897409599067,31.0,0.8342412451361868,1151.800048828125,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,0.0123609172207041,13.0,0.8549079754601226,1756.0,1.0.0,2026-06-13 11:05:37.170793
