Security_ID,Symbol,Company_Name,Sector,Rank,Alpha_Adjusted,Weight,Last_Close,Market_Cap,ADV_20D,Portfolio_Date,Engine_Version,Target_Weight,Drift
SECF5E25039,CUPID,Cupid Limited,Consumer Defensive,11.0,0.8644444444444446,0.0186212549529847,159.83999633789062,214594396188.70544,2129550510.7044053,2026-06-12,1.0.0,0.02,-0.001378745047015302
SEC40D715C2,HINDCOPPER,Hindustan Copper Limited,Basic Materials,30.0,0.8346303501945526,0.0184223106968242,508.7000122070313,491635005865.7538,2373609351.892441,2026-06-12,1.0.0,0.02,-0.0015776893031758006
SECE6819099,ADANIENSOL,Adani Energy Solutions Limited,Utilities,32.0,0.8333333333333335,0.0182435733252108,1493.0999755859375,1792553899736.021,5095655373.06814,2026-06-12,1.0.0,0.02,-0.0017564266747892021
SEC813579CA,SONACOMS,Sona BLW Precision Forgings Limited,Consumer Cyclical,47.0,0.8135658914728684,0.0182001045682118,589.0,366032582500.76935,805761599.3373016,2026-06-12,1.0.0,0.02,-0.0017998954317882017
SEC3F90165F,RRKABEL,R R Kabel Limited,Industrials,39.0,0.8264984227129338,0.0181104834288384,2150.39990234375,243493536686.7297,1269464695.2124023,2026-06-12,1.0.0,0.02,-0.0018895165711616015
SECFA5934F9,JINDALSTEL,Jindal Steel Limited,Basic Materials,44.0,0.8184824902723735,0.0179788581627996,1147.4000244140625,1161869682805.318,1024062529.702185,2026-06-12,1.0.0,0.02,-0.0020211418372004
SECE496E96D,NAVINFLUOR,Navin Fluorine International Limited,Basic Materials,12.0,0.8642023346303502,0.0177534669117742,7268.5,371823202750.0,1027275226.45,2026-06-12,1.0.0,0.02,-0.0022465330882258
SECA6E1B437,BELRISE,BELRISE INDUSTRIES LTD,Consumer Cyclical,35.0,0.8315891472868218,0.0177010186579581,227.44000244140625,201700020917.55493,1145386952.1773925,2026-06-12,1.0.0,0.02,-0.0022989813420419003
SECCDFD81E7,WELCORP,Welspun Corp Limited,Basic Materials,18.0,0.8494163424124513,0.0175242701555916,1396.5,366284755992.0,1154836042.343451,2026-06-12,1.0.0,0.02,-0.0024757298444084003
SEC604401C1,ACUTAAS,Acutaas Chemicals Limited,Basic Materials,22.0,0.8441634241245136,0.0174012092902968,3147.10009765625,256395788769.78665,1330672150.8816895,2026-06-12,1.0.0,0.02,-0.002598790709703199
SEC810017B2,KIRLOSENG,Kirloskar Oil Engines Limited,Industrials,42.0,0.8230283911671923,0.0165293663568896,1872.0,268952896400.0,671078758.9071411,2026-06-12,1.0.0,0.02,-0.003470633643110399
SEC681E0717,CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,40.0,0.8259689922480621,0.0162708392703216,8863.0,210406242060.0,497216183.9,2026-06-12,1.0.0,0.02,-0.0037291607296783998
SEC3BD55433,GPIL,Godawari Power & Ispat Limited,Basic Materials,46.0,0.8138132295719845,0.0160770207770766,277.29998779296875,181516682970.0,1415119810.6218064,2026-06-12,1.0.0,0.02,-0.003922979222923402
SECDCBF746B,SHYAMMETL,Shyam Metalics and Energy Limited,Basic Materials,41.0,0.8247081712062256,0.0159280904807013,986.75,274974698093.1006,698681971.9648132,2026-06-12,1.0.0,0.02,-0.0040719095192987
SECACB85887,SYRMA,Syrma SGS Technology Limited,Technology,14.0,0.8542452830188679,0.0155099013018624,1257.5,243709111494.88354,1300762504.6022766,2026-06-12,1.0.0,0.02,-0.004490098698137601
SEC3FF4377F,MAHABANK,Bank of Maharashtra,Financial Services,21.0,0.8450920245398773,0.0137942996732158,86.30000305175781,659473904982.0659,1050737736.3119464,2026-06-12,1.0.0,0.02,-0.0062057003267842
SEC6E162A52,AETHER,Aether Industries Limited,Basic Materials,31.0,0.8342412451361868,0.0134897409599067,1151.800048828125,153424754893.93665,405966353.5218506,2026-06-12,1.0.0,0.02,-0.006510259040093301
SECE827CE80,ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,13.0,0.8549079754601226,0.0123609172207041,1756.0,290821280902.0,1474407316.2474976,2026-06-12,1.0.0,0.02,-0.0076390827792959005
