Symbol,Sector,Weight,Optimization_Score,Alpha_Z,Risk_Z,Liquidity_Z,Capacity_Z,Current_Holding
SAIL,Basic Materials,0.013133825192257052,1.4004997766858363,0.7974200754949988,-0.26906020632765854,1.7643063050675378,0.771255580090003,True
KIRLOSENG,Industrials,0.01306809759460332,1.821527447344247,1.879780900083111,0.13093325606607828,0.8269990154754133,-1.0545775186727155,True
KEI,Industrials,0.011963909601830173,1.2507132097566354,0.7642413493336031,-0.754759859323103,1.1587121900582507,-0.8176700483344619,True
NYKAA,Consumer Cyclical,0.011911787407959654,0.8591423355961589,0.4095019323456649,-0.5316999380821724,1.3417085923328131,-0.5636752283810316,True
GRASIM,Basic Materials,0.011872110635866295,1.265959311238781,0.24565419812561606,-1.4439709501458884,1.533974923531684,-0.05650231110744021,True
WAAREEENER,Technology,0.011804128645450265,0.8513774051535704,0.016930283837821077,-1.0015361806734258,1.5855614104514917,0.11044499259158763,True
INDUSTOWER,Communication Services,0.01178163773075236,0.7548127647571745,-0.08012614865960421,-1.1281122830333092,1.5289777471928048,-0.23275185025624534,True
SONACOMS,Consumer Cyclical,0.010380351529688017,0.7625472741618252,0.33478687040166005,-0.7932624804822288,0.9184251279602665,-1.0170390804866836,True
CRAFTSMAN,Consumer Cyclical,0.010380351529688017,1.246215536646423,0.9163877083800588,-0.7359683374863324,0.6771085367415058,-1.157186985500688,True
PHOENIXLTD,Real Estate,0.010380351529688017,0.7889739015717997,0.034065907190660834,-1.481823961576744,0.892638262912496,-1.0968775932648822,True
GPIL,Basic Materials,0.010218611613213241,0.6656463050692418,0.6028010776120001,0.1833028823774116,1.1999401837330066,-0.5699424540043578,True
NAVINFLUOR,Basic Materials,0.009003228847686872,1.5948327590007827,0.963575353551582,-1.1100257042806292,1.039831094950881,-0.8781444378752682,True
AETHER,Basic Materials,0.009003228847686872,1.047235266526917,0.7609722300125745,-0.6908021975257785,0.5757584861423053,-1.161931729846719,True
JINDALSTEL,Basic Materials,0.009003228847686872,0.8103852560715301,0.11350204712175298,-1.2446754498608137,1.0382653677041096,-0.8873839301430112,True
SHYAMMETL,Basic Materials,0.009003228847686872,1.0253358379131348,0.40323174993617367,-1.211710266469024,0.8471481742405017,-1.0212045340376752,True
