Execution_Rank,Symbol,Signal,Action,Signal_Score,Current_Weight,Target_Weight,Weight_Change,Priority_Score,Run_Timestamp
35,SONACOMS,BUY,SELL,72.8871829105474,0.0182001045682118,0.005768588557639895,-0.012431516010571905,0.9060981813179528,2026-06-13 10:58:32.574815
36,WELCORP,BUY,SELL,76.7690253671562,0.0175242701555916,0.005768588557639895,-0.011755681597951706,0.9024722188013659,2026-06-13 10:58:32.574815
37,KIRLOSENG,BUY,SELL,75.19025367156208,0.0165293663568896,0.004614870846111916,-0.011914495510777685,0.8958539398240617,2026-06-13 10:58:32.574815
38,NAVINFLUOR,BUY,SELL,73.0607476635514,0.0177534669117742,0.005768588557639895,-0.011984878354134306,0.8756241732097657,2026-06-13 10:58:32.574815
39,WAAREEENER,HOLD,SELL,57.33978638184246,0.0197982093465519,0.00456830895593114,-0.015229900390620759,0.8732792350149333,2026-06-13 10:58:32.574815
40,CRAFTSMAN,HOLD,SELL,68.70493991989319,0.0162708392703216,0.0037543910895190013,-0.0125164481808026,0.8599418202724991,2026-06-13 10:58:32.574815
41,BELRISE,BUY,SELL,71.59212283044059,0.0177010186579581,0.005768588557639895,-0.011932430100318206,0.8542680014076275,2026-06-13 10:58:32.574815
42,SHYAMMETL,HOLD,SELL,68.52469959946596,0.0159280904807013,0.003675304019681058,-0.012252786461020243,0.8396185114978157,2026-06-13 10:58:32.574815
43,ACUTAAS,BUY,SELL,71.13484646194925,0.0174012092902968,0.005768588557639895,-0.011632620732656907,0.8274846897676367,2026-06-13 10:58:32.574815
44,JINDALSTEL,HOLD,SELL,59.0954606141522,0.0179788581627996,0.004148505419094255,-0.013830352743705344,0.817311065845471,2026-06-13 10:58:32.574815
45,PAISALO,STRONG_BUY,AGGRESSIVE_BUY,87.49666221628837,0.0,0.009229741692223832,0.009229741692223832,0.8075715911881024,2026-06-13 10:58:32.574815
46,GPIL,BUY,SELL,76.80240320427237,0.0160770207770766,0.005768588557639895,-0.010308432219436704,0.79171236772109,2026-06-13 10:58:32.574815
47,ADANIENSOL,STRONG_BUY,SELL,86.51201602136182,0.0182435733252108,0.009229741692223832,-0.009013831632986967,0.7798047466468264,2026-06-13 10:58:32.574815
48,SYRMA,BUY,SELL,76.3351134846462,0.0155099013018624,0.005768588557639895,-0.009741312744222505,0.7436042138196552,2026-06-13 10:58:32.574815
49,AETHER,HOLD,SELL,65.03671562082778,0.0134897409599067,0.0031126706138737597,-0.01037707034603294,0.6748905730722693,2026-06-13 10:58:32.574815
50,MAHABANK,BUY,SELL,74.33911882510013,0.0137942996732158,0.005768588557639895,-0.008025711115575904,0.5966242922767241,2026-06-13 10:58:32.574815
51,ADANIGREEN,BUY,BUY,84.66955941255007,0.0,0.005768588557639895,0.005768588557639895,0.4884238516076476,2026-06-13 10:58:32.574815
52,STLTECH,BUY,BUY,83.96528704939921,0.0,0.005768588557639895,0.005768588557639895,0.48436119411211354,2026-06-13 10:58:32.574815
53,HONASA,BUY,BUY,83.11081441922565,0.0,0.005768588557639895,0.005768588557639895,0.4794320930748779,2026-06-13 10:58:32.574815
54,ANANDRATHI,BUY,SELL,72.11949265687583,0.0123609172207041,0.005768588557639895,-0.006592328663064205,0.475435398607571,2026-06-13 10:58:32.574815
55,HFCL,BUY,BUY,81.74566088117491,0.0,0.005768588557639895,0.005768588557639895,0.4715570839958568,2026-06-13 10:58:32.574815
56,UFBL,BUY,BUY,81.3351134846462,0.0,0.005768588557639895,0.005768588557639895,0.4691888049818724,2026-06-13 10:58:32.574815
57,BALAMINES,BUY,BUY,80.73765020026703,0.0,0.005768588557639895,0.005768588557639895,0.46574228511599275,2026-06-13 10:58:32.574815
58,GRANULES,BUY,BUY,79.27236315086783,0.0,0.005768588557639895,0.005768588557639895,0.45728964700917063,2026-06-13 10:58:32.574815
59,SPARC,BUY,BUY,79.21562082777037,0.0,0.005768588557639895,0.005768588557639895,0.4569623238934167,2026-06-13 10:58:32.574815
60,GLAND,BUY,BUY,79.14218958611482,0.0,0.005768588557639895,0.005768588557639895,0.45653872927302924,2026-06-13 10:58:32.574815
61,MUFIN,BUY,BUY,78.91855807743659,0.0,0.005768588557639895,0.005768588557639895,0.4552486911109402,2026-06-13 10:58:32.574815
62,ADANIENT,BUY,BUY,78.5313751668892,0.0,0.005768588557639895,0.005768588557639895,0.4530151922034429,2026-06-13 10:58:32.574815
63,IDEAFORGE,BUY,BUY,78.0574098798398,0.0,0.005768588557639895,0.005768588557639895,0.45028108147185114,2026-06-13 10:58:32.574815
64,E2E,BUY,BUY,77.95727636849132,0.0,0.005768588557639895,0.005768588557639895,0.44970345244405,2026-06-13 10:58:32.574815
65,HSCL,BUY,BUY,77.32309746328437,0.0,0.005768588557639895,0.005768588557639895,0.4460451352679766,2026-06-13 10:58:32.574815
66,CGCL,BUY,BUY,77.1762349799733,0.0,0.005768588557639895,0.005768588557639895,0.4451979460272018,2026-06-13 10:58:32.574815
67,AKUMS,BUY,BUY,76.83578104138853,0.0,0.005768588557639895,0.005768588557639895,0.44323400733267826,2026-06-13 10:58:32.574815
68,RAIN,BUY,BUY,76.75901201602136,0.0,0.005768588557639895,0.005768588557639895,0.442791158411364,2026-06-13 10:58:32.574815
69,STYLAMIND,BUY,BUY,76.70560747663552,0.0,0.005768588557639895,0.005768588557639895,0.44248308959653687,2026-06-13 10:58:32.574815
70,KOTYARK,BUY,BUY,76.56542056074765,0.0,0.005768588557639895,0.005768588557639895,0.4416744089576153,2026-06-13 10:58:32.574815
71,SAMMAANCAP,BUY,BUY,76.27837116154872,0.0,0.005768588557639895,0.005768588557639895,0.4400185390779189,2026-06-13 10:58:32.574815
72,SCPL,BUY,BUY,75.93124165554072,0.0,0.005768588557639895,0.005768588557639895,0.43801609178154194,2026-06-13 10:58:32.574815
73,SATIN,BUY,BUY,75.8811748998665,0.0,0.005768588557639895,0.005768588557639895,0.4377272772676415,2026-06-13 10:58:32.574815
74,SHILPAMED,BUY,BUY,75.69092122830442,0.0,0.005768588557639895,0.005768588557639895,0.4366297821148195,2026-06-13 10:58:32.574815
75,BBOX,BUY,BUY,75.34045393858479,0.0,0.005768588557639895,0.005768588557639895,0.43460808051751576,2026-06-13 10:58:32.574815
76,FCL,BUY,BUY,75.32376502002671,0.0,0.005768588557639895,0.005768588557639895,0.4345118090128823,2026-06-13 10:58:32.574815
77,IBULLSLTD,BUY,BUY,75.14686248331108,0.0,0.005768588557639895,0.005768588557639895,0.433491331063767,2026-06-13 10:58:32.574815
78,ORCHPHARMA,BUY,BUY,75.13017356475301,0.0,0.005768588557639895,0.005768588557639895,0.43339505955913354,2026-06-13 10:58:32.574815
79,CONFIPET,BUY,BUY,75.01001335113484,0.0,0.005768588557639895,0.005768588557639895,0.43270190472577225,2026-06-13 10:58:32.574815
80,BAJAJCON,BUY,BUY,74.89986648865153,0.0,0.005768588557639895,0.005768588557639895,0.43206651279519104,2026-06-13 10:58:32.574815
81,NRBBEARING,BUY,BUY,74.78971962616824,0.0,0.005768588557639895,0.005768588557639895,0.43143112086461,2026-06-13 10:58:32.574815
82,NEOGEN,BUY,BUY,74.64619492656877,0.0,0.005768588557639895,0.005768588557639895,0.43060318592476177,2026-06-13 10:58:32.574815
83,GAEL,BUY,BUY,74.58277703604806,0.0,0.005768588557639895,0.005768588557639895,0.43023735420715437,2026-06-13 10:58:32.574815
84,RPTECH,BUY,BUY,74.47596795727637,0.0,0.005768588557639895,0.005768588557639895,0.4296212165774999,2026-06-13 10:58:32.574815
85,PARACABLES,BUY,BUY,74.2056074766355,0.0,0.005768588557639895,0.005768588557639895,0.42806161820243704,2026-06-13 10:58:32.574815
86,RATEGAIN,BUY,BUY,74.16221628838453,0.0,0.005768588557639895,0.005768588557639895,0.42781131229039004,2026-06-13 10:58:32.574815
87,NGLFINE,BUY,BUY,74.11214953271028,0.0,0.005768588557639895,0.005768588557639895,0.4275224977764894,2026-06-13 10:58:32.574815
88,SAILIFE,BUY,BUY,74.09879839786382,0.0,0.005768588557639895,0.005768588557639895,0.4274454805727826,2026-06-13 10:58:32.574815
89,KTKBANK,BUY,BUY,73.94192256341789,0.0,0.005768588557639895,0.005768588557639895,0.42654052842922763,2026-06-13 10:58:32.574815
90,AUROPHARMA,BUY,BUY,73.91522029372497,0.0,0.005768588557639895,0.005768588557639895,0.42638649402181406,2026-06-13 10:58:32.574815
91,TATATECH,BUY,BUY,73.68491321762349,0.0,0.005768588557639895,0.005768588557639895,0.4250579472578715,2026-06-13 10:58:32.574815
92,ANTELOPUS,BUY,BUY,73.56141522029372,0.0,0.005768588557639895,0.005768588557639895,0.4243455381235836,2026-06-13 10:58:32.574815
93,ASTERDM,BUY,BUY,73.22096128170895,0.0,0.005768588557639895,0.005768588557639895,0.42238159942906006,2026-06-13 10:58:32.574815
94,SOTL,BUY,BUY,73.22096128170895,0.0,0.005768588557639895,0.005768588557639895,0.42238159942906006,2026-06-13 10:58:32.574815
95,BANDHANBNK,BUY,BUY,73.13751668891857,0.0,0.005768588557639895,0.005768588557639895,0.4219002419058925,2026-06-13 10:58:32.574815
96,SANSERA,BUY,BUY,73.13084112149534,0.0,0.005768588557639895,0.005768588557639895,0.4218617333040391,2026-06-13 10:58:32.574815
97,ARVIND,BUY,BUY,73.1241655540721,0.0,0.005768588557639895,0.005768588557639895,0.4218232247021857,2026-06-13 10:58:32.574815
98,CAPLIPOINT,BUY,BUY,73.07409879839786,0.0,0.005768588557639895,0.005768588557639895,0.4215344101882851,2026-06-13 10:58:32.574815
99,SASKEN,BUY,BUY,73.03070761014686,0.0,0.005768588557639895,0.005768588557639895,0.42128410427623797,2026-06-13 10:58:32.574815
100,IOLCP,BUY,BUY,72.98731642189586,0.0,0.005768588557639895,0.005768588557639895,0.42103379836419086,2026-06-13 10:58:32.574815
101,ACMESOLAR,BUY,BUY,72.91388518024031,0.0,0.005768588557639895,0.005768588557639895,0.42061020374380337,2026-06-13 10:58:32.574815
102,NETWEB,BUY,BUY,72.8671562082777,0.0,0.005768588557639895,0.005768588557639895,0.4203406435308296,2026-06-13 10:58:32.574815
103,AVALON,BUY,BUY,72.73364485981307,0.0,0.005768588557639895,0.005768588557639895,0.4195704714937614,2026-06-13 10:58:32.574815
104,ATGL,BUY,BUY,72.6935914552737,0.0,0.005768588557639895,0.005768588557639895,0.4193394198826411,2026-06-13 10:58:32.574815
105,NITINSPIN,BUY,BUY,72.52002670226969,0.0,0.005768588557639895,0.005768588557639895,0.41833819623445256,2026-06-13 10:58:32.574815
106,SUVEN,BUY,BUY,72.40320427236315,0.0,0.005768588557639895,0.005768588557639895,0.4176642957020181,2026-06-13 10:58:32.574815
107,GRWRHITECH,BUY,BUY,72.33311081441923,0.0,0.005768588557639895,0.005768588557639895,0.41725995538255733,2026-06-13 10:58:32.574815
108,SFL,BUY,BUY,72.2863818424566,0.0,0.005768588557639895,0.005768588557639895,0.41699039516958347,2026-06-13 10:58:32.574815
109,OFSS,BUY,BUY,72.25967957276367,0.0,0.005768588557639895,0.005768588557639895,0.4168363607621698,2026-06-13 10:58:32.574815
110,PREMIERENE,BUY,BUY,72.25634178905207,0.0,0.005768588557639895,0.005768588557639895,0.41681710646124315,2026-06-13 10:58:32.574815
111,KERNEX,BUY,BUY,72.22296395193592,0.0,0.005768588557639895,0.005768588557639895,0.4166245634519762,2026-06-13 10:58:32.574815
112,SPORTKING,BUY,BUY,72.1995994659546,0.0,0.005768588557639895,0.005768588557639895,0.4164897833454892,2026-06-13 10:58:32.574815
113,DBOL,BUY,BUY,72.19626168224299,0.0,0.005768588557639895,0.005768588557639895,0.4164705290445625,2026-06-13 10:58:32.574815
114,RBLBANK,BUY,BUY,72.09946595460615,0.0,0.005768588557639895,0.005768588557639895,0.4159121543176882,2026-06-13 10:58:32.574815
115,MCX,BUY,BUY,71.98598130841121,0.0,0.005768588557639895,0.005768588557639895,0.4152575080861803,2026-06-13 10:58:32.574815
116,LLOYDSME,BUY,BUY,71.91922563417891,0.0,0.005768588557639895,0.005768588557639895,0.4148724220676463,2026-06-13 10:58:32.574815
117,RISHABH,BUY,BUY,71.82576769025367,0.0,0.005768588557639895,0.005768588557639895,0.41433330164169857,2026-06-13 10:58:32.574815
118,BLISSGVS,BUY,BUY,71.82242990654206,0.0,0.005768588557639895,0.005768588557639895,0.4143140473407719,2026-06-13 10:58:32.574815
119,THYROCARE,BUY,BUY,71.80907877169558,0.0,0.005768588557639895,0.005768588557639895,0.41423703013706503,2026-06-13 10:58:32.574815
120,RSWM,BUY,BUY,71.79906542056075,0.0,0.005768588557639895,0.005768588557639895,0.414179267234285,2026-06-13 10:58:32.574815
121,ZYDUSLIFE,BUY,BUY,71.78905206942589,0.0,0.005768588557639895,0.005768588557639895,0.41412150433150485,2026-06-13 10:58:32.574815
122,EQUITASBNK,BUY,BUY,71.69893190921228,0.0,0.005768588557639895,0.005768588557639895,0.4136016382064839,2026-06-13 10:58:32.574815
123,IFCI,BUY,BUY,71.69225634178906,0.0,0.005768588557639895,0.005768588557639895,0.4135631296046306,2026-06-13 10:58:32.574815
124,IZMO,BUY,BUY,71.5520694259012,0.0,0.005768588557639895,0.005768588557639895,0.412754448965709,2026-06-13 10:58:32.574815
125,THANGAMAYL,BUY,BUY,71.5320427236315,0.0,0.005768588557639895,0.005768588557639895,0.41263892316014883,2026-06-13 10:58:32.574815
126,CHENNPETRO,BUY,BUY,71.51869158878503,0.0,0.005768588557639895,0.005768588557639895,0.41256190595644193,2026-06-13 10:58:32.574815
127,JAYBARMARU,BUY,BUY,71.49866488651536,0.0,0.005768588557639895,0.005768588557639895,0.4124463801508818,2026-06-13 10:58:32.574815
128,MWL,BUY,BUY,71.4218958611482,0.0,0.005768588557639895,0.005768588557639895,0.4120035312295677,2026-06-13 10:58:32.574815
129,STARHEALTH,BUY,BUY,71.32843791722296,0.0,0.005768588557639895,0.005768588557639895,0.41146441080361995,2026-06-13 10:58:32.574815
130,STAR,BUY,BUY,71.2716955941255,0.0,0.005768588557639895,0.005768588557639895,0.4111370876878661,2026-06-13 10:58:32.574815
131,GULPOLY,BUY,BUY,71.24499332443258,0.0,0.005768588557639895,0.005768588557639895,0.41098305328045254,2026-06-13 10:58:32.574815
132,MSPL,BUY,BUY,71.20160213618156,0.0,0.005768588557639895,0.005768588557639895,0.41073274736840526,2026-06-13 10:58:32.574815
133,RICOAUTO,BUY,BUY,71.19492656875835,0.0,0.005768588557639895,0.005768588557639895,0.410694238766552,2026-06-13 10:58:32.574815
134,VTL,BUY,BUY,71.12817089452604,0.0,0.005768588557639895,0.005768588557639895,0.41030915274801794,2026-06-13 10:58:32.574815
135,SKYGOLD,BUY,BUY,70.96461949265688,0.0,0.005768588557639895,0.005768588557639895,0.4093656920026095,2026-06-13 10:58:32.574815
136,VBL,BUY,BUY,70.92790387182912,0.0,0.005768588557639895,0.005768588557639895,0.40915389469241586,2026-06-13 10:58:32.574815
137,SKMEGGPROD,BUY,BUY,70.78771695594125,0.0,0.005768588557639895,0.005768588557639895,0.4083452140534943,2026-06-13 10:58:32.574815
138,J&KBANK,BUY,BUY,70.78437917222965,0.0,0.005768588557639895,0.005768588557639895,0.40832595975256764,2026-06-13 10:58:32.574815
139,OLAELEC,BUY,BUY,70.65086782376501,0.0,0.005768588557639895,0.005768588557639895,0.4075557877154995,2026-06-13 10:58:32.574815
140,AEGISLOG,BUY,BUY,70.5407209612817,0.0,0.005768588557639895,0.005768588557639895,0.40692039578491834,2026-06-13 10:58:32.574815
141,SANDHAR,BUY,BUY,70.44392523364485,0.0,0.005768588557639895,0.005768588557639895,0.4063620210580439,2026-06-13 10:58:32.574815
142,VIYASH,BUY,BUY,70.37049399198932,0.0,0.005768588557639895,0.005768588557639895,0.4059384264376566,2026-06-13 10:58:32.574815
143,SENORES,BUY,BUY,70.37049399198932,0.0,0.005768588557639895,0.005768588557639895,0.4059384264376566,2026-06-13 10:58:32.574815
144,ASTRAMICRO,BUY,BUY,70.31708945260345,0.0,0.005768588557639895,0.005768588557639895,0.40563035762282923,2026-06-13 10:58:32.574815
145,VENUSREM,BUY,BUY,70.12016021361815,0.0,0.005768588557639895,0.005768588557639895,0.40449435386815386,2026-06-13 10:58:32.574815
146,MARKSANS,BUY,BUY,70.0667556742323,0.0,0.005768588557639895,0.005768588557639895,0.4041862850533266,2026-06-13 10:58:32.574815
147,GAYAPROJ,BUY,BUY,80.87783711615488,0.0,0.004614870846111916,0.004614870846111916,0.3732407726039314,2026-06-13 10:58:32.574815
148,GVPIL,BUY,BUY,80.303738317757,0.0,0.004614870846111916,0.004614870846111916,0.3705913807964171,2026-06-13 10:58:32.574815
149,JNKINDIA,BUY,BUY,80.13684913217622,0.0,0.004614870846111916,0.004614870846111916,0.36982120875934904,2026-06-13 10:58:32.574815
150,SEAMECLTD,BUY,BUY,79.84312416555407,0.0,0.004614870846111916,0.004614870846111916,0.36846570597410927,2026-06-13 10:58:32.574815
151,UNIPARTS,BUY,BUY,79.37583444592791,0.0,0.004614870846111916,0.004614870846111916,0.3663092242703187,2026-06-13 10:58:32.574815
152,HARDWYN,BUY,BUY,78.95861148197596,0.0,0.004614870846111916,0.004614870846111916,0.36438379417764843,2026-06-13 10:58:32.574815
153,PARAS,BUY,BUY,78.6214953271028,0.0,0.004614870846111916,0.004614870846111916,0.36282804666277096,2026-06-13 10:58:32.574815
154,SBC,BUY,BUY,78.22429906542055,0.0,0.004614870846111916,0.004614870846111916,0.3609950372145489,2026-06-13 10:58:32.574815
155,MTARTECH,BUY,BUY,77.1762349799733,0.0,0.004614870846111916,0.004614870846111916,0.35615835682176145,2026-06-13 10:58:32.574815
156,THERMAX,BUY,BUY,76.68558077436583,0.0,0.004614870846111916,0.004614870846111916,0.3538940510327813,2026-06-13 10:58:32.574815
157,CEIGALL,BUY,BUY,75.97463284379172,0.0,0.004614870846111916,0.004614870846111916,0.3506131181548713,2026-06-13 10:58:32.574815
158,CARBORUNIV,BUY,BUY,75.05674232309745,0.0,0.004614870846111916,0.004614870846111916,0.34637717195099677,2026-06-13 10:58:32.574815
159,APOLLO,BUY,BUY,74.77970627503338,0.0,0.004614870846111916,0.004614870846111916,0.34509868636946384,2026-06-13 10:58:32.574815
160,ELGIEQUIP,BUY,BUY,74.49265687583444,0.0,0.004614870846111916,0.004614870846111916,0.3437739904657067,2026-06-13 10:58:32.574815
161,DEEDEV,BUY,BUY,74.04539385847796,0.0,0.004614870846111916,0.004614870846111916,0.34170992940636424,2026-06-13 10:58:32.574815
162,DIACABS,BUY,BUY,73.80841121495327,0.0,0.004614870846111916,0.004614870846111916,0.3406162851137276,2026-06-13 10:58:32.574815
163,VINDHYATEL,BUY,BUY,73.80507343124165,0.0,0.004614870846111916,0.004614870846111916,0.34060088167298624,2026-06-13 10:58:32.574815
164,LOKESHMACH,BUY,BUY,72.80373831775701,0.0,0.004614870846111916,0.004614870846111916,0.3359798494505778,2026-06-13 10:58:32.574815
165,KIRLPNU,BUY,BUY,72.60013351134847,0.0,0.004614870846111916,0.004614870846111916,0.3350402395653548,2026-06-13 10:58:32.574815
166,WALCHANNAG,BUY,BUY,72.2196261682243,0.0,0.004614870846111916,0.004614870846111916,0.3332842473208395,2026-06-13 10:58:32.574815
167,DATAPATTNS,BUY,BUY,72.14285714285714,0.0,0.004614870846111916,0.004614870846111916,0.33292996818378817,2026-06-13 10:58:32.574815
168,SANGHVIMOV,BUY,BUY,72.1328437917223,0.0,0.004614870846111916,0.004614870846111916,0.3328837578615641,2026-06-13 10:58:32.574815
169,BLSE,BUY,BUY,72.09612817089452,0.0,0.004614870846111916,0.004614870846111916,0.3327143200134091,2026-06-13 10:58:32.574815
170,AEROFLEX,BUY,BUY,72.0894526034713,0.0,0.004614870846111916,0.004614870846111916,0.33268351313192646,2026-06-13 10:58:32.574815
171,GRINDWELL,BUY,BUY,72.08277703604806,0.0,0.004614870846111916,0.004614870846111916,0.3326527062504437,2026-06-13 10:58:32.574815
172,CUMMINSIND,BUY,BUY,71.94592790387182,0.0,0.004614870846111916,0.004614870846111916,0.3320211651800478,2026-06-13 10:58:32.574815
173,SIGMAADV,BUY,BUY,71.7456608811749,0.0,0.004614870846111916,0.004614870846111916,0.3310969587355662,2026-06-13 10:58:32.574815
174,APOLLOPIPE,BUY,BUY,71.58878504672897,0.0,0.004614870846111916,0.004614870846111916,0.3303729970207222,2026-06-13 10:58:32.574815
175,TDPOWERSYS,BUY,BUY,71.33177570093459,0.0,0.004614870846111916,0.004614870846111916,0.32918693208363736,2026-06-13 10:58:32.574815
176,AXISCADES,BUY,BUY,71.3150867823765,0.0,0.004614870846111916,0.004614870846111916,0.3291099148799305,2026-06-13 10:58:32.574815
177,LLOYDSENGG,BUY,BUY,71.25166889185581,0.0,0.004614870846111916,0.004614870846111916,0.32881724950584473,2026-06-13 10:58:32.574815
178,SBCL,BUY,BUY,71.03137516688919,0.0,0.004614870846111916,0.004614870846111916,0.3278006224169148,2026-06-13 10:58:32.574815
179,SOMANYCERA,BUY,BUY,70.8811748998665,0.0,0.004614870846111916,0.004614870846111916,0.3271074675835536,2026-06-13 10:58:32.574815
180,INDOTECH,BUY,BUY,70.6875834445928,0.0,0.004614870846111916,0.004614870846111916,0.32621406802055464,2026-06-13 10:58:32.574815
181,AIAENG,BUY,BUY,70.68090787716957,0.0,0.004614870846111916,0.004614870846111916,0.3261832611390719,2026-06-13 10:58:32.574815
182,TIINDIA,BUY,BUY,70.66421895861149,0.0,0.004614870846111916,0.004614870846111916,0.3261062439353651,2026-06-13 10:58:32.574815
183,SIS,BUY,BUY,70.6441922563418,0.0,0.004614870846111916,0.004614870846111916,0.32601382329091694,2026-06-13 10:58:32.574815
184,ABB,BUY,BUY,70.5373831775701,0.0,0.004614870846111916,0.004614870846111916,0.3255209131871934,2026-06-13 10:58:32.574815
185,DIFFNKG,BUY,BUY,70.39052069425901,0.0,0.004614870846111916,0.004614870846111916,0.3248431617945734,2026-06-13 10:58:32.574815
186,INOXINDIA,BUY,BUY,70.37383177570094,0.0,0.004614870846111916,0.004614870846111916,0.3247661445908666,2026-06-13 10:58:32.574815
187,AGI,REDUCE,TRIM,39.98998664886515,0.0,0.0,0.0,0.0,2026-06-13 10:58:32.574815
188,COFORGE,REDUCE,TRIM,39.95660881174899,0.0,0.0,0.0,0.0,2026-06-13 10:58:32.574815
