Symbol,Current_Weight,Target_Weight,Trade_Weight,Action,Estimated_Cost_bps,Estimated_Cost,Priority_Score,Priority
CUPID,0.0186212549529847,0.0,-0.0186212549529847,SELL,5.186212549529847,0.0005186212549529846,0.0186212549529847,57
HINDCOPPER,0.0184223106968242,0.0,-0.0184223106968242,SELL,5.184223106968242,0.0005184223106968242,0.0184223106968242,58
SONACOMS,0.0182001045682118,0.0,-0.0182001045682118,SELL,5.182001045682118,0.0005182001045682119,0.0182001045682118,59
RRKABEL,0.0181104834288384,0.0,-0.0181104834288384,SELL,5.181104834288384,0.0005181104834288383,0.0181104834288384,60
JINDALSTEL,0.0179788581627996,0.0,-0.0179788581627996,SELL,5.179788581627996,0.0005179788581627996,0.0179788581627996,61
NAVINFLUOR,0.0177534669117742,0.0,-0.0177534669117742,SELL,5.177534669117742,0.0005177534669117742,0.0177534669117742,62
BELRISE,0.0177010186579581,0.0,-0.0177010186579581,SELL,5.177010186579581,0.0005177010186579582,0.0177010186579581,63
WELCORP,0.0175242701555916,0.0,-0.0175242701555916,SELL,5.175242701555916,0.0005175242701555916,0.0175242701555916,64
TIPSMUSIC,0.0,0.017504017605987503,0.017504017605987503,BUY,5.175040176059875,0.0005175040176059875,0.017504017605987503,65
ACUTAAS,0.0174012092902968,0.0,-0.0174012092902968,SELL,5.174012092902968,0.0005174012092902968,0.0174012092902968,66
ATGL,0.0,0.0173753416998409,0.0173753416998409,BUY,5.173753416998409,0.0005173753416998409,0.0173753416998409,67
KIRLOSENG,0.0165293663568896,0.0,-0.0165293663568896,SELL,5.165293663568896,0.0005165293663568896,0.0165293663568896,68
CRAFTSMAN,0.0162708392703216,0.0,-0.0162708392703216,SELL,5.162708392703216,0.0005162708392703216,0.0162708392703216,69
GPIL,0.0160770207770766,0.0,-0.0160770207770766,SELL,5.160770207770766,0.0005160770207770767,0.0160770207770766,70
SHYAMMETL,0.0159280904807013,0.0,-0.0159280904807013,SELL,5.159280904807013,0.0005159280904807013,0.0159280904807013,71
SYRMA,0.0155099013018624,0.0,-0.0155099013018624,SELL,5.155099013018624,0.0005155099013018624,0.0155099013018624,72
MRPL,0.0,0.015382097415008116,0.015382097415008116,BUY,5.153820974150081,0.0005153820974150081,0.015382097415008116,73
DEEPINDS,0.0,0.015328370021677626,0.015328370021677626,BUY,5.153283700216776,0.0005153283700216776,0.015328370021677626,74
CONFIPET,0.0,0.01508426445210313,0.01508426445210313,BUY,5.150842644521031,0.0005150842644521031,0.01508426445210313,75
ANTELOPUS,0.0,0.014484515934238888,0.014484515934238888,BUY,5.144845159342389,0.000514484515934239,0.014484515934238888,76
GMDCLTD,0.0,0.013840662612959593,0.013840662612959593,BUY,5.138406626129596,0.0005138406626129596,0.013840662612959593,77
SKMEGGPROD,0.0,0.013816362285271649,0.013816362285271649,BUY,5.1381636228527165,0.0005138163622852716,0.013816362285271649,78
MAHABANK,0.0137942996732158,0.0,-0.0137942996732158,SELL,5.137942996732158,0.0005137942996732157,0.0137942996732158,79
AETHER,0.0134897409599067,0.0,-0.0134897409599067,SELL,5.134897409599067,0.0005134897409599067,0.0134897409599067,80
ANANDRATHI,0.0123609172207041,0.0,-0.0123609172207041,SELL,5.123609172207041,0.000512360917220704,0.0123609172207041,81
INOXGREEN,0.0,0.012058546834983117,0.012058546834983117,BUY,5.120585468349831,0.0005120585468349831,0.012058546834983117,82
ADANIPOWER,0.0232526240012415,0.035282920437364106,0.012030296436122606,BUY,5.120302964361226,0.0005120302964361226,0.012030296436122606,83
JINDRILL,0.0,0.011355194868519887,0.011355194868519887,BUY,5.113551948685199,0.0005113551948685199,0.011355194868519887,84
KPIGREEN,0.0,0.010269582469963644,0.010269582469963644,BUY,5.102695824699636,0.0005102695824699636,0.010269582469963644,85
REFEX,0.0,0.010032791892007129,0.010032791892007129,BUY,5.100327918920072,0.0005100327918920072,0.010032791892007129,86
ADANIENSOL,0.0182435733252108,0.027812155357044694,0.009568582031833896,BUY,5.095685820318339,0.0005095685820318339,0.009568582031833896,87
BAJEL,0.0,0.00929871786388146,0.00929871786388146,BUY,5.092987178638815,0.0005092987178638814,0.00929871786388146,88
