Symbol,First_Date,Last_Date,History_Days,Last_Close
PROSTARM.NS,2025-06-03,2026-06-19,261,140.3699951171875
PROTEAN.NS,2025-02-06,2026-06-19,338,606.4500122070312
PROZONER.NS,2020-01-01,2026-06-19,1602,47.93000030517578
PRSMJOHNSN.NS,2020-01-01,2026-06-19,1601,119.26000213623047
PRUDENT.NS,2022-05-20,2026-06-19,1010,3029.199951171875
PSB.NS,2020-01-01,2026-06-19,1603,25.09000015258789
PSPPROJECT.NS,2020-01-01,2026-06-19,1601,969.0999755859375
PTC.NS,2020-01-01,2026-06-19,1603,186.64999389648438
PTCIL.NS,2023-06-09,2026-06-19,748,18333.0
PUNJABCHEM.NS,2020-01-01,2026-06-19,1600,1042.800048828125
PURVA.NS,2020-01-01,2026-06-19,1602,220.36000061035156
PVP.NS,2020-01-01,2026-06-19,1601,29.850000381469727
PVRINOX.NS,2020-01-01,2026-06-19,1602,948.9000244140625
PVSL.NS,2024-03-19,2026-06-19,557,95.31999969482422
PYRAMID.NS,2023-08-29,2026-06-19,692,175.41000366210938
QUADFUTURE.NS,2025-01-14,2026-06-19,356,408.75
QUESS.NS,2020-01-01,2026-06-19,1603,249.8699951171875
QUICKHEAL.NS,2020-01-01,2026-06-19,1603,178.6999969482422
RACLGEAR.NS,2024-12-06,2026-06-19,380,1318.800048828125
RADHIKAJWE.NS,2022-07-18,2026-06-19,968,56.65999984741211
RADIANTCMS.NS,2023-01-04,2026-06-19,854,39.81999969482422
RADICO.NS,2020-01-01,2026-06-19,1602,3769.199951171875
RAILTEL.NS,2021-02-26,2026-06-19,1313,319.3999938964844
RAIN.NS,2020-01-01,2026-06-19,1603,191.0
RAINBOW.NS,2022-05-10,2026-06-19,1018,1470.800048828125
RAJESHEXPO.NS,2020-01-01,2026-06-19,1603,97.51000213623047
RAJOOENG.NS,2025-05-29,2026-06-19,265,55.439998626708984
RAJRATAN.NS,2020-05-22,2026-06-19,1507,448.6000061035156
RALLIS.NS,2020-01-01,2026-06-19,1603,229.77999877929688
RAMAPHO.NS,2022-08-05,2026-06-19,955,129.0800018310547
RAMCOCEM.NS,2020-01-01,2026-06-19,1602,885.2999877929688
RAMCOIND.NS,2020-01-01,2026-06-19,1603,291.0
RAMCOSYS.NS,2020-01-01,2026-06-19,1603,557.2000122070312
RAMKY.NS,2020-01-01,2026-06-19,1601,427.25
RAMRAT.NS,2022-07-29,2026-06-19,960,407.1499938964844
RANEHOLDIN.NS,2020-01-01,2026-06-19,1603,1688.300048828125
RATEGAIN.NS,2021-12-17,2026-06-19,1114,867.7000122070312
RATNAMANI.NS,2020-01-01,2026-06-19,1602,2770.89990234375
RATNAVEER.NS,2023-09-11,2026-06-19,684,188.99000549316406
RAYMOND.NS,2020-01-01,2026-06-19,1603,586.4500122070312
RAYMONDLSL.NS,2024-09-05,2026-06-19,445,810.6500244140625
RBA.NS,2020-12-14,2026-06-19,1364,73.66999816894531
RBLBANK.NS,2020-01-01,2026-06-19,1603,378.8500061035156
RBZJEWEL.NS,2023-12-27,2026-06-19,612,133.32000732421875
RCF.NS,2020-01-01,2026-06-19,1603,136.64999389648438
RECLTD.NS,2020-01-01,2026-06-19,1603,355.3500061035156
REDINGTON.NS,2020-01-01,2026-06-19,1603,280.760009765625
REDTAPE.NS,2023-08-11,2026-06-19,705,134.1300048828125
REFEX.NS,2020-01-01,2026-06-19,1602,336.8999938964844
RELAXO.NS,2020-01-01,2026-06-19,1602,355.8500061035156
RELIANCE.NS,2020-01-01,2026-06-19,1603,1309.5
RELIGARE.NS,2020-01-01,2026-06-19,1602,253.39999389648438
RELTD.NS,2024-07-30,2026-06-19,470,170.75
RENUKA.NS,2020-01-01,2026-06-19,1603,23.09000015258789
REPCOHOME.NS,2020-01-01,2026-06-19,1603,393.6499938964844
REPRO.NS,2020-01-01,2026-06-19,1601,370.5
RESPONIND.NS,2020-01-01,2026-06-19,1601,191.08999633789062
RGL.NS,2020-01-01,2026-06-19,1603,111.33000183105469
RHIM.NS,2020-01-01,2026-06-19,1602,381.95001220703125
RICOAUTO.NS,2020-01-01,2026-06-19,1603,145.27999877929688
RIIL.NS,2020-01-01,2026-06-19,1603,858.4000244140625
RISHABH.NS,2023-09-11,2026-06-19,683,578.6500244140625
RITCO.NS,2022-04-12,2026-06-19,1034,274.6499938964844
RITES.NS,2020-01-01,2026-06-19,1603,213.32000732421875
RKFORGE.NS,2020-01-01,2026-06-19,1603,588.7000122070312
RKSWAMY.NS,2024-03-12,2026-06-19,562,98.05999755859375
RML.NS,2020-01-01,2026-06-19,1603,1121.1500244140625
ROHLTD.NS,2020-01-01,2026-06-19,1601,330.20001220703125
ROLEXRINGS.NS,2021-08-09,2026-06-19,1204,143.22999572753906
ROSSARI.NS,2020-07-23,2026-06-19,1465,560.9000244140625
ROSSTECH.NS,2024-12-10,2026-06-19,379,1027.5999755859375
ROTO.NS,2022-04-21,2026-06-19,1031,64.38999938964844
ROUTE.NS,2020-09-21,2026-06-19,1423,545.5
RPEL.NS,2024-08-08,2026-06-19,463,1197.949951171875
RPGLIFE.NS,2020-01-01,2026-06-19,1603,2277.39990234375
RPOWER.NS,2020-01-01,2026-06-19,1603,26.100000381469727
RPPINFRA.NS,2020-01-01,2026-06-19,1602,63.900001525878906
RPSGVENT.NS,2020-01-01,2026-06-19,1603,871.2000122070312
RPTECH.NS,2024-02-14,2026-06-19,581,750.6500244140625
RRKABEL.NS,2023-09-20,2026-06-19,677,2321.10009765625
RSWM.NS,2020-01-01,2026-06-19,1602,191.6300048828125
RSYSTEMS.NS,2020-01-01,2026-06-19,1603,264.1499938964844
RTNINDIA.NS,2020-01-01,2026-06-19,1603,35.06999969482422
RUBYMILLS.NS,2020-01-01,2026-06-19,1601,339.8999938964844
RUCHIRA.NS,2020-01-01,2026-06-19,1602,110.5199966430664
RUPA.NS,2020-01-01,2026-06-19,1602,160.75999450683594
RUSTOMJEE.NS,2022-11-24,2026-06-19,881,388.29998779296875
RVNL.NS,2020-01-01,2026-06-19,1603,243.99000549316406
SAFARI.NS,2020-01-01,2026-06-19,1601,1675.5
SAGCEM.NS,2020-01-01,2026-06-19,1602,172.02999877929688
SAGILITY.NS,2024-11-12,2026-06-19,398,39.4900016784668
SAIL.NS,2020-01-01,2026-06-19,1603,180.0500030517578
SAILIFE.NS,2024-12-18,2026-06-19,374,1216.4000244140625
SAKAR.NS,2020-01-01,2026-06-19,1602,803.5999755859375
SAKSOFT.NS,2020-01-01,2026-06-19,1603,139.9600067138672
SALSTEEL.NS,2020-01-01,2026-06-19,1601,57.5099983215332
SALZERELEC.NS,2020-01-01,2026-06-19,1603,652.7000122070312
SAMHI.NS,2023-09-22,2026-06-19,677,175.80999755859375
SAMMAANCAP.NS,2020-01-01,2026-06-19,1603,174.60000610351562
SANATHAN.NS,2024-12-27,2026-06-19,367,439.5
SANDHAR.NS,2020-01-01,2026-06-19,1603,707.9500122070312
SANDUMA.NS,2023-09-07,2026-06-19,687,211.72000122070312
SANGAMIND.NS,2020-01-01,2026-06-19,1601,541.0
SANGHVIMOV.NS,2020-01-01,2026-06-19,1603,414.75
SANOFI.NS,2020-01-01,2026-06-19,1602,3341.0
SANOFICONR.NS,2024-09-13,2026-06-19,438,4812.5
SANSERA.NS,2021-09-24,2026-06-19,1172,2945.800048828125
SANSTAR.NS,2024-07-26,2026-06-19,473,116.44999694824219
SAPPHIRE.NS,2021-11-18,2026-06-19,1135,187.8699951171875
SARDAEN.NS,2020-01-01,2026-06-19,1603,523.6500244140625
SAREGAMA.NS,2020-01-01,2026-06-19,1602,465.8999938964844
SARLAPOLY.NS,2020-01-01,2026-06-19,1603,96.48999786376953
SASKEN.NS,2020-01-01,2026-06-19,1602,2586.10009765625
SATIA.NS,2020-01-01,2026-06-19,1602,55.5
SATIN.NS,2020-01-01,2026-06-19,1602,235.42999267578125
SAURASHCEM.NS,2024-02-27,2026-06-19,571,58.4900016784668
SBC.NS,2021-11-23,2026-06-19,1133,43.59000015258789
SBCL.NS,2021-06-24,2026-06-19,1234,746.5499877929688
SBFC.NS,2023-08-16,2026-06-19,702,95.4000015258789
SBGLP.NS,2023-02-10,2026-06-19,826,26.049999237060547
SBICARD.NS,2020-03-16,2026-06-19,1552,616.9000244140625
SBILIFE.NS,2020-01-01,2026-06-19,1603,1800.199951171875
SBIN.NS,2020-01-01,2026-06-19,1603,1035.0999755859375
SCHAEFFLER.NS,2020-01-01,2026-06-19,1603,4329.89990234375
SCHAND.NS,2020-01-01,2026-06-19,1601,150.3699951171875
SCHNEIDER.NS,2020-01-01,2026-06-19,1603,1331.4000244140625
SCI.NS,2020-01-01,2026-06-19,1603,312.1499938964844
SCILAL.NS,2024-03-19,2026-06-19,556,45.86000061035156
SCODATUBES.NS,2025-06-04,2026-06-19,261,144.3800048828125
SCPL.NS,2022-11-22,2026-06-19,883,482.8500061035156
SDBL.NS,2020-01-01,2026-06-19,1603,75.30999755859375
SEAMECLTD.NS,2020-01-01,2026-06-19,1601,1366.800048828125
SENCO.NS,2023-07-14,2026-06-19,725,340.3999938964844
SENORES.NS,2024-12-30,2026-06-19,367,1315.0
SERVOTECH.NS,2020-01-01,2026-06-19,1603,101.66999816894531
SESHAPAPER.NS,2020-01-01,2026-06-19,1602,225.75999450683594
SETL.NS,2025-01-13,2026-06-19,356,186.11000061035156
SFL.NS,2020-01-01,2026-06-19,1603,700.6500244140625
SGIL.NS,2021-07-28,2026-06-19,1210,586.4000244140625
SHAILY.NS,2022-04-04,2026-06-19,1042,2803.800048828125
SHAKTIPUMP.NS,2020-01-01,2026-06-19,1603,551.0499877929688
SHALBY.NS,2020-01-01,2026-06-19,1603,170.82000732421875
SHALPAINTS.NS,2020-01-01,2026-06-19,1603,54.209999084472656
SHANKARA.NS,2020-01-01,2026-06-19,1601,121.80999755859375
SHANTIGEAR.NS,2020-01-01,2026-06-19,1602,450.6000061035156
SHARDACROP.NS,2020-01-01,2026-06-19,1602,900.7999877929688
SHARDAMOTR.NS,2020-01-01,2026-06-19,1602,825.8499755859375
SHAREINDIA.NS,2020-09-21,2026-06-19,1423,138.89999389648438
SHEMAROO.NS,2020-01-01,2026-06-19,1601,130.60000610351562
SHILPAMED.NS,2020-01-01,2026-06-19,1603,551.3499755859375
SHK.NS,2020-01-01,2026-06-19,1603,140.07000732421875
SHOPERSTOP.NS,2020-01-01,2026-06-19,1603,360.5
SHREDIGCEM.NS,2020-01-01,2026-06-19,1603,76.26000213623047
SHREECEM.NS,2020-01-01,2026-06-19,1603,25075.0
SHREEPUSHK.NS,2020-01-01,2026-06-19,1603,396.0
SHRIPISTON.NS,2020-01-01,2026-06-19,1602,3739.699951171875
SHRIRAMFIN.NS,2020-01-01,2026-06-19,1603,1001.9000244140625
SHRIRAMPPS.NS,2021-12-20,2026-06-19,1114,91.80999755859375
SHYAMMETL.NS,2021-06-24,2026-06-19,1235,970.2999877929688
SIEMENS.NS,2020-01-01,2026-06-19,1602,3759.60009765625
SIGACHI.NS,2021-11-15,2026-06-19,1137,22.950000762939453
SIGMAADV.NS,2020-01-01,2026-06-19,1602,525.0499877929688
SIGNATURE.NS,2023-09-27,2026-06-19,672,798.7999877929688
SIGNPOST.NS,2024-02-14,2026-06-19,579,248.0
SIMPLEXINF.NS,2020-01-01,2026-06-19,1601,274.8500061035156
SINDHUTRAD.NS,2023-06-20,2026-06-19,741,25.209999084472656
SIRCA.NS,2020-01-01,2026-06-19,1603,412.29998779296875
SIS.NS,2020-01-01,2026-06-19,1602,429.75
SIYSIL.NS,2020-01-01,2026-06-19,1603,631.5999755859375
SJS.NS,2021-11-15,2026-06-19,1137,2215.300048828125
SJVN.NS,2020-01-01,2026-06-19,1603,72.87999725341797
SKFINDIA.NS,2020-01-01,2026-06-19,1603,1638.300048828125
SKIPPER.NS,2020-01-01,2026-06-19,1602,543.2999877929688
SKMEGGPROD.NS,2020-01-01,2026-06-19,1603,237.25999450683594
SKYGOLD.NS,2023-01-06,2026-06-19,852,509.3999938964844
SMCGLOBAL.NS,2021-02-24,2026-06-19,1313,72.08999633789062
SMLMAH.NS,2020-01-01,2026-06-19,1603,4092.199951171875
SMSPHARMA.NS,2020-01-01,2026-06-19,1602,378.6000061035156
SNOWMAN.NS,2020-01-01,2026-06-19,1603,39.38999938964844
SOBHA.NS,2020-01-01,2026-06-19,1602,1418.9000244140625
SOLARA.NS,2020-01-01,2026-06-19,1603,563.0999755859375
SOLARINDS.NS,2020-01-01,2026-06-19,1602,18052.0
SOLEX.NS,2020-01-01,2026-06-19,1600,1103.800048828125
SOMANYCERA.NS,2020-01-01,2026-06-19,1601,516.4000244140625
SONACOMS.NS,2021-06-24,2026-06-19,1235,613.7999877929688
SONATSOFTW.NS,2020-01-01,2026-06-19,1603,297.3999938964844
SOTL.NS,2020-01-01,2026-06-19,1603,604.7999877929688
SOUTHBANK.NS,2020-01-01,2026-06-19,1603,48.459999084472656
