Symbol,Yahoo_Symbol,Company_Name,Sector,Industry,Last_Updated,Market_Cap,Last_Close,Avg_Volume,ADV,History_Days,Missing_Close,Exchange,Country,Currency,Asset_Class,Metadata_Source,Market_Cap_Category,Liquidity_Category
HINDALCO,HINDALCO.NS,Hindalco Industries Limited,Basic Materials,Aluminum,2026-06-20,2295858389466.432,1024.0999755859375,7677552.351089588,7862581175.310604,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
ETERNAL,ETERNAL.NS,Eternal Limited,Consumer Cyclical,Internet Retail,2026-06-20,2208832596004.75,242.1000061035156,59682884.7107438,14449226752.746492,1210,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
SHRIRAMFIN,SHRIRAMFIN.NS,Shriram Finance Limited,Financial Services,Credit Services,2026-06-20,2187975834971.417,939.9500122070312,6379255.443099273,5996181231.612932,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
GRASIM,GRASIM.NS,Grasim Industries Limited,Basic Materials,Building Materials,2026-06-20,2101928744185.5864,3107.5,794983.194511703,2470410276.945117,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
EICHERMOT,EICHERMOT.NS,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers,2026-06-20,1992028575210.0,7297.0,649132.6698950767,4736721092.224375,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
IOC,IOC.NS,Indian Oil Corporation Limited,Energy,Oil & Gas Refining & Marketing,2026-06-20,1950848996422.251,139.66000366210938,17593548.281678773,2457115017.448756,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
WIPRO,WIPRO.NS,Wipro Limited,Technology,Information Technology Services,2026-06-20,1876858946959.8647,179.0,13835579.451977402,2476568721.903955,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
INDIGO,INDIGO.NS,InterGlobe Aviation Limited,Industrials,Airlines,2026-06-20,1814544934604.6787,4715.0,1083288.691437803,5107706180.129241,1238,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers,2026-06-20,1792553899736.021,1493.0999755859375,1888347.5827280064,2819491729.6689506,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
DIVISLAB,DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2026-06-20,1764171448390.0,6644.0,495684.598546042,3293328472.739903,1238,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
