Symbol,Yahoo_Symbol,Company_Name,Sector,Industry,Market_Cap
BALKRISIND,BALKRISIND.NS,,,,0
BALMLAWRIE,BALMLAWRIE.NS,,,,0
BALPHARMA,BALPHARMA.NS,,,,0
BALRAMCHIN,BALRAMCHIN.NS,,,,0
BALUFORGE,BALUFORGE.NS,,,,0
BANARBEADS,BANARBEADS.NS,,,,0
BANARISUG,BANARISUG.NS,,,,0
BANCOINDIA,BANCOINDIA.NS,,,,0
BANDHANBNK,BANDHANBNK.NS,,,,0
BANG,BANG.NS,,,,0
BANKA,BANKA.NS,,,,0
BANKBARODA,BANKBARODA.NS,,,,0
BANKINDIA,BANKINDIA.NS,,,,0
BANSALWIRE,BANSALWIRE.NS,,,,0
BANSWRAS,BANSWRAS.NS,,,,0
BASF,BASF.NS,,,,0
BASILIC,BASILIC.NS,,,,0
BASML,BASML.NS,,,,0
BATAINDIA,BATAINDIA.NS,,,,0
BATLIBOI,BATLIBOI.NS,,,,0
BAWEJA,BAWEJA.NS,,,,0
BAYERCROP,BAYERCROP.NS,,,,0
BBL,BBL.NS,,,,0
BBOX,BBOX.NS,,,,0
BBTC,BBTC.NS,,,,0
BBTCL,BBTCL.NS,,,,0
BCG,BCG.NS,,,,0
BCLIND,BCLIND.NS,,,,0
BCONCEPTS,BCONCEPTS.NS,,,,0
BCPL,BCPL.NS,,,,0
BDL,BDL.NS,,,,0
BEACON,BEACON.NS,,,,0
BEARDSELL,BEARDSELL.NS,,,,0
BECTORFOOD,BECTORFOOD.NS,,,,0
BEDMUTHA,BEDMUTHA.NS,,,,0
BEEKAY,BEEKAY.NS,,,,0
BEL,BEL.NS,,,,0
BELLACASA,BELLACASA.NS,,,,0
BELRISE,BELRISE.NS,,,,0
BEML,BEML.NS,,,,0
BENGALASM,BENGALASM.NS,,,,0
BEPL,BEPL.NS,,,,0
BERGEPAINT,BERGEPAINT.NS,,,,0
BESTAGRO,BESTAGRO.NS,,,,0
BEWLTD,BEWLTD.NS,,,,0
BFINVEST,BFINVEST.NS,,,,0
BFSI,BFSI.NS,,,,0
BFUTILITIE,BFUTILITIE.NS,,,,0
BGRENERGY,BGRENERGY.NS,,,,0
BHAGCHEM,BHAGCHEM.NS,,,,0
BHAGERIA,BHAGERIA.NS,,,,0
BHAGYANGR,BHAGYANGR.NS,,,,0
BHANDARI,BHANDARI.NS,,,,0
BHARATCOAL,BHARATCOAL.NS,,,,0
BHARATFORG,BHARATFORG.NS,,,,0
BHARATGEAR,BHARATGEAR.NS,,,,0
BHARATRAS,BHARATRAS.NS,,,,0
BHARATSE,BHARATSE.NS,,,,0
BHARATWIRE,BHARATWIRE.NS,,,,0
BHARTIARTL,BHARTIARTL.NS,,,,0
BHARTIHEXA,BHARTIHEXA.NS,,,,0
BHEL,BHEL.NS,,,,0
BI,BI.NS,,,,0
BIGBLOC,BIGBLOC.NS,,,,0
BIKAJI,BIKAJI.NS,,,,0
BIL,BIL.NS,,,,0
BIMETAL,BIMETAL.NS,,,,0
BIOCON,BIOCON.NS,,,,0
BIOFILCHEM,BIOFILCHEM.NS,,,,0
BIRDYS,BIRDYS.NS,,,,0
BIRET,BIRET.NS,,,,0
BIRLACABLE,BIRLACABLE.NS,,,,0
BIRLACORPN,BIRLACORPN.NS,,,,0
BIRLAMONEY,BIRLAMONEY.NS,,,,0
BIRLANU,BIRLANU.NS,,,,0
BIRLAPREC,BIRLAPREC.NS,,,,0
BLACKBUCK,BLACKBUCK.NS,,,,0
BLACKROSE,BLACKROSE.NS,,,,0
BLAL,BLAL.NS,,,,0
BLBLIMITED,BLBLIMITED.NS,,,,0
BLIL,BLIL.NS,,,,0
BLISSGVS,BLISSGVS.NS,,,,0
BLKASHYAP,BLKASHYAP.NS,,,,0
BLS,BLS.NS,,,,0
BLSE,BLSE.NS,,,,0
BLUECHIP,BLUECHIP.NS,,,,0
BLUECOAST,BLUECOAST.NS,,,,0
BLUEDART,BLUEDART.NS,,,,0
BLUEJET,BLUEJET.NS,,,,0
BLUEPEBBLE,BLUEPEBBLE.NS,,,,0
BLUESTARCO,BLUESTARCO.NS,,,,0
BLUESTONE,BLUESTONE.NS,,,,0
BLUSPRING,BLUSPRING.NS,,,,0
BMETRICS,BMETRICS.NS,,,,0
BMWVENTLTD,BMWVENTLTD.NS,,,,0
BNAGROCHEM,BNAGROCHEM.NS,,,,0
BNALTD,BNALTD.NS,,,,0
BODALCHEM,BODALCHEM.NS,,,,0
BOHRAIND,BOHRAIND.NS,,,,0
BOMDYEING,BOMDYEING.NS,,,,0
BONLON,BONLON.NS,,,,0
