Symbol,Company_Name,Sector,Signal,Signal_Score,In_Portfolio
AMBUJACEM,Ambuja Cements Limited,Basic Materials,REDUCE,35.68758344459279,False
PNCINFRA,PNC Infratech Limited,Industrials,REDUCE,35.634178905206944,False
PRABHA,Prabha Energy Limited,Energy,REDUCE,35.62416555407209,False
WHIRLPOOL,Whirlpool of India Limited,Consumer Cyclical,REDUCE,35.62082777036048,False
RGL,Renaissance Global Limited,Consumer Cyclical,REDUCE,35.604138851802404,False
SCHAND,S Chand And Company Limited,Communication Services,REDUCE,35.60080106809079,False
INFY,Infosys Limited,Technology,REDUCE,35.48397863818425,False
COHANCE,COHANCE LIFESCIENCES LTD,Healthcare,REDUCE,35.467289719626166,False
DYNPRO,Dynemic Products Limited,Basic Materials,REDUCE,35.430574098798395,False
EMAMILTD,Emami Limited,Consumer Defensive,REDUCE,35.39052069425901,False
GRPLTD,GRP Limited,Consumer Cyclical,REDUCE,35.34045393858478,False
GRINFRA,G R Infraprojects Limited,Industrials,REDUCE,35.313751668891854,False
EMUDHRA,eMudhra Limited,Technology,REDUCE,35.29706275033377,False
ORISSAMINE,The Orissa Minerals Development Company Limited,Basic Materials,REDUCE,35.2803738317757,False
PARKHOTELS,PARKHOTELS,Consumer Cyclical,REDUCE,35.27703604806409,False
MOLDTECH,Mold-Tek Technologies Limited,Industrials,REDUCE,35.250333778371164,False
OPTIEMUS,Optiemus Infracom Limited,Technology,REDUCE,35.24365821094793,False
RALLIS,Rallis India Limited,Basic Materials,REDUCE,35.19692923898532,False
HEIDELBERG,HeidelbergCement India Limited,Basic Materials,REDUCE,35.16688918558077,False
INDRAMEDCO,Indraprastha Medical Corporation Limited,Healthcare,REDUCE,35.11014686248331,False
SONATSOFTW,Sonata Software Limited,Technology,REDUCE,35.09679572763685,False
GOCOLORS,Go Fashion (India) Limited,Consumer Cyclical,REDUCE,35.086782376502,False
PUNJABCHEM,Punjab Chemicals and Crop Protection Limited,Basic Materials,REDUCE,35.026702269692926,False
TCS,Tata Consultancy Services Limited,Technology,REDUCE,34.946595460614155,False
SANOFI,Sanofi India Limited,Healthcare,REDUCE,34.90654205607476,False
TEXRAIL,Texmaco Rail & Engineering Limited,Industrials,REDUCE,34.82643524699599,False
ROUTE,Route Mobile Limited,Communication Services,REDUCE,34.79305740987984,False
INTELLECT,Intellect Design Arena Limited,Technology,REDUCE,34.676234979973295,False
PDMJEPAPER,Pudumjee Paper Products Limited,Basic Materials,REDUCE,34.67289719626168,False
TAJGVK,TAJGVK Hotels & Resorts Limited,Consumer Cyclical,REDUCE,34.632843791722294,False
DBCORP,D. B. Corp Limited,Communication Services,REDUCE,34.41255006675568,False
RPOWER,Reliance Power Limited,Utilities,REDUCE,34.402536715620826,False
GMMPFAUDLR,GMM Pfaudler Limited,Industrials,REDUCE,34.36248331108145,False
CONTROLPR,Control Print Limited,Industrials,REDUCE,34.352469959946596,False
VESUVIUS,Vesuvius India Limited,Industrials,REDUCE,34.349132176234974,False
ITCHOTELS,ITC HOTELS LIMITED,Consumer Cyclical,REDUCE,34.31241655540721,False
MAXIND,Max India Limited,Healthcare,REDUCE,34.28237650200268,False
RVNL,Rail Vikas Nigam Limited,Industrials,REDUCE,34.20894526034713,False
KNRCON,KNR Constructions Limited,Industrials,REDUCE,34.192256341789054,False
EPIGRAL,Epigral Limited,Basic Materials,REDUCE,34.192256341789054,False
MEDIASSIST,MEDI ASSIST HEALTH SER L,Healthcare,REDUCE,34.19225634178905,False
JUNIPER,Juniper Hotels Limited,Consumer Cyclical,REDUCE,34.185580774365825,False
SWIGGY,SWIGGY LIMITED,Consumer Cyclical,REDUCE,34.12883845126836,False
RELTD,Ravindra Energy Limited,Technology,REDUCE,34.01535380507343,False
GALAXYSURF,Galaxy Surfactants Limited,Basic Materials,REDUCE,33.981975967957275,False
IMAGICAA,Imagicaaworld Entertainment Limited,Communication Services,REDUCE,33.938584779706275,False
ICRA,ICRA Limited,Financial Services,REDUCE,33.925233644859816,False
BIRLAMONEY,Aditya Birla Money Limited,Financial Services,REDUCE,33.871829105473964,False
DODLA,Dodla Dairy Limited,Consumer Defensive,REDUCE,33.80507343124166,False
CHALET,Chalet Hotels Limited,Consumer Cyclical,REDUCE,33.63818424566088,False
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Financial Services,REDUCE,33.63150867823765,False
TRANSWORLD,Transworld Shipping Lines Limited,Industrials,REDUCE,33.62149532710281,False
BATAINDIA,Bata India Limited,Consumer Cyclical,REDUCE,33.61481975967958,False
GENESYS,Genesys International Corporation Limited,Technology,REDUCE,33.588117489986644,False
TECHNOE,Techno Electric & Engineering Company Limited,Industrials,REDUCE,33.50467289719626,False
UBL,United Breweries Limited,Consumer Defensive,REDUCE,33.4913217623498,False
UFLEX,Uflex Limited,Consumer Cyclical,REDUCE,33.42456608811749,False
VENTIVE,VENTIVE HOSPITALITY LTD,Consumer Cyclical,REDUCE,33.39452603471295,False
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Healthcare,REDUCE,33.37783711615487,False
BECTORFOOD,Mrs. Bectors Food Specialities Limited,Consumer Defensive,REDUCE,33.32443257676903,False
BLS,BLS International Services Limited,Industrials,REDUCE,33.257676902536716,False
EIDPARRY,E.I.D.- Parry (India) Limited,Basic Materials,REDUCE,33.164218958611485,False
HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services,REDUCE,33.12082777036048,False
RAYMONDLSL,Raymond Lifestyle Limited,Consumer Cyclical,REDUCE,33.097463284379174,False
HAPPSTMNDS,Happiest Minds Technologies Limited,Technology,REDUCE,33.047396528704944,False
OMINFRAL,Om Infra Limited,Industrials,REDUCE,33.04405874499332,False
DCW,DCW Limited,Basic Materials,REDUCE,33.00734312416555,False
BRIGADE,Brigade Enterprises Limited,Real Estate,REDUCE,32.953938584779706,False
HGINFRA,H.G. Infra Engineering Limited,Industrials,REDUCE,32.94392523364486,False
PILANIINVS,Pilani Investment and Industries Corporation Limited,Financial Services,REDUCE,32.92389853137517,False
HUBTOWN,Hubtown Limited,Real Estate,REDUCE,32.91388518024032,False
KFINTECH,KFin Technologies Limited,Technology,REDUCE,32.90720961281709,False
TVTODAY,T.V. Today Network Limited,Communication Services,REDUCE,32.88384512683578,False
GGBL,"GGBL.NS,0P0001TAFZ,726600",,REDUCE,32.87049399198932,False
ESCORTS,Escorts Kubota Limited,Industrials,REDUCE,32.76702269692924,False
HERITGFOOD,Heritage Foods Limited,Consumer Defensive,REDUCE,32.66688918558077,False
ALICON,Alicon Castalloy Limited,Industrials,REDUCE,32.633511348464616,False
CANTABIL,Cantabil Retail India Limited,Consumer Cyclical,REDUCE,32.53671562082777,False
CAMLINFINE,Camlin Fine Sciences Limited,Basic Materials,REDUCE,32.48664886515354,False
DALBHARAT,Dalmia Bharat Limited,Basic Materials,REDUCE,32.48664886515353,False
TCI,Transport Corporation of India Limited,Industrials,REDUCE,32.35647530040053,False
SNOWMAN,Snowman Logistics Limited,Industrials,REDUCE,32.34312416555407,False
JMFINANCIL,JM Financial Limited,Financial Services,REDUCE,32.31975967957276,False
MAMATA,MAMATA MACHINERY LIMITED,Industrials,REDUCE,32.26635514018692,False
