Security_ID,Symbol,Company_Name,Sector,Industry,Last_Close,Market_Cap,Log_Market_Cap,Momentum_1M,Momentum_3M,Momentum_6M,Momentum_12M,Volatility_20D,Volatility_60D,ATR_14,Max_Drawdown_252D,SMA_50,SMA_200,Distance_SMA50,Distance_SMA200,Price_52W_High,Distance_52W_High,ADV_20D,Dollar_Volume,Turnover_Ratio,Factor_Date,Engine_Version
SECA7170792,VMM,VISHAL MEGA MART LIMITED,Consumer Cyclical,Department Stores,119.16000366210938,554197247503.8754,27.0407865027514,0.001428740241969706,0.12340910723999832,-0.0906592661225405,-0.08563538240405999,0.17864456408794413,0.33505255398450723,2.7671427045549666,-0.34926227267710375,120.12419967651367,129.9226501083374,-0.008026659216051502,-0.08283887711075377,153.17999267578125,-0.22209159577176718,1123134349.0393906,1123134349.0393906,9350597.35,2026-06-12,1.0.0
SEC3C9D7CE5,COROMANDEL,Coromandel International Limited,Basic Materials,Agricultural Inputs,1904.9000244140625,552884617928.4154,27.038415169191442,0.020956144582853664,-0.05158076952249813,-0.16250982666007763,-0.17628292901279208,0.3418922049523485,0.36596625911677017,60.257167271205354,-0.3488589970211343,1928.5560009765625,2153.1640808105467,-0.012266160044365426,-0.11530196820997807,2680.83251953125,-0.28943713919617076,699085519.6187866,699085519.6187866,384364.3,2026-06-12,1.0.0
SECBF6F3615,SBICARD,SBI Cards and Payment Services Limited,Financial Services,Credit Services,583.5,549316464961.5,27.031940551288688,-0.0678913738019169,-0.17845828933474128,-0.32334409039156453,-0.41577031909421536,0.17800905658944988,0.2995953590046762,12.121420724051339,-0.4884264598239969,636.9880029296875,779.4876031494141,-0.08397018889473751,-0.25143132791022293,1005.1785278320312,-0.4195061037978073,625297531.0609925,625297531.0609925,1022227.3,2026-06-12,1.0.0
SECD3BC84EB,MFSL,Max Financial Services Limited,Financial Services,Insurance - Life,1568.4000244140625,536326224037.4729,27.00800843981454,-0.022194498494973458,-0.07534484756323556,-0.07676007809395557,0.029877207479529932,0.26828411662216795,0.3197056066063775,40.542881556919646,-0.46151123017753926,1622.65400390625,1645.1919989013672,-0.03343533455781744,-0.04667660342293489,1870.0,-0.16128340940424468,939964386.6151123,939964386.6151123,576097.1,2026-06-12,1.0.0
SECED72078F,MOTILALOFS,Motilal Oswal Financial Services Limited,Financial Services,Capital Markets,887.6500244140625,529106929469.5442,26.99445638348127,0.052591055689641175,0.27279895804397647,0.07491705627992307,0.01833930522524896,0.40136101987141837,0.46201486547841575,30.235704694475448,-0.7583235653491545,825.1710009765625,849.0854034423828,0.07571645557533913,0.04541901299366358,1082.5621337890625,-0.1800470414504436,738844088.9712036,738844088.9712036,854533.4,2026-06-12,1.0.0
SECB573E0BB,MRF,MRF Limited,Consumer Cyclical,Auto Parts,124870.0,525414000555.0,26.987452361263827,-0.029306592039801016,-0.09517771095250172,-0.18033092899752878,-0.09762115643711389,0.16441423156422247,0.2185956257960337,1799.2857142857142,-0.3178964922439733,129250.6,143260.7858984375,-0.033892299146000116,-0.1283727838228903,162288.578125,-0.23056815554930166,640313884.5,640313884.5,5113.75,2026-06-12,1.0.0
SEC3C0526E2,THERMAX,Thermax Limited,Industrials,Conglomerates,4650.7001953125,524683736918.3936,26.98606151214899,0.03339709719806794,0.46927625298407594,0.6412112345872065,0.3106899785334447,0.4489779021511771,0.4768280590308842,196.24996512276786,-0.5085121405859154,4284.322016601563,3387.5694995117187,0.08551602267318792,0.3728722601802996,4992.7998046875,-0.06851859132301263,1479371332.7697265,1479371332.7697265,310335.55,2026-06-12,1.0.0
SECCDD32795,UPL,UPL Limited,Basic Materials,Agricultural Inputs,607.5,509875417440.0102,26.957432253294286,-0.039145907473309594,-0.03425798936675484,-0.17560051584603142,-0.0414956292159091,0.2260955091450146,0.3400791544367161,12.982151576450892,-0.4469031981914493,639.2149987792968,693.1987487792969,-0.04961554225082743,-0.123627962298273,805.3499755859375,-0.24566956178522326,1138945739.4454284,1138945739.4454284,1789850.5,2026-06-12,1.0.0
SEC262E8C48,KEI,KEI Industries Limited,Industrials,Electrical Equipment & Parts,5309.5,507782560342.5,26.9533191620717,0.03751831949193951,0.22621247113163978,0.34648466139994416,0.4010296170811918,0.2840478785639227,0.3541383904678783,151.21425083705358,-0.4794520582669335,4975.696044921875,4421.8848010253905,0.06708688635006155,0.20073232092540727,5446.2001953125,-0.02510010473543678,1303086957.135327,1303086957.135327,248907.9,2026-06-12,1.0.0
SEC514DFAC0,GODREJPROP,Godrej Properties Limited,Real Estate,Real Estate - Development,1675.0999755859375,499492875480.1011,26.936859171630196,-0.022752465174423975,0.03637933860142151,-0.16839600110198405,-0.31851099447276754,0.26989938234861066,0.38039795478080424,50.9285888671875,-0.5950735206827431,1744.0519995117188,1896.0015008544922,-0.03953553216594785,-0.11650915105763293,2461.39990234375,-0.31945232711234617,952077221.7447205,952077221.7447205,552952.85,2026-06-12,1.0.0
SEC3D39AEA2,APLAPOLLO,APL Apollo Tubes Limited,Basic Materials,Steel,1786.4000244140625,491760794316.7304,26.92125824479669,-0.054914786498359236,-0.11088987267188788,0.029032272127916148,-0.052568558734163995,0.19398370168074522,0.3571968872757755,48.70001220703125,-0.28207975575391797,1916.8319897460938,1881.1344952392578,-0.06804559086543027,-0.05036028580888163,2280.800048828125,-0.21676605306461882,1290228700.8231506,1290228700.8231506,706447.9,2026-06-12,1.0.0
SEC40D715C2,HINDCOPPER,Hindustan Copper Limited,Basic Materials,Copper,508.70001220703125,491635005865.7538,26.92100242012947,-0.10793509477065977,-0.03536543897282696,0.41768402649879866,0.942584889633076,0.28325769170502896,0.4807778279363287,15.746433803013392,-0.5276421471357127,545.1169982910156,452.12200309753416,-0.06680581636264227,0.12513880926359566,758.8333740234375,-0.32962883602518067,2373609351.892441,2373609351.892441,4327947.6,2026-06-12,1.0.0
SEC36E78A9B,RVNL,Rail Vikas Nigam Limited,Industrials,Engineering & Construction,230.33999633789062,476114352560.9528,26.88892389879826,-0.18607775145621686,-0.17618028859193802,-0.251980184233469,-0.45565736112801913,0.29298061761617555,0.39532145045870404,7.632857186453683,-0.6403093025858186,274.3439999389648,309.55433570861817,-0.16039717876412118,-0.25589801282994007,424.2434387207031,-0.4570570212412103,2831955429.795434,2831955429.795434,11439448.95,2026-06-12,1.0.0
SEC0D774BCE,RADICO,Radico Khaitan Limited,Consumer Defensive,Beverages - Wineries & Distilleries,3542.10009765625,473916081975.0,26.884296100720825,0.012259987163639519,0.239580086668854,0.10373306479791422,0.3385800357072968,0.24595289571895956,0.3558469974132349,83.335693359375,-0.41598572686818813,3317.7279833984376,3063.763994140625,0.06762824299657688,0.15612694203288213,3599.89990234375,-0.016055947736177023,840144072.2677124,840144072.2677124,238430.25,2026-06-12,1.0.0
SEC0F28ED7B,PREMIERENE,PREMIER ENERGIES LIMITED,Technology,Solar,1035.0,473184404365.5,26.88275101070004,0.054401004219857496,0.31217168025193787,0.1983832951809239,-0.044143775264117724,0.28203936682909253,0.31114722675728995,32.59283883231027,-0.5020398093197718,1013.7771606445312,934.1161654663086,0.020934422454315094,0.10799923849228144,1114.15234375,-0.07104265785017339,2484504180.1680665,2484504180.1680665,2422964.65,2026-06-12,1.0.0
