Symbol,Yahoo_Symbol,PE,PB,ROE,ROCE,Debt_To_Equity,Revenue_Growth,EPS_Growth,Profit_Growth,Operating_Margin,Net_Margin,Market_Cap,Factor_Date
JINDALSTEL,JINDALSTEL.NS,34.3051,2.2742443,0.067719996,0.12132991632224333,43.613,0.23,,0.19744819762955482,0.12809,0.06327,1157799739392.0,2026-06-19
BOSCHLTD,BOSCHLTD.NS,42.66828,7.9772797,0.19353001,0.17540352930120515,0.8,0.18,0.03,0.3761413259229853,0.11963,0.13842,1184268419072.0,2026-06-19
LTM,LTM.NS,22.397089,4.672324,0.21285,0.2566329589563809,9.582,0.061,0.234,0.09119968686802792,0.07614,0.11861,1122668904448.0,2026-06-19
CIPLA,CIPLA.NS,28.204327,3.1800363,0.11736,0.16354000090749243,1.778,-0.021,-0.546,-0.2642550431292816,0.11262,0.13939999,1095034339328.0,2026-06-19
INDIANB,INDIANB.NS,10.044318,1.468146,0.15442,,,0.015,0.064,0.03932079914966696,0.46919,0.3417,1175293394944.0,2026-06-19
ZYDUSLIFE,ZYDUSLIFE.NS,21.502497,4.279261,0.18318,0.19778333110776217,42.242,0.162,0.087,0.1136890951276102,0.18466999,0.18565,1082908934144.0,2026-06-19
BAJAJHLDNG,BAJAJHLDNG.NS,12.402761,1.6347185,0.12624,,0.012,-0.483,0.493,0.4778772733476775,0.40881002,8.57461,1195960041472.0,2026-06-19
INDUSTOWER,INDUSTOWER.NS,15.2787,2.7532213,0.19806999,0.2449292455294312,53.289,0.048,0.008,-0.2805964739168521,0.32422,0.21989,1091532881920.0,2026-06-19
GAIL,GAIL.NS,15.073721,1.2821932,0.08688,0.09816316949750109,27.809,-0.024,-0.403,-0.3909564812286141,0.02754,0.05355,1142748872704.0,2026-06-19
TATACONSUM,TATACONSUM.NS,71.34997,5.4287977,0.0694,0.09472972893271994,12.159,0.179,0.215,0.20636385679757835,0.11146,0.076009996,1103652323328.0,2026-06-19
GMRAIRPORT,GMRAIRPORT.NS,845.07697,-46.198486,,0.14295799462523345,,0.375,,1.4467099401807306,0.26193002,0.011849999,1160009089024.0,2026-06-19
MARICO,MARICO.NS,60.434464,25.073324,0.41393003,0.389688667961165,12.394,0.221,0.145,0.0816451810926949,0.13831,0.12945,1063523844096.0,2026-06-19
DRREDDY,DRREDDY.NS,24.558882,2.7909298,0.11835,0.1654985626888144,20.328,-0.116,-0.862,-0.24218307866440295,0.015420001,0.12755999,1052370731008.0,2026-06-19
GODREJCP,GODREJCP.NS,55.249863,8.127276,0.15099,0.2316257637149009,34.899,0.084,0.097,0.004950601954327053,0.19620001,0.12264,1029486346240.0,2026-06-19
LUPIN,LUPIN.NS,20.03866,4.747734,0.26907,0.3173236482653725,29.388,0.319,0.89,0.625063230965194,0.24244,0.19073999,1066494918656.0,2026-06-19
HDFCAMC,HDFCAMC.NS,40.655933,12.5446205,0.32929,0.3865697899025511,2.364,0.036,-0.028,0.161723281535166,0.7878,0.61838,1158392446976.0,2026-06-19
AMBUJACEM,AMBUJACEM.NS,22.421217,1.7780461,0.08302,0.0833129011234557,1.205,0.072,0.749,0.09878459715089122,0.06451,0.1163,1060768448512.0,2026-06-19
JSWENERGY,JSWENERGY.NS,44.96865,3.2769096,0.08817001,0.09647666249517685,229.16,0.41,-0.117,0.14784021651656423,0.33268002,0.11847,1051420655616.0,2026-06-19
MANKIND,MANKIND.NS,52.24989,6.105593,0.12452,0.1676878773685489,38.111,0.118,0.317,-0.039192148511270945,0.20558001,0.13397999,996517937152.0,2026-06-19
LLOYDSME,LLOYDSME.NS,26.410294,7.1611443,0.36945,0.20843864843930562,145.214,4.055,6.048,1.5293765976746103,0.38871,0.2148,992911818752.0,2026-06-19
MAXHEALTH,MAXHEALTH.NS,73.74915,9.841049,0.14333001,0.14908468003190642,32.367,0.122,0.073,0.3406792579098041,0.22559,0.17226,1058694627328.0,2026-06-19
HEROMOTOCO,HEROMOTOCO.NS,17.32329,4.598695,0.28027,0.29917836096594824,3.57,0.302,0.257,0.31135234145182805,0.1311,0.12109999,994021670912.0,2026-06-19
MAZDOCK,MAZDOCK.NS,39.49805,10.477652,0.2877,0.19527555078252265,4.481,0.213,1.09,0.07038296920253076,0.13505,0.19863,1022084251648.0,2026-06-19
INDHOTEL,INDHOTEL.NS,49.293518,7.8753085,0.16430001,0.18456143821847115,18.987,0.143,0.147,0.09267714760509334,0.30917,0.20916,1027931570176.0,2026-06-19
UNITDSPR,UNITDSPR.NS,55.151894,11.200223,0.20034,0.24517373693693695,4.611,0.008,0.28,0.16182048040455121,0.16929,0.14743,964024860672.0,2026-06-19
BHARATFORG,BHARATFORG.NS,90.11979,10.146658,0.11603,0.23083721562028361,76.475,0.175,-0.179,0.14716842001247407,0.11553001,0.06422,971141480448.0,2026-06-19
RECLTD,RECLTD.NS,5.7730875,1.1256702,0.19957,,607.463,-0.144,-0.219,0.026689364231064397,0.90234,0.70553,939929305088.0,2026-06-19
ABCAPITAL,ABCAPITAL.NS,26.358849,2.856697,0.11181,,491.748,0.077,0.301,0.1296904258894704,0.13699001,0.116450004,984112627712.0,2026-06-19
LODHA,LODHA.NS,26.682241,3.9190788,0.1571,0.1768206135702967,42.238,0.076,0.094,0.2401693014506385,0.27622998,0.20557,912608854016.0,2026-06-19
WAAREEENER,WAAREEENER.NS,24.135653,6.185807,0.31570998,0.33942739916370196,21.402,1.118,0.712,0.9874263008798376,0.15048,0.13986,893588865024.0,2026-06-19
SHREECEM,SHREECEM.NS,52.45813,9.91078,,0.11390686409318475,38.149,0.052,0.034,0.5529093224792255,0.18603,0.1453,913203724288.0,2026-06-19
ASHOKLEY,ASHOKLEY.NS,26.560068,5.952372,0.21639,0.17523150487036362,344.737,0.174,0.245,0.11723638470451912,0.17361,0.06158,922018971648.0,2026-06-19
AUROPHARMA,AUROPHARMA.NS,24.325489,2.2501433,0.09932999,0.16943321780761453,21.31,0.056,0.019,0.005413267238114909,0.14936,0.10414,844539756544.0,2026-06-19
ICICIGI,ICICIGI.NS,33.438236,5.7342243,0.17851,,0.057,0.122,0.067,0.10511145043037289,0.11436,0.10264,922869628928.0,2026-06-19
NTPCGREEN,NTPCGREEN.NS,153.06451,4.287134,0.02764,0.04568684245675914,165.281,0.467,-0.171,0.09909985698662405,0.50063,0.18283,799658672128.0,2026-06-19
OFSS,OFSS.NS,31.270687,10.504868,0.32606,0.40831806415856464,0.415,0.203,0.306,0.1091359892418894,0.50402,0.34401,822540238848.0,2026-06-19
HINDPETRO,HINDPETRO.NS,4.652205,1.2809983,0.30929002,0.2883936683834563,85.369,0.049,0.775,1.67928945766587,0.08081,0.041050002,839638777856.0,2026-06-19
SRF,SRF.NS,43.72037,5.7227836,0.13763,0.2031686727799803,36.195,0.07,0.106,0.4672284494475447,0.20632,0.11625,803586375680.0,2026-06-19
IDBI,IDBI.NS,9.659721,1.308848,0.14152999,,,,,0.3183371530304089,0.15577,0.43376,897395523584.0,2026-06-19
NMDC,NMDC.NS,10.514757,2.2945328,0.23363,0.25568818341801025,18.802,0.619,0.377,0.13886315763729024,0.21968001,0.23231001,782999224320.0,2026-06-19
ATGL,ATGL.NS,121.833336,16.526123,0.14456001,0.16060993992927067,58.65,0.161,0.085,0.0020018031509298454,0.15393,0.11124,803961176064.0,2026-06-19
FEDERALBNK,FEDERALBNK.NS,18.431599,1.9822093,0.11731,,,0.123,0.222,0.044832105029034466,0.43172002,0.29906,793732841472.0,2026-06-19
NYKAA,NYKAA.NS,426.90143,61.195236,0.14338,0.4059672100716086,82.405,0.284,2.902,2.0181598062953996,0.05238,0.0199,868025106432.0,2026-06-19
LAURUSLABS,LAURUSLABS.NS,85.04842,14.312928,0.17743,0.2587975715266385,46.369,0.053,0.194,1.4804364813574458,0.21624,0.13046,759050665984.0,2026-06-19
SAIL,SAIL.NS,22.303923,1.294701,0.056560002,0.1300450732273595,52.899,0.051,0.465,0.42203033957045644,0.09189,0.030439999,751755591680.0,2026-06-19
PERSISTENT,PERSISTENT.NS,39.826733,9.451267,0.26349002,0.3307321041592525,6.092,0.251,0.321,0.33207538275955406,0.16252,0.12646,739753984000.0,2026-06-19
SUZLON,SUZLON.NS,25.61905,10.358831,0.40636003,0.2866695762477825,5.873,0.449,-0.056,0.5270053050013758,0.16420999,0.18966,813018054656.0,2026-06-19
FORTIS,FORTIS.NS,69.91279,7.3393655,0.11006,0.15052669811995037,34.15,0.178,0.443,0.34560390591699924,0.17354,0.11413,726269755392.0,2026-06-19
DABUR,DABUR.NS,39.89222,6.605369,0.16239999,0.20030014304585556,10.907,0.073,0.152,0.07207390686965032,0.11179,0.14364,755082788864.0,2026-06-19
NHPC,NHPC.NS,27.180506,1.8296922,0.09021,0.049439740990216884,113.111,0.192,0.706,0.25246202609531476,0.19674,0.32421002,756290682880.0,2026-06-19
BHARTIHEXA,BHARTIHEXA.NS,42.81475,10.370261,0.26466998,0.38947529236158707,85.654,0.054,-0.047,0.16041778253883235,0.32316002,0.18529,743049986048.0,2026-06-19
AUBANK,AUBANK.NS,29.525578,3.8658714,,,,0.371,0.626,0.2542005500096727,0.35549998,0.21372999,773129437184.0,2026-06-19
HAVELLS,HAVELLS.NS,44.057972,7.8650417,0.18969999,0.2085719447366686,2.801,0.025,0.396,0.14827544047926317,0.09375,0.075040005,743675658240.0,2026-06-19
MCX,MCX.NS,53.38886,16.865145,0.37883,0.40953015532604153,0.113,2.0,2.912,1.377598028712235,0.73859,0.54818,709712543744.0,2026-06-19
YESBANK,YESBANK.NS,22.785715,1.6202146,0.07095,,,0.198,0.118,0.4354074613017016,0.54693,0.22045,800973389824.0,2026-06-19
INDUSINDBK,INDUSINDBK.NS,82.177345,1.1087525,0.01362,,,2.727,,-0.6546976556372645,0.17665,0.05158,729268224000.0,2026-06-19
TORNTPOWER,TORNTPOWER.NS,29.893505,3.7846081,0.13022,0.15618236813275238,70.885,-0.008,-0.7,-0.19142379119959846,0.1137,0.08342,721388306432.0,2026-06-19
BAJAJHFL,BAJAJHFL.NS,28.69707,3.272052,0.120570004,,460.504,0.423,0.144,0.18375329418835823,0.80669,0.61533,733755080704.0,2026-06-19
POLICYBZR,POLICYBZR.NS,111.465935,10.236703,0.097440004,0.06601033278674712,4.922,0.367,0.528,0.9028602266594711,0.088970006,0.09861,748323209216.0,2026-06-19
DIXON,DIXON.NS,46.528214,13.950821,0.37133,0.28878522153372477,18.457,0.021,-0.361,0.31317888894974166,0.028870001,0.02944,761482903552.0,2026-06-19
NATIONALUM,NATIONALUM.NS,11.18122,3.178719,0.2942,0.4096727324653992,0.277,-0.048,-0.167,1.6492562083220181,0.42758,0.32489,686716616704.0,2026-06-19
NAM-INDIA,NAM-INDIA.NS,49.640594,16.049871,0.34476003,0.4083777127902697,1.617,0.196,0.273,0.18889294848374133,0.65431,0.52143,749927923712.0,2026-06-19
LTF,LTF.NS,24.251472,2.5725782,0.111169994,,393.442,0.319,0.264,0.12767148574324988,0.43723,0.33077,722462769152.0,2026-06-19
OIL,OIL.NS,10.277574,1.1732441,0.12743,0.11913410855669922,58.741,0.052,0.604,0.010534382141161636,0.27781,0.19500999,680572682240.0,2026-06-19
BIOCON,BIOCON.NS,147.10248,1.9494902,0.011469999,0.0696894398625291,42.145,0.023,-0.725,-0.6194611664857397,0.112229995,0.022780001,674200879104.0,2026-06-19
ICICIPRULI,ICICIPRULI.NS,46.514053,5.448415,0.12579,,19.037,-0.831,0.614,0.35627404008367636,0.1245,0.025510002,743795458048.0,2026-06-19
PAYTM,PAYTM.NS,128.95786,4.405711,0.03558,0.030761690397695936,1.073,0.184,,1.8391502276176024,0.0,0.06554,705203208192.0,2026-06-19
MAHABANK,MAHABANK.NS,9.85307,2.079178,0.22659999,,,0.094,0.363,0.26617443344163555,0.46806,0.52362,691163103232.0,2026-06-19
GICRE,GICRE.NS,6.581957,0.6909194,0.10686,,,-0.013,0.014,0.3001329415057375,0.20741,0.18268,636145434624.0,2026-06-19
BANKINDIA,BANKINDIA.NS,6.140934,0.73892397,0.12056,,,0.101,0.186,0.07938803637932695,0.44996,0.31886,664552931328.0,2026-06-19
IDFCFIRSTB,IDFCFIRSTB.NS,41.654255,1.4373819,,,,-0.011,-0.232,0.0806589056261952,0.33398,0.32775003,674501689344.0,2026-06-19
SWIGGY,SWIGGY.NS,,3.3239167,-0.29117,-0.15869351481335953,13.929,0.447,,-0.3326916907282644,-0.15808,-0.18019,662328770560.0,2026-06-19
ALKEM,ALKEM.NS,28.008623,4.666916,0.17557,0.18677188198830721,14.267,0.146,-0.227,0.06295140107505033,0.11424,0.15645,644754243584.0,2026-06-19
IOB,IOB.NS,12.9777775,1.824145,0.15654999,,,0.019,0.397,0.5957767620750936,0.44187,0.37493,674750922752.0,2026-06-19
NAUKRI,NAUKRI.NS,43.744965,1.6713307,0.045679998,0.025719238993202744,0.64,0.159,0.221,0.506863865965452,0.34901002,0.44138,633292849152.0,2026-06-19
PHOENIXLTD,PHOENIXLTD.NS,54.17573,6.1596384,0.11056,0.12911795845161972,37.211,0.337,0.5,0.24343064807188025,0.53540003,0.27671,676977704960.0,2026-06-19
