Security_ID,Symbol,Company_Name,Sector,Rank,Alpha_Adjusted,Weight,Last_Close,Market_Cap,ADV_20D,Portfolio_Date,Engine_Version,Max_Daily_Trade,Position_Capacity,Implied_Fund_Capacity,MarketCap_Limit,Effective_Capacity,Days_To_Exit,Participation_Rate,Capacity_Score,Capacity_Class,Liquidity_Breach
SECA722432A,LAURUSLABS,Laurus Labs Limited,Healthcare,6.0,0.8746031746031747,0.0214305474044527,1392.199951171875,755809166617.0,2304859375.517785,2026-08-04,1.0.0,230485937.55177853,3457289063.276678,161325280125.9918,7558091666.17,7558091666.17,0.7027502131346635,0.07027502131346636,47.599999999999994,LIMITED,False
SECE38F61AD,JSWSTEEL,JSW Steel Limited,Basic Materials,5.0,0.8836575875486381,0.0213423248739583,1297.0999755859375,3165996605790.6978,2056179374.2716308,2026-08-04,1.0.0,205617937.4271631,3084269061.4074464,144514202628.91986,31659966057.90698,31659966057.90698,3.2861786746873616,0.32861786746873617,54.400000000000006,LIMITED,False
SEC2FE15581,NYKAA,FSN E-Commerce Ventures Limited,Consumer Cyclical,23.0,0.8439922480620154,0.021201270135853,271.0,771227796787.0096,1879164541.978723,2026-08-04,1.0.0,187916454.1978723,2818746812.968085,132951789911.93382,7712277967.870096,7712277967.870096,0.8701211890015147,0.08701211890015148,42.8,LIMITED,False
SEC1317061B,HINDALCO,Hindalco Industries Limited,Basic Materials,17.0,0.8519455252918289,0.0210850195258961,1024.0999755859375,2295858389466.432,6406327533.871887,2026-08-04,1.0.0,640632753.3871888,9609491300.807833,455749698927.51074,22958583894.66432,22958583894.66432,0.7556313459567201,0.07556313459567202,78.4,SCALABLE,False
SEC3069B975,APARINDS,APAR Industries Limited,Industrials,24.0,0.8430599369085173,0.0210343348602527,15300.0,612255341400.0,1849503312.0,2026-08-04,1.0.0,184950331.20000002,2774254968.0000005,131891737315.75134,6122553414.0,6122553414.0,0.6963158047583933,0.06963158047583934,40.800000000000004,LIMITED,False
SECBC710BBF,PHOENIXLTD,The Phoenix Mills Limited,Real Estate,4.0,0.8892857142857142,0.0209886656963214,1751.0,623331592608.9569,765248267.053009,2026-08-04,1.0.0,76524826.70530091,1147872400.5795138,54690108327.40534,6233315926.089569,6233315926.089569,1.7096279702282213,0.17096279702282216,21.6,CONSTRAINED,False
SEC17154FBC,FEDERALBNK,The Federal Bank Limited,Financial Services,3.0,0.9012269938650308,0.0206536566336229,315.95001220703125,778449810214.7582,5735660901.565318,2026-08-04,1.0.0,573566090.1565318,8603491352.347977,416560200693.0828,7784498102.147582,7784498102.147582,0.2803135569311067,0.028031355693110674,72.80000000000001,SCALABLE,False
SEC262E8C48,KEI,KEI Industries Limited,Industrials,15.0,0.8534700315457413,0.0204306940716267,5309.5,507782560342.5,1303086957.135327,2026-08-04,1.0.0,130308695.71353272,1954630435.7029908,95671269358.26915,5077825603.425,5077825603.425,0.7961364426570309,0.0796136442657031,33.20000000000001,CONSTRAINED,False
SEC910FE0F6,GRASIM,Grasim Industries Limited,Basic Materials,37.0,0.8295719844357976,0.0199667510582008,3107.5,2101928744185.5864,2760642338.060632,2026-08-04,1.0.0,276064233.80606323,4140963507.0909486,207392955169.34692,21019287441.855865,21019287441.855865,1.5202508270851736,0.15202508270851736,58.80000000000001,LIMITED,False
SEC06DCFAD7,SAIL,Steel Authority of India Limited,Basic Materials,20.0,0.8464980544747083,0.0199604255004073,183.8999938964844,754275225545.3625,4376503251.329583,2026-08-04,1.0.0,437650325.13295835,6564754876.994375,328888523787.2519,7542752255.453626,7542752255.453626,0.34401104218824036,0.03440110421882404,65.60000000000001,SCALABLE,False
SECD3E0F146,NATIONALUM,National Aluminium Company Limited,Basic Materials,25.0,0.8418287937743191,0.019846743819672,376.2000122070313,692685667257.1392,5481602198.980354,2026-08-04,1.0.0,548160219.8980354,8222403298.470531,414294827059.768,6926856672.571392,6926856672.571392,0.2507944664092593,0.02507944664092593,69.2,SCALABLE,False
SEC5E2FCDD9,WAAREEENER,WAAREE ENERGIES LIMITED,Technology,50.0,0.8099056603773584,0.0197982093465519,3023.60009765625,872676634168.4753,3060762629.659045,2026-08-04,1.0.0,306076262.96590453,4591143944.488568,231896928864.8406,8726766341.684753,8726766341.684753,0.5644813657776653,0.056448136577766525,58.8,LIMITED,False
SEC9BFC6369,MARICO,Marico Limited,Consumer Defensive,45.0,0.8161111111111111,0.0188589092234991,818.5,1061839224929.95,1345999925.6837585,2026-08-04,1.0.0,134599992.56837586,2018999888.5256379,107058147669.00026,10618392249.2995,10618392249.2995,1.4877511633391767,0.14877511633391766,38.400000000000006,CONSTRAINED,False
SECF5E25039,CUPID,Cupid Limited,Consumer Defensive,11.0,0.8644444444444446,0.0186212549529847,159.83999633789062,214594396188.70544,2129550510.7044053,2026-08-04,1.0.0,212955051.07044053,3194325766.056608,171541916703.34268,2145943961.8870544,2145943961.8870544,0.18764602871945515,0.018764602871945514,42.00000000000001,LIMITED,False
SEC40D715C2,HINDCOPPER,Hindustan Copper Limited,Basic Materials,30.0,0.8346303501945526,0.0184223106968242,508.7000122070313,491635005865.7538,2373609351.892441,2026-08-04,1.0.0,237360935.1892441,3560414027.838661,193266419529.68674,4916350058.657538,4916350058.657538,0.3815730174922365,0.03815730174922365,49.60000000000001,LIMITED,False
SECE6819099,ADANIENSOL,Adani Energy Solutions Limited,Utilities,32.0,0.8333333333333335,0.0182435733252108,1493.0999755859375,1792553899736.021,5095655373.06814,2026-08-04,1.0.0,509565537.306814,7643483059.60221,418968527894.67944,17925538997.36021,17925538997.36021,0.6417739449584509,0.06417739449584509,77.60000000000001,SCALABLE,False
