Rank,Symbol,Company_Name,Sector,Security_Return,Weight_Portfolio,Weight_Benchmark,Active_Weight,Portfolio_Contribution,Benchmark_Contribution,Active_Contribution
22,GPIL,Godawari Power & Ispat Limited,Basic Materials,0.49811333726661133,0.01607702077707663,0.0,0.01607702077707663,0.008008178472574288,0.0,0.008008178472574288
23,SAIL,Steel Authority of India Limited,Basic Materials,0.4007739544960318,0.019960425500407337,0.0,0.019960425500407337,0.007999618661221683,0.0,0.007999618661221683
24,WELCORP,Welspun Corp Limited,Basic Materials,0.45360094793034755,0.017524270155591635,0.0,0.017524270155591635,0.007949025554363864,0.0,0.007949025554363864
25,MAHABANK,Bank of Maharashtra,Financial Services,0.5748591448503848,0.013794299673215828,0.0,0.013794299673215828,0.007929779313954794,0.0,0.007929779313954794
26,NYKAA,FSN E-Commerce Ventures Limited,Consumer Cyclical,0.35975913622852196,0.021201270135853042,0.0,0.021201270135853042,0.007627350631022049,0.0,0.007627350631022049
27,ADANIENSOL,Adani Energy Solutions Limited,Utilities,0.6309120432396915,0.018243573325210836,0.006700278817637036,0.011543294507573802,0.011510090122601901,0.004227286599111007,0.007282803523490895
28,TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,0.4338812045003817,0.022279538995463546,0.005786487022510931,0.016493051972952616,0.009666673215064947,0.0025106479591528704,0.007156025255912077
29,HINDALCO,Hindalco Industries Limited,Basic Materials,0.5669632084035308,0.021085019525896143,0.008581550232604845,0.012503469293291297,0.01195443031965317,0.004865423252953709,0.0070890070666994615
30,ADANIPOWER,Adani Power Limited,Utilities,0.8494254082199704,0.023252624001241545,0.015720601728598984,0.007532022272642561,0.019751369634440078,0.013353478540778764,0.006397891093661314
31,MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,0.36212877251278974,0.022657684790621545,0.005586939661035829,0.017070745129585715,0.008204999581209486,0.0020231916015539266,0.006181807979655559
32,AETHER,Aether Industries Limited,Basic Materials,0.44002010875147324,0.013489740959906727,0.0,0.013489740959906727,0.005935757284207361,0.0,0.005935757284207361
33,CGPOWER,CG Power and Industrial Solutions Limited,Industrials,0.32011811440372995,0.022426706882935046,0.005327681780376229,0.017099025102558816,0.0071791951196503185,0.0017054874456771453,0.005473707673973174
34,BSE,BSE Limited,Financial Services,0.33725964284014176,0.02168507995311434,0.0060314975769102325,0.01565358237620411,0.007313502319947261,0.0020341807185799256,0.005279321601367335
35,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,0.23338984488841197,0.022992122933152843,0.004576604161143224,0.018415518772009618,0.005366128005023842,0.0010681329352848778,0.004297995069738964
36,TATASTEEL,Tata Steel Limited,Basic Materials,0.26830682321170873,0.021762104560095846,0.009201414674930249,0.012560689885165597,0.0058389211409203565,0.0024688023404841326,0.003370118800436224
37,JSWSTEEL,JSW Steel Limited,Basic Materials,0.29657348001937445,0.021342324873958343,0.011833987250042663,0.00950833762391568,0.006329567559573882,0.0035096467812500594,0.002819920778323823
38,MARICO,Marico Limited,Consumer Defensive,0.18321391908006102,0.01885890922349914,0.00396898462444112,0.014889924599058019,0.003455214668412388,0.0007271732278123618,0.002728041440600026
39,BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,0.2141946117656226,0.023228423696124444,0.010512844196477456,0.012715579499646988,0.004975403195518763,0.0022517945812169675,0.002723608614301796
40,SONACOMS,Sona BLW Precision Forgings Limited,Consumer Cyclical,0.14768252041232088,0.018200104568211833,0.0,0.018200104568211833,0.0026878373144013186,0.0,0.0026878373144013186
41,JINDALSTEL,Jindal Steel Limited,Basic Materials,0.1807293978789457,0.017978858162799635,0.004342882423620024,0.013635975739179611,0.0032493082103137463,0.0007848865254799033,0.002464421684833843
42,PHOENIXLTD,The Phoenix Mills Limited,Real Estate,0.0974347423725328,0.02098866569632144,0.0,0.02098866569632144,0.0020450252348642966,0.0,0.0020450252348642966
43,SHYAMMETL,Shyam Metalics and Energy Limited,Basic Materials,0.12761179700254632,0.015928090480701332,0.0,0.015928090480701332,0.002032612249061449,0.0,0.002032612249061449
44,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,0.2300700421101607,0.02397635874706965,0.01542034147962748,0.008556017267442168,0.005516241866586634,0.003547758613570952,0.001968483253015682
45,GRASIM,Grasim Industries Limited,Basic Materials,0.151700307751776,0.01996675105820084,0.007856672339349542,0.0121100787188513,0.003028962280332167,0.0011918596117841914,0.0018371026685479754
46,NESTLEIND,Nestlé India Limited,Consumer Defensive,0.14856733926672572,0.022438738535261845,0.010240742400632054,0.01219799613462979,0.0033336636806855988,0.0015214398505778457,0.0018122238301077531
47,TITAN,Titan Company Limited,Consumer Cyclical,0.17371635855973921,0.022405024782387546,0.013670354172704872,0.008734670609682674,0.003892119318637078,0.0023747641471042265,0.0015173551715328515
48,WAAREEENER,WAAREE ENERGIES LIMITED,Technology,0.06603345068194844,0.019798209346551937,0.0,0.019798209346551937,0.0013073440804764278,0.0,0.0013073440804764278
49,INDUSTOWER,Indus Towers Limited,Communication Services,0.0700393729896589,0.022585337020469245,0.004141583308407321,0.018443753712061924,0.001581862843673797,0.0002900738981052859,0.001291788945568511
50,SBIN,State Bank of India,Financial Services,0.2640431297675674,0.023272599684859244,0.03487174514655219,-0.011599145461692946,0.006144970058617937,0.009207644728952618,-0.0030626746703346806
