Symbol,CRISIS,MARKET_FREEZE,MODERATE_STRESS,NORMAL_MARKET,SEVERE_STRESS
GRASIM,0.001808161707777365,0.007232646831109452,0.0005166176307935328,0.00036163234155547295,0.0007232646831109459
GVT&D,0.0011938575738818487,0.00477543029552739,0.0003411021639662424,0.0002387715147763697,0.0004775430295527394
HINDALCO,0.0008228200718123712,0.0032912802872494813,0.00023509144908924888,0.00016456401436247417,0.00032912802872494835
HINDCOPPER,0.0019403267309062912,0.007761306923625156,0.000554379065973226,0.0003880653461812582,0.0007761306923625164
INDUSTOWER,0.002065846743048975,0.00826338697219589,0.0005902419265854213,0.00041316934860979485,0.0008263386972195897
JINDALSTEL,0.0043891016518366795,0.0175564066073467,0.0012540290433819083,0.0008778203303673358,0.0017556406607346716
JSWSTEEL,0.002594900661514335,0.010379602646057329,0.0007414001890040956,0.0005189801323028668,0.0010379602646057337
KEI,0.003919672044861276,0.01567868817944509,0.001119906298531793,0.0007839344089722552,0.0015678688179445103
KIRLOSENG,0.0061577594796056005,0.024631037918422378,0.0017593598513158857,0.00123155189592112,0.00246310379184224
LAURUSLABS,0.0023244961961766527,0.0092979847847066,0.0006641417703361864,0.0004648992392353304,0.0009297984784706608
MAHABANK,0.0032820510762355767,0.013128204304942293,0.0009377288789244503,0.0006564102152471151,0.0013128204304942302
MARICO,0.0035027693656667453,0.014011077462666967,0.0010007912473333558,0.0007005538731333491,0.0014011077462666981
MOTHERSON,0.0014894818379343952,0.005957927351737575,0.0004255662394098272,0.000297896367586879,0.000595792735173758
NATIONALUM,0.000905152503740776,0.0036206100149630996,0.0002586150010687931,0.00018103050074815515,0.0003620610014963103
NAVINFLUOR,0.004320523471865878,0.01728209388746349,0.0012344352776759648,0.0008641046943731754,0.0017282093887463507
NESTLEIND,0.002002534724841492,0.00801013889936596,0.0005721527785261405,0.0004005069449682984,0.0008010138899365968
NYKAA,0.0028205712781181644,0.011282285112472644,0.000805877508033761,0.0005641142556236327,0.0011282285112472654
PHOENIXLTD,0.006856815820423006,0.027427263281691993,0.001959090234406573,0.0013713631640846007,0.0027427263281692015
POLYCAB,0.002592543076895573,0.01037017230758228,0.000740726593398735,0.0005185086153791144,0.0010370172307582288
POWERINDIA,0.0008276253320582741,0.003310501328233093,0.00023646438058807826,0.00016552506641165477,0.00033105013282330953
RRKABEL,0.0035665590971413847,0.014266236388565522,0.0010190168848975382,0.0007133118194282769,0.0014266236388565537
SAIL,0.0011402039684503464,0.004560815873801381,0.0003257725624143847,0.00022804079369006925,0.0004560815873801385
SBIN,0.0006631128368920212,0.0026524513475680816,0.0001894608105405774,0.0001326225673784042,0.0002652451347568084
SHYAMMETL,0.005699335004991191,0.022797340019964734,0.0016283814299974826,0.0011398670009982377,0.0022797340019964753
SONACOMS,0.005646863967946756,0.022587455871787,0.0016133897051276442,0.001129372793589351,0.002258745587178702
SYRMA,0.002980924889629404,0.011923699558517601,0.000851692825608401,0.0005961849779258806,0.0011923699558517612
TATASTEEL,0.0008215768206434982,0.0032863072825739885,0.00023473623446957086,0.00016431536412869958,0.00032863072825739916
TITAN,0.0016348198517142664,0.006539279406857059,0.00046709138620407614,0.0003269639703428532,0.0006539279406857064
TORNTPHARM,0.0023653645337336168,0.009461458134934457,0.0006758184382096047,0.00047307290674672333,0.0009461458134934467
WAAREEENER,0.0016170977418099692,0.006468390967239871,0.0004620279262314197,0.00032341954836199375,0.0006468390967239875
WELCORP,0.0037936705976093607,0.015174682390437429,0.0010839058850312458,0.0007587341195218721,0.0015174682390437441
