Symbol,Last_Close,Market_Cap,ADV_20D,ADV_60D,ADV_120D,Volume_Volatility,Optimized_Weight,Position_Value,Capacity_5pct_ADV,Capacity_10pct_ADV,Capacity_20pct_ADV,Days_To_Liquidate,Hours_To_Liquidate,Capacity_Bucket,Liquidity_Score,Liquidity_Flag
ATHERENERG,1034.1500244140625,401338390830.5786,4101349137.936835,4426681388.823581,2827065344.090715,1.4348257360036392,0.0499999999999999,4999999.99999999,205067456.89684176,410134913.7936835,820269827.587367,0.012191110368417005,0.07619443980260628,Excellent,56.00000000000001,LOW
BHEL,376.8999938964844,1296720372149.172,4193728750.906015,5857859894.523991,4774697536.740948,1.209520995167963,0.05,5000000.0,209686437.54530075,419372875.0906015,838745750.181203,0.011922564135603185,0.0745160258475199,Excellent,74.0,LOW
NYKAA,271.0,771227796787.0096,1879164541.978723,1363993474.1039217,1491994832.903035,2.1458771248578334,0.0180451079393682,1804510.79393682,93958227.09893616,187916454.1978723,375832908.3957446,0.009602729051266079,0.060017056570412994,Excellent,40.0,LOW
FEDERALBNK,315.95001220703125,778449810214.7582,5735660901.565318,3566365721.9613647,3105455641.710377,0.8879273994045587,0.0499999999999998,4999999.99999998,286783045.0782659,573566090.1565318,1147132180.3130636,0.008717391222754176,0.0544836951422136,Excellent,84.0,LOW
HINDALCO,1024.0999755859375,2295858389466.432,6406327533.871887,5951604363.714799,6012423840.167927,0.8872405749217748,0.05,5000000.0,320316376.6935944,640632753.3871888,1281265506.7743776,0.007804783588668741,0.04877989742917963,Excellent,96.0,LOW
TATASTEEL,197.4499969482422,2461693342554.2534,6622054083.466818,6200009150.057003,6197848166.006009,0.6956397281103535,0.0499999999999999,4999999.99999999,331102704.1733409,662205408.3466818,1324410816.6933637,0.007550527278965319,0.04719079549353324,Excellent,98.0,LOW
SONACOMS,589.0,366032582500.76935,805761599.3373016,1315797302.695992,1107783266.111937,2.1645678094352245,1.1629375306292424e-16,1.1629375306292424e-08,40288079.966865085,80576159.93373017,161152319.86746034,1.443277430428181e-16,9.020483940176132e-16,Excellent,12.0,LOW
ACUTAAS,3147.10009765625,256395788769.78665,1330672150.8816895,1413317166.4381022,1057944553.5188406,2.091728007815738,8.890220354196419e-17,8.890220354196418e-09,66533607.54408448,133067215.08816896,266134430.17633793,6.680999785188147e-17,4.1756248657425922e-16,Excellent,22.0,LOW
AETHER,1151.800048828125,153424754893.93665,405966353.5218506,449606157.0261088,360130797.6819845,3.8834161665073106,2.6355534972139896e-17,2.6355534972139895e-09,20298317.67609253,40596635.35218506,81193270.70437013,6.49204909310824e-17,4.0575306831926496e-16,Excellent,2.0,LOW
RRKABEL,2150.39990234375,243493536686.7297,1269464695.2124023,1066626403.880017,708027688.6802704,4.430629349811556,6.892669964155308e-17,6.892669964155308e-09,63473234.76062012,126946469.52124023,253892939.04248047,5.42958775470479e-17,3.3934923466904935e-16,Excellent,8.0,LOW
